Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
nl Ajax,20,27,38.6,5,55,450,5.0,3,1,1,2,2,8,1,0.6,0.2,0.8,0.2,0.4,5.4,3.9,3.7,7.6,1.08,0.73,1.81,0.78,1.52,47,12,25.5,9.4,2.4,0.02,0.08,17.1,1,0.08,-2.4,-2.9,1541,1978,77.9,30444,11842,639,740,86.4,609,726,83.9,253,414,61.1,-2.7,38,81,21,6,108,1726,252,7,232,53,41,18,11,6,0,1294,239,445,565,1177,71,93,25,11,42,68,56,72,14.4,51,10,5,4,0,4,0.8,3,0,0,0,1,0,91,55,54,32,5,34,39.5,52,251,26.8,422,378,136,0,61,184,94,1,2592,418,78,85,49.4,48,4,1469,17,72,51,1861,1541,82.8,108,90,100,77,32,22,29,25,3.0,3,16,-13,-2.6,5.4,14.0,-8.7,-1.73,0,48,1,0,1,357,62,69,47.3,Champions-League,8,2021-2022
it Atalanta,20,27,50.4,5,55,450,5.0,10,8,10,0,0,13,1,2.0,1.6,3.6,2.0,3.6,7.5,7.5,5.2,12.8,1.51,1.05,2.56,1.51,2.56,68,28,41.2,13.6,5.6,0.15,0.36,16.8,3,0.11,2.5,2.5,2018,2512,80.3,39433,12915,797,907,87.9,899,1032,87.1,285,484,58.9,2.8,48,149,41,11,161,2264,248,7,326,74,47,27,11,10,2,1731,351,430,673,1600,72,101,23,10,33,80,62,101,20.2,70,14,3,6,2,14,2.8,12,2,0,0,0,0,111,65,68,32,11,39,45.3,47,204,31.9,261,248,130,0,61,197,80,2,3111,358,107,91,46.2,49,3,1908,15,62,47,2412,2018,83.7,161,90,100,82,33,22,19,36,1.2,10,10,0,0.0,7.5,6.6,0.9,0.18,1,66,0,0,0,423,65,74,46.8,Champions-League,8,2021-2022
es Atlético Madrid,21,27,55.6,5,55,450,5.0,7,4,6,1,1,20,2,1.4,0.8,2.2,1.2,2.0,6.3,5.5,3.1,8.7,1.26,0.63,1.89,1.11,1.74,55,18,32.7,11.0,3.6,0.11,0.33,17.3,0,0.1,0.7,0.5,2306,2720,84.8,44664,14096,990,1069,92.6,947,1045,90.6,334,517,64.6,0.9,34,188,40,10,167,2492,228,1,328,89,47,17,4,11,0,2002,308,410,752,1707,90,96,29,6,47,52,48,76,15.2,53,8,4,8,2,11,2.2,7,0,2,1,1,0,102,73,37,50,15,27,45.8,32,176,32.5,182,251,108,0,34,170,89,1,3290,323,110,87,52.9,53,4,2264,14,85,53,2557,2306,90.2,167,90,100,78,29,25,24,30,0.8,7,4,3,0.6,6.3,5.1,1.2,0.24,1,64,1,1,0,376,65,68,48.9,Champions-League,8,2021-2022
es Barcelona,22,27,39.8,5,55,450,5.0,6,4,5,1,1,12,0,1.2,0.8,2.0,1.0,1.8,6.4,5.6,3.7,9.3,1.28,0.74,2.01,1.13,1.87,49,18,36.7,9.8,3.6,0.1,0.28,17.4,1,0.12,-0.4,-0.6,1780,2202,80.8,34871,11884,737,845,87.2,715,824,86.8,288,438,65.8,0.3,34,114,33,5,131,1976,226,3,366,64,37,9,2,4,0,1570,261,371,563,1432,55,84,28,13,28,45,64,74,14.8,54,6,2,2,2,9,1.8,4,0,1,4,0,0,102,59,53,41,8,35,32.7,72,237,27.6,297,407,156,3,68,175,78,1,2772,394,101,86,46.5,48,4,1732,21,59,47,2044,1780,87.1,131,90,100,82,30,25,17,35,1.4,6,2,4,0.8,6.4,5.7,0.7,0.14,0,57,0,0,0,354,49,81,37.7,Champions-League,8,2021-2022
de Bayern Munich,23,26,38.6,5,55,450,5.0,3,3,3,0,0,6,0,0.6,0.6,1.2,0.6,1.2,2.9,2.9,2.7,5.7,0.59,0.55,1.14,0.59,1.14,35,12,34.3,7.0,2.4,0.09,0.25,16.8,1,0.08,0.1,0.1,1741,2143,81.2,34238,12191,732,823,88.9,705,820,86.0,270,427,63.2,0.3,31,91,32,9,111,1898,245,5,251,53,45,16,3,3,2,1515,248,380,607,1329,60,79,38,12,33,57,50,63,12.6,45,6,4,4,2,6,1.2,5,0,1,0,0,0,71,42,43,24,4,25,33.8,49,162,22.9,302,301,105,0,48,162,76,0,2674,446,76,68,61.8,47,7,1668,13,61,67,1999,1741,87.1,111,90,100,80,33,22,26,38,3.0,3,19,-16,-3.2,2.9,12.0,-9.0,-1.81,0,40,0,2,1,304,47,54,46.5,Champions-League,8,2021-2022
pt Benfica,23,26,57.4,5,55,450,5.0,8,7,8,0,1,13,1,1.6,1.4,3.0,1.6,3.0,9.8,9.2,8.1,17.2,1.96,1.61,3.57,1.83,3.45,74,25,33.8,14.8,5.0,0.11,0.32,17.2,3,0.13,-1.8,-1.2,2447,2891,84.6,46127,14456,1024,1145,89.4,1058,1182,89.5,318,469,67.8,-1.1,59,170,55,17,180,2663,228,15,314,67,75,28,12,7,3,2132,347,412,720,1902,85,99,29,27,30,70,43,127,25.4,99,9,4,6,3,16,3.2,13,0,1,1,1,0,115,69,54,47,14,39,36.1,69,269,30.8,324,386,162,0,62,169,52,1,3421,305,152,87,56.3,55,3,2286,33,53,45,2806,2447,87.2,180,90,100,83,33,21,18,33,1.0,9,5,4,0.8,9.8,6.2,3.6,0.72,1,64,0,1,0,379,77,68,53.1,Champions-League,8,2021-2022
tr Beşiktaş,26,26,52.8,5,55,450,5.0,14,11,12,2,2,6,0,2.8,2.2,5.0,2.4,4.6,14.9,13.4,11.2,24.6,2.98,2.24,5.22,2.68,4.92,88,34,38.6,17.6,6.8,0.14,0.35,14.9,1,0.16,-0.9,-1.4,2182,2642,82.6,42333,14132,826,960,86.0,1026,1148,89.4,291,437,66.6,-0.2,71,166,63,19,228,2409,233,5,364,57,75,22,3,11,2,1931,336,375,1128,1254,89,96,29,4,25,76,58,149,29.8,113,13,10,3,4,23,4.6,16,1,2,3,1,0,110,68,40,50,20,33,36.7,57,285,32.3,224,466,192,0,67,181,79,0,3263,291,198,107,57.9,66,2,2152,32,58,61,2503,2182,87.2,228,90,100,82,33,22,21,28,0.0,14,3,11,2.2,14.9,5.4,9.5,1.9,0,63,1,1,0,418,60,45,57.1,Champions-League,8,2021-2022
eng Chelsea,22,28,32.2,5,55,450,5.0,1,1,1,0,0,6,0,0.2,0.2,0.4,0.2,0.4,2.6,2.6,2.3,4.9,0.51,0.46,0.98,0.51,0.98,26,4,15.4,5.2,0.8,0.04,0.25,19.2,1,0.1,-1.6,-1.6,1354,1789,75.7,26205,9106,590,679,86.9,527,633,83.3,213,391,54.5,-1.3,19,55,17,2,74,1540,249,3,310,60,14,11,1,6,0,1103,286,400,473,1058,76,106,24,8,40,75,60,40,8.0,32,4,1,1,2,2,0.4,2,0,0,0,0,0,105,71,68,29,8,26,30.2,60,236,24.5,459,356,150,0,59,200,113,0,2413,444,43,49,38.8,22,6,1276,5,66,58,1646,1354,82.3,74,90,100,81,31,24,20,21,2.4,1,10,-9,-1.8,2.6,10.1,-7.5,-1.51,0,46,0,2,0,317,67,83,44.7,Champions-League,8,2021-2022
be Club Brugge,20,27,61.8,5,55,450,5.0,16,14,14,2,2,4,0,3.2,2.8,6.0,2.8,5.6,13.9,12.4,10.2,22.6,2.78,2.04,4.82,2.48,4.52,89,36,40.4,17.8,7.2,0.16,0.39,15.7,2,0.14,2.1,1.6,2748,3253,84.5,48648,16433,1306,1432,91.2,1087,1229,88.4,298,461,64.6,3.8,68,209,91,9,255,3030,223,12,476,56,51,22,7,4,1,2435,389,429,938,2055,86,105,30,13,36,84,77,150,30.0,121,9,6,6,3,28,5.6,24,0,0,2,2,0,94,48,46,31,17,31,35.6,56,289,36.1,249,332,220,0,69,181,82,1,3868,324,210,87,52.9,49,3,2509,38,60,63,3139,2748,87.5,255,90,100,79,32,23,27,22,0.8,16,5,11,2.2,13.9,5.3,8.6,1.72,0,48,2,0,1,475,52,75,40.9,Champions-League,8,2021-2022
de Dortmund,23,27,51.8,5,55,450,5.0,10,7,10,0,1,14,0,2.0,1.4,3.4,2.0,3.4,7.3,6.5,4.9,11.4,1.46,0.98,2.44,1.3,2.28,62,23,37.1,12.4,4.6,0.16,0.43,15.7,2,0.11,2.7,3.5,2373,2836,83.7,45905,14877,924,1026,90.1,1056,1187,89.0,348,503,69.2,2.1,46,165,57,14,205,2601,235,6,433,63,72,19,3,6,1,2075,347,414,1156,1421,75,108,38,12,33,86,80,96,19.2,78,7,2,6,1,15,3.0,12,1,0,1,1,0,88,53,49,28,11,38,35.2,70,209,29.4,254,311,145,1,73,185,75,1,3454,367,145,91,56.0,59,3,2412,24,65,77,2650,2373,89.5,205,90,100,85,36,19,16,36,1.2,11,5,6,1.2,7.3,7.2,0.1,0.02,0,43,1,1,0,432,48,68,41.4,Champions-League,8,2021-2022
