Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,2CrdY,Fls,PKwon,PKcon,OG,League Name,League ID,Season
gr AEK Athens,25,24,48.6,8,88,720,8.0,6,5,6,0,0,17,0,0.75,0.62,1.37,0.75,1.37,81,25,30.9,10.13,3.12,0.07,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,86,,22,15,34,1.25,6,7,-1,-0.12,0,144,0,0,0,Europa-League,19,2017-2018
cy Apollon Limassol,20,25,50.3,6,66,540,6.0,14,8,12,2,2,14,0,2.33,1.33,3.67,2.0,3.33,90,38,42.2,15.0,6.33,0.13,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,85,,17,21,25,0.5,14,5,9,1.5,0,100,1,0,0,Europa-League,19,2017-2018
eng Arsenal,31,26,38.6,14,154,1260,14.0,12,6,11,1,2,26,2,0.86,0.43,1.29,0.79,1.21,159,54,34.0,11.36,3.86,0.07,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,83,,42,22,56,1.93,12,30,-18,-1.29,2,155,2,4,2,Europa-League,19,2017-2018
it Atalanta,18,26,55.8,8,88,720,8.0,8,6,8,0,0,18,0,1.0,0.75,1.75,1.0,1.75,90,33,36.7,11.25,4.12,0.09,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,84,,24,22,32,1.88,8,17,-9,-1.13,0,104,0,2,0,Europa-League,19,2017-2018
es Athletic Club,23,26,54.3,10,110,900,10.0,13,10,12,1,1,27,0,1.3,1.0,2.3,1.2,2.2,130,48,36.9,13.0,4.8,0.09,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,85,,25,22,45,1.4,13,14,-1,-0.1,0,112,1,3,1,Europa-League,19,2017-2018
es Atlético Madrid,23,26,51.7,9,99,810,9.0,4,3,4,0,0,15,0,0.44,0.33,0.78,0.44,0.78,113,32,28.3,12.56,3.56,0.04,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,83,,22,30,41,2.44,4,20,-16,-1.78,0,120,0,1,0,Europa-League,19,2017-2018
at Austria Wien,22,26,49.2,6,66,540,6.0,16,14,16,0,0,13,1,2.67,2.33,5.0,2.67,5.0,85,38,44.7,14.17,6.33,0.19,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,84,,18,22,24,0.83,16,9,7,1.17,0,99,0,1,0,Europa-League,19,2017-2018
tr Başakşehir,21,25,43.5,6,66,540,6.0,8,8,8,0,0,13,0,1.33,1.33,2.67,1.33,2.67,71,23,32.4,11.83,3.83,0.11,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,84,,17,25,25,1.33,8,7,1,0.17,0,83,0,1,0,Europa-League,19,2017-2018
by BATE Borisov,18,25,60.8,6,66,540,6.0,15,8,13,2,2,7,0,2.5,1.33,3.83,2.17,3.5,117,43,36.8,19.5,7.17,0.11,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,86,,16,15,25,0.83,16,6,10,1.67,0,58,2,0,0,Europa-League,19,2017-2018
il Be'er Sheva,21,27,42.5,6,66,540,6.0,9,8,9,0,0,16,0,1.5,1.33,2.83,1.5,2.83,90,26,28.9,15.0,4.33,0.1,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,83,,18,26,24,0.67,10,5,5,0.83,0,95,0,2,0,Europa-League,19,2017-2018
pt Braga,22,27,58.0,8,88,720,8.0,10,7,9,1,1,14,1,1.25,0.87,2.12,1.13,2.0,106,42,39.6,13.25,5.25,0.08,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,84,,24,22,32,1.63,11,10,1,0.12,0,137,1,0,0,Europa-League,19,2017-2018
sct Celtic,15,26,36.5,2,22,180,2.0,3,2,3,0,0,7,0,1.5,1.0,2.5,1.5,2.5,16,7,43.8,8.0,3.5,0.19,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,86,,5,16,9,1.5,3,1,2,1.0,0,27,0,0,0,Europa-League,19,2017-2018
ru CSKA Moscow,20,26,47.0,6,66,540,6.0,9,8,8,1,1,7,0,1.5,1.33,2.83,1.33,2.67,80,31,38.8,13.33,5.17,0.1,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,87,,16,13,26,1.33,9,7,2,0.33,0,64,1,0,0,Europa-League,19,2017-2018
