Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,2CrdY,Fls,PKwon,PKcon,OG,League Name,League ID,Season
gr AEK Athens,25,26,51.4,8,88,720,8.0,7,3,7,0,0,,,0.87,0.37,1.25,0.87,1.25,103,37,35.9,12.87,4.62,0.07,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,24,0,32,1.25,7,6,1,0.12,1,119,0,1,0,Europa-League,19,2017-2018
cy Apollon Limassol,20,28,49.7,6,66,540,6.0,5,5,5,0,0,,,0.83,0.83,1.67,0.83,1.67,66,23,34.8,11.0,3.83,0.08,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,18,0,24,0.5,5,14,-9,-1.5,0,78,0,2,0,Europa-League,19,2017-2018
eng Arsenal,31,26,61.4,14,154,1260,14.0,28,19,24,4,4,,,2.0,1.36,3.36,1.71,3.07,214,87,40.7,15.29,6.21,0.11,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,33,0,65,1.93,30,12,18,1.29,0,148,4,2,0,Europa-League,19,2017-2018
it Atalanta,18,26,44.3,8,88,720,8.0,17,12,16,1,2,,,2.12,1.5,3.62,2.0,3.5,105,39,37.1,13.12,4.87,0.15,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,22,0,34,1.88,17,8,9,1.13,0,106,2,0,0,Europa-League,19,2017-2018
es Athletic Club,23,27,45.7,10,110,900,10.0,13,7,10,3,3,,,1.3,0.7,2.0,1.0,1.7,119,40,33.6,11.9,4.0,0.08,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,29,0,41,1.4,14,13,1,0.1,2,125,1,1,0,Europa-League,19,2017-2018
es Atlético Madrid,23,26,48.3,9,99,810,9.0,20,15,19,1,1,,,2.22,1.67,3.89,2.11,3.78,111,50,45.0,12.33,5.56,0.17,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,27,0,36,2.44,20,4,16,1.78,1,99,1,0,0,Europa-League,19,2017-2018
at Austria Wien,22,23,50.8,6,66,540,6.0,9,8,9,0,0,,,1.5,1.33,2.83,1.5,2.83,56,24,42.9,9.33,4.0,0.16,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,17,0,25,0.83,9,16,-7,-1.17,0,62,0,0,0,Europa-League,19,2017-2018
tr Başakşehir,21,29,56.5,6,66,540,6.0,7,5,6,1,1,,,1.17,0.83,2.0,1.0,1.83,77,30,39.0,12.83,5.0,0.08,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,18,0,22,1.33,7,8,-1,-0.17,0,81,1,0,0,Europa-League,19,2017-2018
by BATE Borisov,18,27,39.2,6,66,540,6.0,6,4,6,0,0,,,1.0,0.67,1.67,1.0,1.67,70,20,28.6,11.67,3.33,0.09,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,18,0,24,0.83,6,16,-10,-1.67,0,77,0,2,1,Europa-League,19,2017-2018
il Be'er Sheva,21,29,57.5,6,66,540,6.0,5,3,4,1,2,,,0.83,0.5,1.33,0.67,1.17,76,20,26.3,12.67,3.33,0.05,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,90,100,,,17,0,25,0.67,5,10,-5,-0.83,0,68,1,0,1,Europa-League,19,2017-2018
