Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
cy AÉK Lárnaka,21,29,47.8,6,66,540,6.0,6,5,5,1,1,16,0,1.0,0.83,1.83,0.83,1.67,4.9,4.2,2.8,7.0,0.82,0.47,1.29,0.7,1.17,64,22,34.4,10.67,3.67,0.08,0.23,20.3,1,0.07,1.1,0.8,2072,2712,76.4,45980,16479,681,830,82.0,949,1126,84.3,424,686,61.8,2.2,41,163,38,8,181,2376,336,1,354,82,63,19,0,0,0,1728,442,542,926,1397,153,134,48,22,52,60,63,89,14.83,59,8,8,7,4,8,1.33,7,0,0,0,1,0,118,75,66,41,11,35,29.9,82,256,27.0,291,415,243,1,61,194,120,1,3440,418,114,92,52.2,58,2,2229,19,84,71,2509,2072,82.6,241,90,100,85,48,18,17,23,0.83,6,12,-6,-1.0,4.9,8.4,-3.5,-0.58,0,86.0,1,2,0,549,54,54,50.0,Europa-League,19,2018-2019
tr Akhisarspor,20,30,42.2,6,66,540,6.0,4,2,4,0,1,13,1,0.67,0.33,1.0,0.67,1.0,6.6,5.8,4.3,10.1,1.1,0.71,1.81,0.97,1.69,60,17,28.3,10.0,2.83,0.07,0.24,18.9,1,0.1,-2.6,-1.8,2016,2649,76.1,40380,14289,848,972,87.2,779,947,82.3,359,641,56.0,-2.3,46,130,29,9,134,2347,302,5,321,88,67,26,0,0,0,1591,406,652,1091,1228,139,111,34,19,53,64,72,97,16.17,66,8,9,4,4,7,1.17,4,1,1,1,0,0,95,64,44,39,12,43,35.5,78,214,24.8,299,438,126,1,58,151,113,0,3248,402,81,77,58.4,47,3,2145,13,86,46,2422,2016,83.2,175,90,100,83,47,18,27,19,0.17,4,14,-10,-1.67,6.6,9.3,-2.7,-0.45,1,65.0,1,2,1,501,52,62,45.6,Europa-League,19,2018-2019
be Anderlecht,26,24,62.7,6,66,540,6.0,2,1,2,0,0,10,2,0.33,0.17,0.5,0.33,0.5,5.1,5.1,4.0,9.2,0.85,0.67,1.53,0.85,1.53,83,12,14.5,13.83,2.0,0.02,0.17,19.1,4,0.06,-3.1,-3.1,2841,3497,81.2,56003,19253,1151,1327,86.7,1193,1363,87.5,450,697,64.6,-3.0,59,239,46,14,245,3150,347,0,459,132,87,32,0,0,0,2468,353,676,1300,1773,170,144,48,5,87,66,72,135,22.5,88,12,12,8,4,4,0.67,4,0,0,0,0,0,82,47,46,29,7,35,39.3,54,196,30.0,236,284,133,0,74,116,96,1,4164,276,133,137,63.5,91,5,2972,29,81,74,3248,2841,87.5,284,90,100,85,47,17,15,25,0.5,2,7,-5,-0.83,5.1,6.7,-1.6,-0.27,2,77.0,0,1,0,616,66,59,52.8,Europa-League,19,2018-2019
cy Apollon,22,29,50.5,6,66,540,6.0,10,4,8,2,2,8,0,1.67,0.67,2.33,1.33,2.0,7.2,5.7,4.2,9.9,1.2,0.7,1.9,0.94,1.65,60,17,28.3,10.0,2.83,0.13,0.47,19.3,5,0.1,2.8,2.3,2667,3212,83.0,55181,17139,964,1081,89.2,1195,1353,88.3,462,680,67.9,-0.2,42,130,39,14,173,2925,287,1,265,155,55,19,0,0,0,2308,352,552,868,2065,94,108,53,15,46,53,65,105,17.5,69,10,9,13,0,16,2.67,12,1,0,0,3,0,109,67,70,36,3,37,34.6,70,165,24.7,258,298,111,1,77,149,88,3,3870,488,94,97,66.0,69,6,2877,11,82,66,2888,2667,92.3,216,90,100,80,48,18,35,24,1.17,10,10,0,0.0,7.2,9.1,-2.0,-0.33,0,71.0,2,1,0,490,26,40,39.4,Europa-League,19,2018-2019
eng Arsenal,30,27,57.1,15,165,1350,15.0,28,22,27,1,1,16,2,1.87,1.47,3.33,1.8,3.27,25.1,24.4,20.4,44.8,1.67,1.36,3.04,1.62,2.99,204,71,34.8,13.6,4.73,0.13,0.38,16.2,10,0.12,2.9,2.6,7215,8628,83.6,136490,43169,3026,3369,89.8,3033,3400,89.2,999,1493,66.9,1.6,160,527,174,27,634,7839,789,28,1512,212,184,103,11,10,1,6388,827,1413,2625,5208,254,333,78,27,140,112,215,345,23.0,266,23,20,17,7,47,3.13,35,2,5,1,2,2,226,139,98,91,37,81,36.7,140,617,26.3,685,1079,584,1,173,318,276,4,10229,848,490,271,63.8,188,11,7407,97,211,164,8278,7215,87.2,712,90,100,83,118,45,24,65,2.27,30,13,17,1.13,25.1,14.3,10.8,0.72,1,178.0,1,1,1,1261,166,149,52.7,Europa-League,19,2018-2019
kz Astana FK,17,29,47.3,6,66,540,6.0,7,7,7,0,0,14,0,1.17,1.17,2.33,1.17,2.33,6.7,6.7,5.8,12.5,1.11,0.96,2.08,1.11,2.08,75,19,25.3,12.5,3.17,0.09,0.37,16.7,3,0.09,0.3,0.3,2039,2764,73.8,45565,16633,692,831,83.3,865,1052,82.2,464,819,56.7,1.2,60,167,39,17,165,2440,324,1,394,89,71,26,0,0,0,1656,433,675,1063,1267,167,163,28,22,61,33,63,120,20.0,77,16,9,6,6,12,2.0,9,2,1,0,0,0,110,73,53,45,12,40,32.5,83,236,27.6,308,395,151,0,77,185,156,1,3484,368,102,103,57.3,67,2,2174,15,83,58,2465,2039,82.7,218,90,100,85,48,18,19,24,1.33,7,7,0,0.0,6.7,6.9,-0.2,-0.04,0,95.0,0,1,1,613,78,97,44.6,Europa-League,19,2018-2019
by BATE Borisov,23,27,33.5,8,88,720,8.0,9,8,8,1,1,15,2,1.13,1.0,2.12,1.0,2.0,5.4,4.6,3.7,8.3,0.67,0.46,1.13,0.58,1.04,66,18,27.3,8.25,2.25,0.12,0.44,18.5,0,0.07,3.6,3.4,1918,2783,68.9,39708,15992,774,959,80.7,772,1021,75.6,341,703,48.5,4.3,49,139,26,3,159,2451,332,6,374,73,59,22,0,0,0,1616,405,762,426,1912,205,131,30,21,90,55,82,102,12.75,70,10,10,6,3,17,2.12,7,4,2,0,4,0,133,89,85,39,9,56,28.3,142,272,19.9,687,461,219,0,113,221,254,2,3729,647,104,108,56.5,65,4,2089,28,82,59,2471,1918,77.6,159,90,100,84,63,23,20,33,1.5,10,12,-2,-0.25,5.4,11.3,-6.0,-0.74,1,70.0,1,0,1,738,73,98,42.7,Europa-League,19,2018-2019
pt Benfica,23,24,55.2,6,66,570,6.3,9,6,7,2,2,10,0,1.42,0.95,2.37,1.11,2.05,7.6,6.1,5.0,11.0,1.2,0.79,1.98,0.96,1.74,79,27,34.2,12.47,4.26,0.09,0.26,20.0,3,0.08,1.4,0.9,2579,3292,78.3,50054,17819,1034,1209,85.5,1094,1295,84.5,393,644,61.0,1.0,61,221,55,8,260,2932,360,15,552,102,59,32,6,7,0,2189,472,631,852,2011,155,158,44,12,67,95,89,129,20.37,90,13,10,6,5,14,2.21,12,1,0,0,1,0,130,79,62,45,23,50,33.6,99,325,28.2,363,527,264,0,92,185,163,1,4105,361,151,115,50.4,61,2,2659,26,95,76,3087,2579,83.5,324,95,100,87,47,19,29,23,1.67,9,6,3,0.47,7.6,6.0,1.6,0.25,0,81.0,1,1,0,637,101,105,49.0,Europa-League,19,2018-2019
tr Beşiktaş,23,29,56.2,6,66,540,6.0,9,9,9,0,0,16,1,1.5,1.5,3.0,1.5,3.0,9.5,9.5,8.2,17.6,1.58,1.36,2.94,1.58,2.94,76,27,35.5,12.67,4.5,0.12,0.33,15.4,1,0.13,-0.5,-0.5,2584,3429,75.4,50421,18495,1085,1277,85.0,1057,1297,81.5,403,750,53.7,0.8,62,183,47,10,226,3079,350,6,371,95,82,31,0,0,0,2110,448,871,726,2186,221,153,53,27,76,42,82,120,20.0,93,11,5,5,3,15,2.5,13,1,0,0,1,0,131,95,63,54,14,50,36.8,86,329,35.4,297,439,193,0,93,185,115,1,4153,347,143,92,58.7,56,3,2614,27,118,38,3131,2584,82.5,256,90,100,83,47,18,25,23,1.17,9,11,-2,-0.33,9.5,11.7,-2.3,-0.38,0,79.0,0,1,1,728,102,119,46.2,Europa-League,19,2018-2019
es Betis,25,27,65.6,8,88,720,8.0,11,9,11,0,1,18,0,1.37,1.13,2.5,1.37,2.5,13.3,12.5,9.3,21.8,1.67,1.16,2.83,1.56,2.72,118,42,35.6,14.75,5.25,0.09,0.26,17.1,6,0.11,-2.3,-1.5,4797,5458,87.9,91352,25607,1845,2024,91.2,2327,2531,91.9,581,804,72.3,-0.3,86,382,95,19,363,5070,388,13,720,150,125,43,0,0,0,4347,528,583,1766,3288,137,180,45,12,77,60,74,195,24.37,148,12,11,14,3,19,2.37,12,2,2,1,2,0,104,69,41,50,13,46,35.1,85,269,26.2,237,468,322,1,83,169,112,3,6263,399,233,141,66.7,105,7,4859,46,97,70,5221,4797,91.9,401,90,100,85,65,23,18,33,1.63,11,8,3,0.37,13.3,8.4,4.9,0.62,0,89.0,1,1,1,598,56,51,52.3,Europa-League,19,2018-2019
