Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
be Antwerp,19,27,49.4,5,55,450,5.0,10,8,8,2,3,8,0,2.0,1.6,3.6,1.6,3.2,8.5,6.2,4.9,11.1,1.7,0.98,2.68,1.25,2.23,66,21,31.8,13.2,4.2,0.12,0.38,16.9,0,0.09,1.5,1.8,1835,2349,78.1,35932,12666,746,859,86.8,780,933,83.6,274,471,58.2,3.1,52,119,48,16,185,2111,238,2,296,61,85,32,11,10,2,1496,331,522,624,1445,100,94,32,13,41,89,60,106,21.2,77,12,5,7,0,18,3.6,13,1,0,2,2,0,101,60,40,48,13,37,38.5,59,247,33.0,254,325,170,0,48,190,116,0,2949,280,140,74,55.4,47,6,1768,24,60,39,2250,1835,81.6,185,90,100,83,31,24,16,30,0.4,10,5,5,1.0,8.5,4.7,3.8,0.76,0,61,3,0,0,409,94,77,55.0,Europa-League,19,2021-2022
es Betis,25,25,47.2,5,55,450,5.0,9,5,8,1,1,12,1,1.8,1.0,2.8,1.6,2.6,7.4,6.7,5.5,12.2,1.49,1.11,2.6,1.34,2.45,70,28,40.0,14.0,5.6,0.11,0.29,17.0,0,0.1,1.6,1.3,1974,2385,82.8,37481,11984,813,911,89.2,884,1002,88.2,253,411,61.6,-0.5,54,133,40,8,158,2172,213,9,292,56,54,25,8,13,1,1683,301,401,697,1448,86,78,43,16,37,65,54,109,21.8,78,16,2,5,2,12,2.4,7,1,0,1,2,1,87,57,36,44,7,22,34.9,41,230,31.6,256,313,158,0,45,145,102,3,2959,369,104,88,56.8,51,6,1944,19,62,36,2227,1974,88.6,158,90,100,85,35,19,14,26,2.0,9,10,-1,-0.2,7.4,8.1,-0.6,-0.12,0,62,1,1,1,354,65,63,50.8,Europa-League,19,2021-2022
pt Braga,23,27,43.6,5,55,450,5.0,8,4,5,3,3,15,1,1.6,0.8,2.4,1.0,1.8,6.4,4.1,2.4,6.6,1.29,0.48,1.77,0.83,1.31,36,15,41.7,7.2,3.0,0.14,0.33,19.3,2,0.12,1.6,0.9,1689,2212,76.4,34736,11589,591,684,86.4,790,940,84.0,274,511,53.6,1.6,22,98,18,2,124,1976,236,2,281,68,35,19,11,7,0,1399,296,517,429,1471,112,95,31,12,56,65,41,56,11.2,34,7,6,6,2,13,2.6,6,3,0,1,3,0,79,47,30,38,11,23,41.1,33,176,31.3,164,276,123,0,50,162,89,3,2788,434,75,79,43.0,36,3,1711,7,66,78,2127,1689,79.4,124,90,100,83,35,19,21,34,1.8,8,11,-3,-0.6,6.4,9.2,-2.7,-0.54,0,75,3,2,0,433,95,84,53.1,Europa-League,19,2021-2022
dk Brøndby,20,27,57.4,5,55,450,5.0,9,7,9,0,0,9,0,1.8,1.4,3.2,1.8,3.2,8.9,8.9,6.5,15.5,1.79,1.31,3.09,1.79,3.09,85,30,35.3,17.0,6.0,0.11,0.3,16.5,1,0.11,0.1,0.1,2694,3170,85.0,49935,15856,1235,1361,90.7,1010,1141,88.5,380,552,68.8,0.5,62,154,47,12,191,2947,223,4,415,89,54,19,4,10,0,2318,379,473,929,1927,100,113,38,8,37,74,62,135,27.0,90,14,14,6,3,16,3.2,11,1,2,1,0,1,73,52,22,39,12,25,35.7,45,253,35.2,152,354,213,0,70,167,53,1,3721,297,151,90,55.6,57,4,2650,36,84,49,3024,2694,89.1,191,90,100,82,33,22,19,31,0.4,9,2,7,1.4,8.9,2.7,6.2,1.24,0,36,0,0,1,420,84,74,53.2,Europa-League,19,2021-2022
sct Celtic,21,26,44.0,5,55,450,5.0,12,10,11,1,1,9,0,2.4,2.0,4.4,2.2,4.2,8.9,8.3,7.3,15.6,1.78,1.45,3.24,1.67,3.12,72,31,43.1,14.4,6.2,0.15,0.35,16.3,1,0.12,3.1,2.7,1959,2386,82.1,38419,12007,779,858,90.8,844,971,86.9,301,478,63.0,2.7,61,128,45,7,148,2156,230,11,323,59,49,27,10,14,1,1705,279,402,803,1365,55,94,31,11,35,66,51,120,24.0,96,9,2,3,3,19,3.8,16,1,0,1,0,1,78,42,41,28,9,29,31.9,62,256,28.6,322,377,197,1,56,169,86,1,2941,383,147,78,50.0,43,8,2030,34,55,42,2275,1959,86.1,148,90,100,83,34,21,19,28,1.2,13,10,3,0.6,8.9,10.1,-1.2,-0.23,0,63,0,3,1,331,58,66,46.8,Europa-League,19,2021-2022
hr Dinamo Zagreb,22,25,48.4,5,55,450,5.0,6,3,6,0,0,9,1,1.2,0.6,1.8,1.2,1.8,6.3,6.3,4.4,10.8,1.27,0.88,2.15,1.27,2.15,59,18,30.5,11.8,3.6,0.1,0.33,16.1,1,0.11,-0.3,-0.3,1967,2434,80.8,36587,12367,860,955,90.1,818,952,85.9,250,433,57.7,-1.4,40,140,47,10,170,2199,235,2,289,55,51,26,9,11,3,1664,346,424,709,1446,86,108,37,3,40,75,62,84,16.8,55,12,3,9,3,8,1.6,3,1,1,0,1,2,83,56,40,37,6,24,26.7,66,208,28.1,242,378,121,0,49,156,89,0,2999,259,119,59,55.9,36,2,1853,19,83,49,2269,1967,86.7,170,90,100,81,33,21,21,32,1.4,6,8,-2,-0.4,6.3,6.3,0.1,0.01,0,70,0,1,0,417,68,83,45.0,Europa-League,19,2021-2022
de Eint Frankfurt,22,27,45.2,5,55,450,5.0,5,3,4,1,2,13,0,1.0,0.6,1.6,0.8,1.4,6.0,4.4,3.4,7.8,1.19,0.68,1.87,0.89,1.57,45,17,37.8,9.0,3.4,0.09,0.24,15.7,0,0.11,-1.0,-0.4,1636,2198,74.4,35720,12872,557,671,83.0,697,859,81.1,354,585,60.5,-0.4,35,107,31,7,127,1903,295,4,440,72,45,12,7,5,0,1293,333,572,499,1370,100,135,30,5,47,77,53,77,15.4,54,8,3,5,1,9,1.8,5,1,0,2,1,0,70,42,39,20,11,26,35.1,48,249,33.4,213,362,170,0,80,156,99,0,2817,362,78,88,60.2,56,3,1583,12,83,56,2067,1636,79.1,127,90,100,84,37,18,18,27,2.2,5,9,-4,-0.8,6.0,8.0,-2.1,-0.41,0,52,1,2,0,459,74,119,38.3,Europa-League,19,2021-2022
tr Fenerbahçe,23,26,54.0,5,55,450,5.0,7,7,7,0,0,10,0,1.4,1.4,2.8,1.4,2.8,5.7,5.7,4.8,10.5,1.14,0.96,2.1,1.14,2.1,52,20,38.5,10.4,4.0,0.13,0.35,15.8,0,0.11,1.3,1.3,2090,2611,80.0,44058,14229,731,848,86.2,951,1084,87.7,383,582,65.8,2.2,38,134,39,19,173,2359,252,4,403,87,67,24,5,13,1,1774,360,477,710,1563,104,115,45,12,58,95,59,79,15.8,54,6,5,3,3,11,2.2,8,1,0,2,0,0,79,48,37,36,6,28,40.6,41,189,28.4,218,309,139,0,35,163,108,1,3159,346,103,86,55.8,53,3,1968,18,66,53,2402,2090,87.0,173,90,100,80,36,19,28,30,1.0,7,6,1,0.2,5.7,8.7,-3.0,-0.6,0,63,0,3,0,414,96,59,61.9,Europa-League,19,2021-2022
hu Ferencváros,21,26,61.8,5,55,450,5.0,10,9,10,0,1,8,0,2.0,1.8,3.8,2.0,3.8,9.9,9.1,7.8,16.9,1.97,1.56,3.54,1.82,3.38,84,29,34.5,16.8,5.8,0.12,0.34,18.3,1,0.11,0.1,0.9,2900,3331,87.1,54432,15120,1191,1283,92.8,1292,1435,90.0,376,521,72.2,1.2,65,185,51,7,194,3094,237,6,341,56,65,34,10,13,0,2639,325,367,1079,2013,74,96,36,4,49,80,47,130,26.0,101,9,10,4,2,17,3.4,16,0,1,0,0,0,70,41,30,28,12,34,45.9,40,174,28.4,158,259,196,0,50,156,64,2,3855,324,138,75,68.0,54,6,2757,24,58,53,3178,2900,91.3,194,90,100,82,34,21,21,34,0.0,12,4,8,1.6,9.9,4.2,5.7,1.14,0,55,1,0,1,365,64,50,56.1,Europa-League,19,2021-2022
tr Galatasaray,21,26,55.2,5,55,450,5.0,3,2,3,0,1,17,0,0.6,0.4,1.0,0.6,1.0,7.6,6.7,4.7,11.5,1.52,0.95,2.47,1.34,2.29,64,21,32.8,12.8,4.2,0.05,0.14,18.1,2,0.11,-4.6,-3.7,2127,2567,82.9,39577,12633,931,1041,89.4,900,1043,86.3,268,404,66.3,-2.7,41,146,41,9,174,2321,246,5,313,64,67,25,12,7,1,1840,344,383,724,1567,89,119,32,15,46,63,60,97,19.4,69,10,4,5,1,3,0.6,2,0,0,1,0,0,90,59,33,45,12,29,37.2,49,247,32.9,187,390,173,1,60,158,77,3,3147,291,111,92,50.0,47,10,1998,22,59,85,2485,2127,85.6,174,90,100,84,42,13,25,40,2.2,3,7,-4,-0.8,7.6,5.4,2.2,0.45,0,74,1,0,2,407,52,63,45.2,Europa-League,19,2021-2022
be Genk,20,27,48.4,5,55,450,5.0,9,5,7,2,2,7,0,1.8,1.0,2.8,1.4,2.4,6.4,5.0,4.3,9.2,1.29,0.85,2.14,0.99,1.84,59,21,35.6,11.8,4.2,0.12,0.33,15.9,0,0.08,2.6,2.0,2093,2532,82.7,39824,14093,904,1006,89.9,865,982,88.1,281,452,62.2,0.7,46,165,54,10,190,2317,215,5,306,68,59,18,8,5,0,1818,280,434,612,1679,82,90,23,7,38,74,54,96,19.2,70,9,7,5,2,17,3.4,9,2,2,0,3,1,89,57,48,34,7,34,32.7,70,217,29.7,258,329,144,0,62,164,88,1,3127,305,144,80,61.3,54,3,2024,28,68,61,2297,2093,91.1,190,90,100,82,31,24,18,33,1.0,9,4,5,1.0,6.4,6.4,0.0,0.01,0,53,2,0,1,398,69,60,53.5,Europa-League,19,2021-2022
it Lazio,19,25,50.2,5,55,450,5.0,2,0,1,1,1,14,0,0.4,0.0,0.4,0.2,0.2,4.2,3.4,2.6,6.0,0.84,0.51,1.35,0.68,1.19,65,12,18.5,13.0,2.4,0.02,0.08,18.2,2,0.05,-2.2,-2.4,2424,2882,84.1,49646,14577,859,962,89.3,1125,1226,91.8,397,591,67.2,-2.6,49,142,34,4,167,2635,247,2,289,110,43,22,11,4,3,2111,335,436,819,1815,67,102,36,4,47,52,63,110,22.0,69,12,6,7,9,3,0.6,1,0,0,1,1,0,85,53,28,47,10,37,38.5,59,229,29.8,193,390,186,1,53,189,71,3,3441,437,104,87,58.6,55,4,2352,19,63,53,2735,2424,88.6,167,90,100,84,37,18,17,36,1.6,3,7,-4,-0.8,4.2,9.5,-5.3,-1.06,0,53,1,2,0,373,49,45,52.1,Europa-League,19,2021-2022
pl Legia Warsaw,23,26,63.0,5,55,450,5.0,10,6,8,2,2,11,0,2.0,1.2,3.2,1.6,2.8,11.5,10.0,8.0,18.0,2.3,1.6,3.89,2.0,3.59,108,29,26.9,21.6,5.8,0.07,0.28,16.7,5,0.09,-1.5,-2.0,2672,3122,85.6,46512,14504,1284,1398,91.8,1083,1219,88.8,258,402,64.2,-2.0,77,228,63,9,231,2887,235,5,389,52,68,47,16,14,7,2402,316,404,849,2018,81,92,29,8,41,82,66,188,37.6,143,11,8,8,5,20,4.0,12,1,1,2,2,2,82,47,25,37,20,30,40.0,45,191,29.7,150,291,202,0,43,160,77,0,3674,232,214,91,60.4,57,0,2572,54,63,45,3005,2672,88.9,231,90,100,82,33,22,20,27,1.2,10,4,6,1.2,11.5,5.0,6.5,1.31,0,70,2,1,0,397,79,54,59.4,Europa-League,19,2021-2022
eng Leicester City,22,26,39.4,5,55,450,5.0,8,7,8,0,1,13,0,1.6,1.4,3.0,1.6,3.0,5.6,4.7,4.1,8.8,1.13,0.82,1.95,0.93,1.76,56,21,37.5,11.2,4.2,0.14,0.38,18.8,4,0.08,2.4,3.3,1558,2017,77.2,29638,10346,707,812,87.1,575,689,83.5,241,424,56.8,2.9,41,102,25,6,118,1762,255,4,420,57,39,26,11,12,0,1279,300,438,577,1178,76,107,33,4,40,61,59,91,18.2,63,5,9,6,2,15,3.0,11,0,1,2,0,1,73,41,38,24,11,41,42.7,55,199,27.0,246,348,142,0,82,144,114,1,2617,342,89,69,53.6,42,4,1550,22,58,68,1882,1558,82.8,118,90,100,84,34,21,15,29,1.6,8,10,-2,-0.4,5.6,9.2,-3.6,-0.71,0,60,0,1,0,363,64,80,44.4,Europa-League,19,2021-2022
de Leverkusen,21,27,46.4,5,55,450,5.0,4,2,2,2,2,5,1,0.8,0.4,1.2,0.4,0.8,6.7,5.2,3.5,8.7,1.34,0.71,2.05,1.04,1.74,61,22,36.1,12.2,4.4,0.03,0.09,19.4,3,0.09,-2.7,-3.2,2066,2510,82.3,38381,12603,850,945,89.9,934,1077,86.7,246,398,61.8,-1.5,41,123,24,6,132,2246,264,1,407,39,53,22,3,11,0,1856,298,356,706,1556,67,106,36,6,35,88,51,92,18.4,68,9,2,6,2,7,1.4,5,1,0,0,1,0,79,49,35,33,11,33,39.3,51,201,27.1,238,331,173,1,52,157,93,2,3130,396,89,71,57.7,46,8,2048,15,74,65,2436,2066,84.8,132,90,100,81,33,21,23,32,2.6,4,14,-10,-2.0,6.7,10.6,-3.9,-0.79,0,36,1,1,0,375,53,61,46.5,Europa-League,19,2021-2022
ru Loko Moscow,25,27,58.8,5,55,450,5.0,8,4,5,3,3,16,0,1.6,0.8,2.4,1.0,1.8,10.5,8.2,7.4,15.5,2.09,1.47,3.56,1.64,3.11,76,22,28.9,15.2,4.4,0.07,0.23,15.9,0,0.11,-2.5,-3.2,2447,2913,84.0,43980,14222,1109,1223,90.7,969,1100,88.1,308,458,67.2,-3.4,63,160,45,11,164,2644,269,6,422,68,75,33,11,18,0,2120,358,435,896,1740,96,104,24,7,34,92,75,129,25.8,81,23,8,8,3,14,2.8,8,1,2,0,3,0,112,69,50,49,13,39,39.8,59,238,37.5,190,292,152,0,46,178,67,0,3476,312,157,101,64.4,68,3,2238,34,58,70,2805,2447,87.2,164,90,100,82,32,23,20,37,0.4,8,2,6,1.2,10.5,3.9,6.6,1.31,0,60,3,0,0,413,75,55,57.7,Europa-League,19,2021-2022
bg Ludogorets,22,27,49.4,5,55,450,5.0,8,5,8,0,0,13,0,1.6,1.0,2.6,1.6,2.6,8.5,8.5,6.8,15.3,1.7,1.37,3.07,1.7,3.07,89,27,30.3,17.8,5.4,0.09,0.3,17.3,2,0.1,-0.5,-0.5,1881,2386,78.8,39364,13538,655,756,86.6,875,1025,85.4,321,522,61.5,-1.8,69,169,52,14,198,2141,245,2,280,84,63,37,19,12,1,1529,320,537,627,1439,119,107,29,4,48,62,49,138,27.6,111,12,6,5,2,13,2.6,12,0,0,0,0,1,104,65,49,43,12,29,50.9,28,212,32.5,182,292,178,0,39,191,81,1,2968,244,153,79,59.5,51,6,1896,25,69,63,2245,1881,83.8,198,90,100,83,34,22,18,30,0.2,8,3,5,1.0,8.5,2.9,5.6,1.13,0,66,0,0,0,447,78,75,51.0,Europa-League,19,2021-2022
fr Lyon,24,26,39.0,5,55,450,5.0,4,2,4,0,0,9,0,0.8,0.4,1.2,0.8,1.2,4.0,4.0,2.0,6.0,0.8,0.39,1.19,0.8,1.19,49,12,24.5,9.8,2.4,0.08,0.33,17.5,3,0.09,0.0,0.0,1599,2088,76.6,31114,11619,669,772,86.7,650,784,82.9,241,430,56.0,0.0,30,102,31,12,114,1859,229,4,365,62,62,15,6,6,0,1295,331,462,494,1311,89,108,44,8,34,80,55,70,14.0,50,5,3,7,2,6,1.2,3,1,1,1,0,0,96,63,41,48,7,40,37.0,68,250,25.5,286,509,187,1,50,183,50,1,2637,316,92,71,62.0,47,3,1578,19,78,58,1909,1599,83.8,114,90,100,81,34,21,23,37,3.0,4,15,-11,-2.2,4.0,11.3,-7.3,-1.46,0,51,0,0,1,418,50,70,41.7,Europa-League,19,2021-2022
