Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
be Antwerp,21,27,50.3,6,66,540,6.0,10,8,8,2,3,10,0,1.67,1.33,3.0,1.33,2.67,9.3,7.0,5.6,12.6,1.55,0.94,2.48,1.17,2.1,76,25,32.9,12.67,4.17,0.11,0.32,17.7,0,0.09,0.7,1.0,2246,2870,78.3,44824,15596,877,1014,86.5,965,1147,84.1,361,602,60.0,2.4,60,149,57,21,229,2577,293,2,356,79,103,37,12,11,2,1845,407,618,746,1761,131,123,38,14,48,118,73,120,20.0,89,14,5,7,0,18,3.0,13,1,0,2,2,0,121,71,50,54,17,45,42.1,62,283,32.7,285,377,204,0,53,227,130,0,3570,351,160,85,56.5,56,6,2199,25,72,57,2724,2246,82.5,229,90,100,81,37,29,20,37,0.83,10,6,4,0.67,9.3,5.8,3.4,0.57,0,72,3,0,0,475,116,91,56.0,Europa-League,19,2021-2022
es Betis,25,25,47.0,6,66,540,6.0,12,7,10,2,2,14,1,2.0,1.17,3.17,1.67,2.83,9.3,7.8,6.6,14.4,1.55,1.1,2.65,1.3,2.4,77,31,40.3,12.83,5.17,0.13,0.32,16.7,1,0.1,2.7,2.2,2361,2866,82.4,44807,14485,979,1101,88.9,1037,1183,87.7,310,499,62.1,0.4,60,161,45,10,188,2610,256,10,397,72,62,30,8,15,2,2038,358,470,821,1755,103,97,50,19,50,81,64,122,20.33,87,18,2,7,2,16,2.67,9,2,0,1,3,1,110,70,50,51,9,29,35.8,52,285,30.8,317,403,205,0,63,187,115,3,3561,457,127,114,50.0,58,7,2292,23,73,40,2693,2361,87.7,188,90,100,84,42,24,17,31,1.67,12,12,0,0.0,9.3,10.8,-1.5,-0.25,0,76,2,1,2,414,76,74,50.7,Europa-League,19,2021-2022
pt Braga,24,27,41.8,6,66,540,6.0,9,4,5,4,4,18,1,1.5,0.67,2.17,0.83,1.5,7.3,4.3,2.5,6.8,1.22,0.42,1.64,0.72,1.13,40,17,42.5,6.67,2.83,0.13,0.29,19.9,2,0.11,1.7,0.7,1882,2521,74.7,39149,13522,653,772,84.6,878,1057,83.1,313,597,52.4,1.5,24,111,20,3,144,2227,294,2,337,79,40,24,12,10,1,1551,351,619,478,1655,133,126,33,18,64,81,53,63,10.5,37,7,7,8,2,15,2.5,6,3,0,1,5,0,94,58,35,46,13,24,35.3,44,230,30.4,228,363,166,0,59,202,127,3,3218,523,83,84,40.5,37,3,1901,9,76,84,2395,1882,78.6,144,90,100,82,41,24,21,38,1.67,9,12,-3,-0.5,7.3,11.1,-3.8,-0.63,0,86,4,3,0,496,120,109,52.4,Europa-League,19,2021-2022
dk Brøndby,22,27,55.0,6,66,540,6.0,11,7,11,0,0,13,1,1.83,1.17,3.0,1.83,3.0,10.0,10.0,7.2,17.2,1.67,1.19,2.86,1.67,2.86,95,37,38.9,15.83,6.17,0.12,0.3,16.0,2,0.11,1.0,1.0,2963,3558,83.3,55535,18065,1324,1474,89.8,1134,1292,87.8,426,657,64.8,-0.2,69,172,51,14,218,3287,271,6,445,101,61,22,6,11,0,2534,436,588,1066,2121,125,131,46,10,48,84,73,152,25.33,100,16,16,8,3,19,3.17,11,1,3,2,1,1,92,64,34,45,13,34,39.5,52,307,35.7,191,429,240,0,79,207,67,1,4218,366,176,110,58.2,71,6,2937,46,96,58,3396,2963,87.2,218,90,100,82,40,25,19,40,0.33,11,2,9,1.5,10.0,3.7,6.3,1.05,1,48,0,0,1,516,92,89,50.8,Europa-League,19,2021-2022
sct Celtic,25,27,45.7,6,66,540,6.0,13,11,12,1,1,12,0,2.17,1.83,4.0,2.0,3.83,11.7,11.1,9.5,20.6,1.94,1.59,3.53,1.85,3.44,91,38,41.8,15.17,6.33,0.13,0.32,16.7,1,0.12,1.3,0.9,2392,2924,81.8,46590,14787,958,1054,90.9,1025,1180,86.9,363,582,62.4,1.5,74,158,56,9,190,2631,293,13,393,73,69,37,14,19,0,2076,362,486,965,1686,69,120,41,12,44,81,69,149,24.83,119,10,5,3,4,21,3.5,18,1,0,1,0,1,100,54,51,39,10,47,41.2,67,304,29.3,349,461,228,1,68,206,93,2,3590,441,181,97,51.5,54,10,2494,42,62,58,2791,2397,85.9,189,90,100,82,41,25,19,35,1.5,15,13,2,0.33,11.7,11.9,-0.2,-0.04,0,73,0,4,1,413,67,79,45.9,Europa-League,19,2021-2022
hr Dinamo Zagreb,25,25,48.5,6,66,540,6.0,6,3,6,0,0,9,1,1.0,0.5,1.5,1.0,1.5,6.6,6.6,4.6,11.2,1.1,0.77,1.87,1.1,1.87,66,20,30.3,11.0,3.33,0.09,0.3,16.6,3,0.1,-0.6,-0.6,2379,2944,80.8,44646,14674,1027,1139,90.2,993,1159,85.7,315,533,59.1,-1.6,43,176,53,13,199,2659,285,2,344,71,70,32,12,15,1,2002,423,519,859,1754,104,129,42,4,48,96,76,92,15.33,59,12,5,11,3,8,1.33,3,1,1,0,1,2,105,75,52,46,7,32,29.6,76,269,29.1,294,475,156,0,59,189,97,0,3604,302,140,76,56.6,47,2,2287,23,94,63,2770,2379,85.9,199,90,100,82,41,24,21,39,1.67,6,9,-3,-0.5,6.6,7.0,-0.4,-0.06,0,75,0,1,0,483,79,100,44.1,Europa-League,19,2021-2022
de Eint Frankfurt,22,27,44.7,6,66,540,6.0,6,3,5,1,2,15,0,1.0,0.5,1.5,0.83,1.33,6.6,5.1,3.6,8.7,1.11,0.59,1.7,0.85,1.45,50,19,38.0,8.33,3.17,0.1,0.26,15.9,1,0.11,-0.6,-0.1,2018,2686,75.1,43188,15249,711,841,84.5,860,1048,82.1,409,686,59.6,-0.6,38,119,33,7,146,2334,352,4,521,83,54,13,7,5,1,1628,390,668,648,1653,119,159,39,7,55,91,71,84,14.0,59,8,3,6,2,9,1.5,5,1,0,2,1,0,90,56,50,26,14,32,36.0,57,290,32.5,256,442,193,0,87,191,115,0,3412,435,84,111,57.7,71,4,1921,12,94,63,2523,2018,80.0,146,90,100,84,43,23,18,34,2.0,6,10,-4,-0.67,6.6,8.8,-2.2,-0.36,0,56,1,2,0,537,79,136,36.7,Europa-League,19,2021-2022
tr Fenerbahçe,23,27,54.5,6,66,540,6.0,8,8,8,0,0,13,0,1.33,1.33,2.67,1.33,2.67,6.4,6.4,5.4,11.8,1.07,0.9,1.97,1.07,1.97,62,24,38.7,10.33,4.0,0.13,0.33,15.8,0,0.1,1.6,1.6,2649,3275,80.9,55167,16981,925,1071,86.4,1233,1391,88.6,460,702,65.5,2.6,45,161,50,23,209,2982,293,5,458,97,78,28,6,15,1,2284,435,556,922,1944,123,140,58,14,71,112,65,93,15.5,66,7,6,3,3,13,2.17,9,1,1,2,0,0,96,58,41,46,9,38,41.8,53,244,29.4,244,403,184,0,53,192,117,2,3924,404,126,101,55.4,63,5,2482,22,76,67,3044,2649,87.0,209,90,100,80,42,24,26,37,1.0,8,7,1,0.17,6.4,9.3,-2.9,-0.49,0,79,0,3,0,497,113,63,64.2,Europa-League,19,2021-2022
hu Ferencváros,21,26,60.8,6,66,540,6.0,10,9,10,0,1,11,0,1.67,1.5,3.17,1.67,3.17,11.1,10.4,8.7,19.1,1.86,1.45,3.3,1.73,3.18,97,33,34.0,16.17,5.5,0.1,0.3,17.9,1,0.11,-1.1,-0.4,3421,3942,86.8,64113,17998,1421,1530,92.9,1492,1674,89.1,456,629,72.5,0.3,76,225,56,8,231,3659,283,7,406,78,80,40,13,16,0,3120,399,423,1187,2481,84,116,39,7,59,94,53,153,25.5,116,14,10,5,4,17,2.83,16,0,1,0,0,0,93,53,44,34,15,41,43.2,54,214,28.9,204,313,223,0,64,192,72,3,4564,375,161,92,63.0,66,6,3265,32,67,62,3778,3421,90.6,231,90,100,82,40,26,22,38,0.5,12,5,7,1.17,11.1,4.8,6.3,1.05,0,66,1,0,1,441,73,59,55.3,Europa-League,19,2021-2022
tr Galatasaray,21,27,56.3,6,66,540,6.0,3,2,3,0,1,18,0,0.5,0.33,0.83,0.5,0.83,8.3,7.4,5.3,12.7,1.39,0.89,2.27,1.24,2.12,75,22,29.3,12.5,3.67,0.04,0.14,18.2,3,0.1,-5.3,-4.4,2717,3253,83.5,50671,15979,1192,1329,89.7,1149,1317,87.2,341,507,67.3,-3.3,49,192,49,10,226,2957,296,5,380,79,78,31,14,11,1,2334,437,482,897,2003,119,146,38,15,53,76,77,113,18.83,83,11,4,6,1,3,0.5,2,0,0,1,0,0,105,69,40,53,12,33,39.3,51,277,33.1,215,430,193,1,65,182,88,3,3924,338,138,99,50.5,52,10,2535,30,66,102,3132,2717,86.7,226,90,100,84,49,17,24,48,2.0,3,7,-4,-0.67,8.3,6.0,2.3,0.38,0,86,1,0,2,494,69,77,47.3,Europa-League,19,2021-2022
