Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
be Antwerp,21,26,49.7,6,66,540,6.0,6,5,6,0,0,12,1,1.0,0.83,1.83,1.0,1.83,5.8,5.8,5.0,10.8,0.97,0.84,1.81,0.97,1.81,66,22,33.3,11.0,3.67,0.09,0.27,17.3,0,0.09,0.2,0.2,2255,2898,77.8,47165,16386,832,966,86.1,961,1141,84.2,431,691,62.4,0.0,55,147,38,18,171,2589,309,1,451,82,67,31,10,13,3,1852,410,636,572,1934,119,132,48,8,62,102,53,107,17.83,78,10,5,3,5,10,1.67,7,2,0,1,0,0,85,53,42,33,10,28,33.3,56,236,28.4,256,396,178,0,73,204,128,1,3608,481,104,107,53.3,62,3,2165,22,78,76,2784,2255,81.0,171,90,100,82,44,21,25,25,0.83,6,10,-4,-0.67,5.8,9.3,-3.4,-0.57,1,67,0,3,0,504,91,116,44.0,Europa-League,19,2021-2022
es Betis,25,29,53.0,6,66,540,6.0,10,8,9,1,1,12,1,1.67,1.33,3.0,1.5,2.83,10.8,10.1,8.1,18.1,1.81,1.34,3.15,1.68,3.02,96,35,36.5,16.0,5.83,0.09,0.26,18.2,1,0.11,-0.8,-1.1,2711,3239,83.7,50796,15242,1112,1221,91.1,1193,1347,88.6,351,553,63.5,-0.1,67,157,39,4,169,2940,299,6,459,64,68,35,4,22,0,2382,387,470,1141,1816,84,110,43,8,39,72,65,138,23.0,102,16,9,3,2,17,2.83,16,1,0,0,0,0,94,53,38,45,11,54,48.2,58,227,26.8,229,420,197,1,66,175,93,1,3914,387,150,81,59.3,52,7,2660,32,55,81,3084,2716,88.1,168,90,100,79,39,26,25,43,1.67,12,12,0,0.0,10.8,9.3,1.5,0.25,0,62,0,2,0,445,72,76,48.6,Europa-League,19,2021-2022
pt Braga,24,26,58.2,6,66,540,6.0,12,8,10,2,3,12,0,2.0,1.33,3.33,1.67,3.0,11.1,8.8,6.8,15.7,1.85,1.14,2.99,1.47,2.61,107,29,27.1,17.83,4.83,0.09,0.34,17.5,1,0.08,0.9,1.2,2675,3340,80.1,56381,17356,889,1022,87.0,1263,1479,85.4,481,739,65.1,1.2,87,197,55,18,219,3015,325,5,340,111,60,41,18,13,1,2239,441,660,978,1960,134,134,58,7,55,104,60,172,28.67,134,15,8,4,0,17,2.83,14,0,0,2,1,0,130,77,56,57,17,46,55.4,37,287,34.5,241,388,203,1,54,221,105,2,4051,368,181,68,60.3,44,1,2530,35,91,70,3140,2675,85.2,219,90,100,81,37,29,20,42,1.67,12,9,3,0.5,11.1,7.3,3.8,0.63,0,63,2,4,0,538,109,120,47.6,Europa-League,19,2021-2022
dk Brøndby,22,25,45.0,6,66,540,6.0,1,0,1,0,0,11,1,0.17,0.0,0.17,0.17,0.17,3.7,3.7,2.4,6.1,0.62,0.39,1.01,0.62,1.01,33,4,12.1,5.5,0.67,0.03,0.25,16.0,0,0.13,-2.7,-2.7,2179,2835,76.9,44717,14575,776,907,85.6,1005,1186,84.7,358,638,56.1,-2.4,23,130,29,12,156,2552,283,4,445,92,60,21,8,9,0,1864,409,562,549,1929,102,133,63,18,66,110,77,48,8.0,40,2,0,0,4,1,0.17,0,0,0,1,0,0,94,69,43,45,6,36,33.6,71,266,27.9,295,474,185,0,71,184,102,1,3451,492,80,86,54.7,52,4,2163,16,80,58,2619,2179,83.2,156,90,100,80,36,29,22,43,0.33,2,11,-9,-1.5,3.7,10.0,-6.3,-1.05,1,56,0,0,0,506,89,92,49.2,Europa-League,19,2021-2022
sct Celtic,25,25,54.3,6,66,540,6.0,12,8,9,3,4,11,0,2.0,1.33,3.33,1.5,2.83,11.9,8.9,7.2,16.1,1.99,1.21,3.19,1.48,2.69,74,28,37.8,12.33,4.67,0.12,0.32,17.0,2,0.12,0.1,0.1,2957,3498,84.5,54933,17033,1251,1379,90.7,1302,1481,87.9,365,532,68.6,0.8,60,197,53,13,210,3192,306,10,500,66,73,34,8,9,1,2691,359,448,816,2367,90,130,50,12,58,105,66,125,20.83,94,12,4,10,1,18,3.0,11,2,1,0,4,0,101,66,49,39,13,43,44.3,54,254,30.0,253,340,254,0,67,192,101,3,4175,470,139,116,55.2,67,7,2844,20,78,53,3395,2957,87.1,210,90,100,83,44,23,20,42,1.5,13,15,-2,-0.33,11.9,11.7,0.2,0.04,0,60,4,1,2,417,79,69,53.4,Europa-League,19,2021-2022
hr Dinamo Zagreb,25,26,51.5,6,66,540,6.0,9,6,7,2,2,9,0,1.5,1.0,2.5,1.17,2.17,7.0,5.5,4.3,9.8,1.16,0.71,1.87,0.91,1.63,60,16,26.7,10.0,2.67,0.12,0.44,18.3,2,0.1,2.0,1.5,2553,3089,82.6,48509,15001,1079,1175,91.8,1076,1220,88.2,345,580,59.5,1.7,45,141,35,6,157,2825,264,5,397,85,50,18,4,8,1,2155,376,558,594,2173,97,112,33,9,49,77,58,98,16.33,67,9,9,6,1,15,2.5,9,2,1,0,3,0,92,63,49,35,8,29,38.2,47,259,31.4,314,384,127,0,75,192,115,1,3794,376,103,108,64.8,76,3,2565,13,74,73,2796,2553,91.3,157,90,100,82,38,28,19,44,1.67,9,6,3,0.5,7.0,6.6,0.4,0.06,0,73,2,0,0,473,100,79,55.9,Europa-League,19,2021-2022
de Eint Frankfurt,22,27,55.3,6,66,540,6.0,10,8,8,2,2,10,0,1.67,1.33,3.0,1.33,2.67,8.8,7.3,5.1,12.4,1.47,0.84,2.31,1.21,2.06,66,21,31.8,11.0,3.5,0.12,0.38,17.2,1,0.11,1.2,0.7,2530,3205,78.9,50539,16879,918,1085,84.6,1228,1420,86.5,350,596,58.7,2.9,47,158,55,19,238,2931,274,3,408,73,90,35,13,10,2,2113,480,612,948,1837,140,137,50,18,62,100,87,103,17.17,82,7,6,5,1,17,2.83,12,0,2,1,2,0,103,61,44,43,16,40,36.0,71,328,33.8,265,464,242,0,71,196,130,1,3903,338,151,90,57.8,57,5,2356,21,84,58,3043,2530,83.1,238,90,100,84,42,24,17,38,2.0,10,6,4,0.67,8.8,6.6,2.2,0.36,0,96,2,2,0,577,136,79,63.3,Europa-League,19,2021-2022
tr Fenerbahçe,23,27,45.5,6,66,540,6.0,7,5,6,1,3,14,0,1.17,0.83,2.0,1.0,1.83,9.3,7.0,4.7,11.7,1.55,0.78,2.33,1.17,1.95,64,20,31.3,10.67,3.33,0.09,0.3,16.4,2,0.12,-2.3,-1.0,2133,2722,78.4,41656,13336,869,970,89.6,905,1074,84.3,317,579,54.7,0.3,46,128,42,10,175,2412,310,3,374,87,63,23,9,9,0,1818,318,586,794,1602,115,133,36,10,48,94,53,98,16.33,72,8,3,5,3,10,1.67,7,0,0,2,1,0,105,65,40,49,16,38,37.6,63,275,29.4,272,449,213,0,65,223,116,0,3412,370,119,91,49.5,53,6,2095,16,71,58,2547,2133,83.7,175,90,100,82,37,29,17,33,1.0,7,8,-1,-0.17,9.3,6.4,2.9,0.49,0,60,3,0,0,446,63,113,35.8,Europa-League,19,2021-2022
hu Ferencváros,21,27,39.2,6,66,540,6.0,4,3,4,0,0,9,0,0.67,0.5,1.17,0.67,1.17,4.8,4.8,4.3,9.1,0.8,0.71,1.51,0.8,1.51,62,16,25.8,10.33,2.67,0.06,0.25,19.8,4,0.08,-0.8,-0.8,2069,2550,81.1,41111,13138,764,851,89.8,963,1089,88.4,309,525,58.9,-1.3,46,129,40,9,160,2263,287,3,305,62,49,25,8,15,1,1776,344,430,732,1548,77,116,40,12,46,92,62,95,15.83,71,11,2,7,2,7,1.17,5,1,0,0,0,1,88,54,47,33,8,26,28.3,66,248,26.6,329,421,182,2,51,185,98,2,3222,467,89,95,49.5,54,9,2059,13,98,52,2408,2069,85.9,160,90,100,84,43,23,16,30,0.5,5,12,-7,-1.17,4.8,11.1,-6.3,-1.05,0,59,0,1,2,378,59,73,44.7,Europa-League,19,2021-2022
tr Galatasaray,21,27,43.7,6,66,540,6.0,5,5,5,0,0,17,0,0.83,0.83,1.67,0.83,1.67,6.0,6.0,4.7,10.7,1.01,0.78,1.78,1.01,1.78,56,14,25.0,9.33,2.33,0.09,0.36,17.1,0,0.11,-1.0,-1.0,1997,2534,78.8,42277,14886,692,792,87.4,903,1048,86.2,369,585,63.1,0.3,40,126,26,4,156,2244,290,3,362,75,43,20,4,10,2,1730,296,508,900,1329,94,105,32,10,54,75,65,85,14.17,49,16,7,5,3,10,1.67,7,1,1,0,1,0,147,84,74,60,13,45,46.4,52,255,30.0,299,402,150,1,77,227,113,2,3228,502,96,84,56.0,51,4,1955,18,73,72,2328,1997,85.8,156,90,100,85,37,29,12,42,2.0,7,3,4,0.67,6.0,8.3,-2.3,-0.38,0,64,0,1,0,426,77,69,52.7,Europa-League,19,2021-2022
be Genk,21,24,54.2,6,66,540,6.0,3,2,3,0,0,12,1,0.5,0.33,0.83,0.5,0.83,7.5,7.5,6.2,13.7,1.25,1.03,2.28,1.25,2.28,72,16,22.2,12.0,2.67,0.04,0.19,14.7,1,0.11,-4.5,-4.5,2656,3244,81.9,51356,16916,1082,1212,89.3,1172,1334,87.9,365,589,62.0,-4.2,57,188,55,12,204,2941,303,3,377,71,71,42,22,14,1,2336,395,513,1024,1907,83,131,49,6,41,92,81,115,19.17,87,12,5,5,0,4,0.67,3,0,1,0,0,0,109,63,51,45,13,37,41.6,52,223,29.0,291,328,150,0,59,200,103,0,3951,414,153,124,61.3,78,8,2708,25,93,75,2993,2656,88.7,204,90,100,82,43,22,22,46,0.83,4,10,-6,-1.0,7.5,6.9,0.6,0.09,0,60,0,1,0,512,76,82,48.1,Europa-League,19,2021-2022
