Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Alavés,30,26,60.2,38,418,3420,38.0,48,28,41,7,10,84,4,1.26,0.74,2.0,1.08,1.82,53.2,46.0,34.7,80.7,1.4,0.91,2.31,1.21,2.12,528,177,33.5,13.89,4.66,0.08,0.23,17.6,29,0.09,-5.2,-5.0,16162,20323,79.5,323039,104533,6337,7445,85.1,7165,8376,85.5,2512,4088,61.4,-6.7,374,1400,368,104,1483,18865,1458,16,3366,713,579,217,0,2,1,14142,2026,4155,5935,12021,1174,623,208,45,450,325,469,833,21.92,586,75,48,69,11,81,2.13,51,6,8,9,7,0,527,342,267,198,62,157,28.4,395,1643,31.0,1594,2529,1172,2,421,842,439,6,24328,1910,944,611,63.8,423,15,17348,144,498,419,18615,16162,86.8,1811,90,100,84,308,106,23,160,1.24,50,40,10,0.26,53.2,38.8,14.4,0.38,2,550,7,2,0,3674,381,376,50.3,La-Liga,12,2017-2018
Athletic Club,26,27,50.3,38,418,3420,38.0,46,33,43,3,6,106,8,1.21,0.87,2.08,1.13,2.0,47.4,42.8,29.6,72.4,1.25,0.78,2.03,1.13,1.91,476,161,33.8,12.53,4.24,0.09,0.27,18.2,30,0.09,-1.4,0.2,13239,17445,75.9,265130,92562,5291,6348,83.3,5719,6958,82.2,2097,3728,56.3,3.4,330,984,289,93,1108,16008,1437,12,3596,498,449,167,0,0,0,11250,1803,4392,5120,10012,1143,631,190,78,419,334,488,745,19.61,521,70,42,60,16,80,2.11,56,4,4,6,8,2,520,340,267,212,41,186,34.0,361,1679,28.7,1992,2666,1187,3,512,816,622,10,21650,2301,777,656,65.5,461,24,14745,119,450,430,15560,13239,85.1,1458,90,100,84,304,106,23,160,1.13,49,41,8,0.21,47.4,45.6,1.8,0.05,6,518,6,7,2,3781,337,440,43.4,La-Liga,12,2017-2018
Atlético Madrid,26,26,52.7,38,418,3420,38.0,22,17,21,1,4,98,0,0.58,0.45,1.03,0.55,1.0,37.0,34.0,25.5,59.5,0.97,0.67,1.65,0.89,1.57,450,129,28.7,11.84,3.39,0.05,0.16,18.5,24,0.08,-15.0,-13.0,16033,20102,79.8,313361,100937,6433,7501,85.8,7106,8284,85.8,2325,3816,60.9,-8.5,326,1370,322,79,1398,18808,1294,8,3501,626,483,145,0,0,0,14164,1822,4116,6353,11594,1151,542,191,19,428,336,553,711,18.71,517,59,39,50,14,37,0.97,30,1,0,4,2,0,573,384,285,223,65,186,31.4,407,1732,28.5,1932,2811,1336,5,487,946,489,8,24357,2116,836,669,61.3,463,26,17340,110,489,509,18277,16033,87.7,1665,90,100,84,312,106,23,160,2.08,22,58,-36,-0.95,37.0,47.8,-10.8,-0.28,0,515,5,5,1,3757,288,340,45.9,La-Liga,12,2017-2018
Barcelona,25,26,36.9,38,418,3420,38.0,29,22,27,2,2,99,4,0.76,0.58,1.34,0.71,1.29,41.1,39.6,31.9,71.6,1.08,0.84,1.92,1.04,1.88,441,136,30.8,11.61,3.58,0.06,0.2,18.7,15,0.09,-12.1,-12.6,11404,14832,76.9,223402,79661,4732,5573,84.9,4812,5752,83.7,1716,3077,55.8,-9.9,330,947,248,81,967,13636,1196,14,3222,504,394,148,8,13,0,10204,1350,3278,4329,9015,728,440,147,84,354,342,431,694,18.26,512,58,39,38,22,53,1.39,41,1,4,5,2,0,674,432,377,226,71,278,29.2,673,1896,22.4,3029,3683,1759,2,565,1130,478,12,18888,2315,693,509,62.7,351,17,12590,153,413,341,13496,11404,84.5,1257,90,100,84,303,111,21,155,2.45,29,99,-70,-1.84,41.1,78.3,-37.2,-0.98,1,553,1,4,3,2906,179,242,42.5,La-Liga,12,2017-2018
Betis,29,26,42.3,38,418,3420,38.0,57,45,54,3,4,96,4,1.5,1.18,2.68,1.42,2.61,50.6,47.4,37.7,85.1,1.33,0.99,2.32,1.25,2.24,475,153,32.2,12.5,4.03,0.11,0.35,16.5,20,0.1,6.4,6.6,11989,15819,75.8,233577,83855,5018,6009,83.5,4998,6055,82.5,1824,3316,55.0,7.3,351,981,324,104,1115,14429,1390,17,3113,453,490,202,1,4,1,10362,1619,3838,4636,9266,863,628,131,123,348,319,458,764,20.11,519,84,42,49,33,100,2.63,69,9,7,3,7,5,526,361,262,202,62,161,27.9,417,1460,23.0,1723,3038,1599,2,409,870,388,5,19405,1737,933,491,66.0,354,19,13179,176,421,365,14225,11989,84.3,1530,90,100,84,301,114,21,151,1.58,61,60,1,0.03,50.6,41.1,9.5,0.25,2,524,3,2,4,3242,304,258,54.1,La-Liga,12,2017-2018
Celta Vigo,23,26,43.9,38,418,3420,38.0,59,48,55,4,5,97,1,1.55,1.26,2.82,1.45,2.71,51.6,47.9,36.7,84.7,1.36,0.97,2.32,1.26,2.23,454,167,36.8,11.95,4.39,0.12,0.33,16.1,14,0.11,7.4,7.1,12540,16547,75.8,244614,90449,5224,6198,84.3,5271,6473,81.4,1867,3432,54.4,11.3,333,1098,340,97,1189,15183,1364,15,3021,529,491,174,0,2,1,10757,1658,4132,4918,9433,1136,601,162,60,393,288,422,708,18.63,505,72,40,34,12,101,2.66,73,6,6,9,5,2,546,361,241,238,67,182,31.9,388,1658,24.0,1763,3394,1759,3,405,879,469,9,20254,1959,884,464,61.6,315,13,13756,130,487,340,14910,12540,84.1,1577,90,100,84,308,110,21,156,1.29,60,59,1,0.03,51.6,52.0,-0.4,-0.01,0,578,4,3,2,3501,289,306,48.6,La-Liga,12,2017-2018
Eibar,27,26,47.6,38,418,3420,38.0,47,36,43,4,4,78,6,1.24,0.95,2.18,1.13,2.08,44.3,41.2,32.4,73.6,1.17,0.85,2.02,1.09,1.94,325,130,40.0,8.55,3.42,0.13,0.33,16.7,16,0.13,2.7,1.8,11402,16439,69.4,231207,91911,4509,5807,77.6,4922,6403,76.9,1833,3813,48.1,3.6,245,756,220,74,940,14831,1608,24,2981,453,376,127,0,0,0,9265,2088,5086,4676,8646,1605,821,202,142,546,362,467,543,14.29,387,45,43,34,13,92,2.42,67,4,7,5,7,2,552,340,335,186,31,177,31.9,377,1581,25.8,2318,2884,921,1,526,903,722,11,20502,2604,612,558,66.3,400,25,12585,109,462,336,14454,11402,78.9,1266,90,100,83,303,110,23,156,1.34,50,44,6,0.16,44.3,39.9,4.4,0.12,4,483,3,2,1,4081,460,418,52.4,La-Liga,12,2017-2018
Espanyol,25,26,53.2,38,418,3420,38.0,40,26,36,4,6,113,3,1.05,0.68,1.74,0.95,1.63,47.7,43.1,30.9,74.0,1.25,0.81,2.07,1.13,1.95,491,166,33.8,12.92,4.37,0.07,0.22,17.8,20,0.09,-7.7,-7.1,14920,19248,77.5,301469,96970,5671,6729,84.3,6751,7950,84.9,2367,4156,57.0,-4.9,340,1181,290,74,1275,17849,1399,19,3209,640,466,183,4,3,0,12764,2109,4375,5689,11095,1307,628,188,66,426,322,429,745,19.61,527,64,43,51,22,63,1.66,37,5,7,8,5,1,495,308,257,190,48,145,27.0,392,1572,29.0,1522,2639,1260,4,513,843,560,9,23369,2197,784,637,64.4,450,19,16069,126,471,386,17397,14920,85.8,1560,90,100,85,303,113,19,153,1.29,42,36,6,0.16,47.7,42.9,4.8,0.13,2,564,4,3,2,3804,351,320,52.3,La-Liga,12,2017-2018
Getafe,32,26,60.6,38,418,3420,38.0,33,28,31,2,4,107,3,0.87,0.74,1.61,0.82,1.55,36.8,33.7,26.6,60.3,0.97,0.7,1.67,0.89,1.59,390,127,32.6,10.26,3.34,0.08,0.24,17.6,22,0.09,-3.8,-2.7,15080,19764,76.3,297812,105069,6065,7283,83.3,6561,7989,82.1,2301,4022,57.2,1.4,282,1298,278,69,1340,18205,1559,11,3161,554,471,169,0,0,0,12823,2275,4666,5890,11096,1543,655,208,95,490,319,486,597,15.71,400,64,40,59,14,60,1.58,43,3,5,3,5,1,599,375,318,220,61,196,36.7,338,1656,35.0,1701,2046,991,1,459,924,474,6,23789,1928,747,648,64.4,446,12,16258,104,574,371,17800,15080,84.7,1707,90,100,84,304,112,23,152,1.45,33,42,-9,-0.24,36.8,46.4,-9.6,-0.25,1,525,4,12,1,4148,405,341,54.3,La-Liga,12,2017-2018
Girona,25,26,53.2,38,418,3420,38.0,56,39,52,4,5,112,3,1.47,1.03,2.5,1.37,2.39,46.9,43.1,29.4,72.5,1.23,0.77,2.01,1.13,1.91,434,173,39.9,11.42,4.55,0.12,0.3,17.5,28,0.1,9.1,8.9,13583,17875,76.0,260862,93926,5569,6612,84.2,6123,7382,82.9,1763,3463,50.9,9.6,304,1102,268,64,1258,16403,1472,33,3019,346,424,163,0,0,0,11805,2034,4036,5157,10362,1190,627,190,120,458,326,431,697,18.34,465,68,51,61,16,103,2.71,70,7,7,7,11,1,540,351,287,203,50,181,32.6,374,1638,27.3,1838,2860,1297,2,403,836,564,9,21679,2056,792,555,66.3,391,17,14711,154,451,336,16257,13583,83.6,1553,90,100,84,306,109,22,154,1.34,59,50,9,0.24,46.9,48.9,-2.0,-0.05,1,524,5,6,0,3574,364,387,48.5,La-Liga,12,2017-2018
La Coruña,32,26,53.4,38,418,3420,38.0,74,53,70,4,5,75,2,1.95,1.39,3.34,1.84,3.24,57.8,54.0,38.5,92.5,1.52,1.01,2.53,1.42,2.43,528,179,33.9,13.89,4.71,0.13,0.39,17.2,22,0.11,16.2,16.0,15092,19158,78.8,298193,106719,6095,7236,84.2,6599,7737,85.3,2280,3801,60.0,14.5,389,1317,356,93,1475,17646,1512,10,3273,626,530,212,0,0,0,12825,2132,4201,5481,11312,1157,682,177,78,425,303,475,845,22.24,605,83,54,51,15,117,3.08,83,9,4,9,9,3,527,352,281,203,43,152,27.9,392,1534,26.9,1887,2571,1235,3,443,821,599,11,23226,2075,960,604,64.7,427,12,16257,167,435,430,17315,15092,87.2,1883,90,100,84,305,110,22,156,0.76,76,38,38,1.0,57.8,49.2,8.6,0.23,2,465,4,4,0,3519,384,345,52.7,La-Liga,12,2017-2018
Las Palmas,36,26,44.9,38,418,3420,38.0,73,53,68,5,5,103,7,1.92,1.39,3.32,1.79,3.18,65.2,61.4,51.1,112.5,1.72,1.34,3.06,1.62,2.96,518,213,41.1,13.63,5.61,0.13,0.32,16.2,21,0.12,7.8,6.6,12294,16173,76.0,244184,92773,4966,5951,83.4,5307,6431,82.5,1887,3386,55.7,1.9,405,1094,288,87,1237,14740,1433,40,2610,430,449,185,0,0,0,10429,1890,3854,4912,9233,920,629,179,101,422,302,437,870,22.89,627,76,59,59,19,125,3.29,86,9,10,7,11,2,613,390,270,259,84,159,26.1,451,1761,25.5,1874,3362,1660,0,419,1034,503,8,20168,1965,936,596,63.3,410,17,13766,203,442,358,14523,12294,84.7,1654,90,100,84,298,114,21,151,0.58,74,24,50,1.32,65.2,38.0,27.3,0.72,5,699,5,7,0,3384,308,272,53.1,La-Liga,12,2017-2018
Leganés,28,26,57.5,38,418,3420,38.0,51,28,45,6,7,82,4,1.34,0.74,2.08,1.18,1.92,46.7,41.6,29.4,71.0,1.23,0.77,2.0,1.09,1.87,434,161,37.1,11.42,4.24,0.1,0.28,17.6,20,0.1,4.3,3.4,15167,19675,77.1,306446,102860,5657,6865,82.4,6996,8316,84.1,2382,4077,58.4,-1.4,303,1160,282,92,1304,18240,1435,24,3449,607,421,156,0,0,0,13204,2106,4365,5804,11353,1306,630,228,77,470,453,469,649,17.08,461,61,29,49,12,79,2.08,50,3,5,9,11,1,598,398,304,228,66,179,30.6,406,1709,31.7,1665,2465,1259,3,451,892,462,11,23758,1982,766,633,59.2,413,26,16525,139,463,412,17769,15167,85.4,1624,90,100,85,304,111,19,155,1.13,51,34,17,0.45,46.7,40.0,6.7,0.18,4,535,5,3,2,3983,373,397,48.4,La-Liga,12,2017-2018
