Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Alavés,24,28,42.6,15,165,1350,15.0,11,7,7,4,4,35,1,0.73,0.47,1.2,0.47,0.93,16.0,13.0,8.4,21.5,1.07,0.56,1.63,0.87,1.43,152,41,27.0,10.13,2.73,0.05,0.17,16.1,5,0.09,-5.0,-6.0,4192,5695,73.6,91670,36105,1571,1897,82.8,1748,2136,81.8,810,1458,55.6,-1.4,101,326,76,29,323,4940,755,3,938,261,190,54,20,23,3,3227,839,1629,1449,3240,319,299,75,23,144,187,170,217,14.47,124,36,17,18,5,18,1.2,4,3,2,4,3,2,220,137,105,89,26,71,31.3,156,582,25.8,802,1000,451,1,181,417,448,4,7486,1031,270,204,56.9,125,14,4035,43,186,150,5237,4192,80.0,323,90,100,81,94,70,21,106,0.93,12,21,-9,-0.6,16.0,19.2,-3.2,-0.21,1,213,3,4,0,1175,374,257,59.3,La-Liga,12,2021-2022
Athletic Club,23,27,49.3,15,165,1350,15.0,11,9,10,1,3,28,2,0.73,0.6,1.33,0.67,1.27,21.8,19.5,15.0,34.5,1.45,1.0,2.45,1.3,2.3,197,55,27.9,13.13,3.67,0.05,0.18,15.8,6,0.1,-10.8,-9.5,5226,6841,76.4,103407,38589,2037,2374,85.8,2318,2790,83.1,774,1403,55.2,-6.0,138,445,133,35,549,6027,814,6,803,218,232,106,21,42,4,4275,933,1633,1533,4320,336,342,122,26,151,240,178,300,20.0,190,44,18,17,12,20,1.33,9,3,2,0,3,3,235,153,100,98,37,88,39.1,137,623,28.1,557,1001,657,1,189,413,305,2,8581,911,400,230,53.9,139,14,5046,54,197,182,6144,5226,85.1,549,90,100,82,95,69,19,86,1.33,13,11,2,0.13,21.8,13.5,8.3,0.55,1,193,2,2,0,1358,240,273,46.8,La-Liga,12,2021-2022
Atlético Madrid,22,28,54.9,15,165,1350,15.0,25,20,24,1,1,44,2,1.67,1.33,3.0,1.6,2.93,21.6,20.9,15.8,36.6,1.44,1.05,2.49,1.39,2.44,200,61,30.5,13.33,4.07,0.12,0.39,16.9,2,0.11,3.4,3.1,6760,8211,82.3,129718,42600,2920,3257,89.7,2685,3057,87.8,1002,1569,63.9,4.2,150,527,154,32,607,7457,754,21,997,302,216,88,29,41,3,5566,1131,1514,2090,5216,277,336,124,30,149,247,176,298,19.87,222,34,15,12,3,45,3.0,37,1,3,1,1,2,254,151,118,105,31,98,40.0,147,581,30.9,600,833,450,0,156,427,261,4,9770,812,447,213,61.0,143,10,6544,78,170,177,7828,6760,86.4,607,90,100,80,97,67,25,62,1.93,27,16,11,0.73,21.6,12.2,9.4,0.63,1,176,1,3,1,1198,247,196,55.8,La-Liga,12,2021-2022
Barcelona,29,26,64.7,15,165,1350,15.0,23,15,19,4,5,34,2,1.53,1.0,2.53,1.27,2.27,25.2,21.4,17.3,38.8,1.68,1.15,2.84,1.43,2.58,184,64,34.8,12.27,4.27,0.1,0.3,16.4,6,0.12,-2.2,-2.4,8482,9756,86.9,157253,47540,3615,3924,92.1,3660,4042,90.5,1061,1500,70.7,-2.3,149,656,164,32,682,8979,777,23,1201,243,239,91,27,25,1,7599,948,1209,2171,6850,207,293,108,31,109,225,142,322,21.47,244,25,23,17,6,41,2.73,31,1,3,1,5,0,242,158,103,102,37,88,41.5,124,635,32.1,573,923,480,1,174,413,219,6,11428,1073,480,288,61.5,183,12,8068,97,212,205,9432,8482,89.9,682,90,100,81,98,65,22,99,1.53,23,17,6,0.4,25.2,15.5,9.7,0.65,1,203,5,0,0,1154,194,178,52.2,La-Liga,12,2021-2022
Betis,29,29,52.8,16,176,1440,16.0,25,18,22,3,3,36,3,1.56,1.13,2.69,1.37,2.5,24.0,21.7,15.7,37.4,1.5,0.98,2.48,1.36,2.34,226,79,35.0,14.12,4.94,0.1,0.28,17.8,7,0.1,1.0,0.3,6393,7823,81.7,123739,41224,2658,2986,89.0,2706,3088,87.6,898,1461,61.5,2.3,168,455,146,25,520,7086,737,8,1113,206,159,67,23,26,2,5481,953,1389,3375,3637,275,286,94,26,149,184,167,360,22.5,258,31,25,19,12,38,2.37,24,3,3,1,6,1,290,190,149,100,41,111,40.4,164,625,28.5,733,986,473,1,200,492,380,5,9737,1056,429,260,55.8,159,13,6318,77,200,149,7494,6393,85.3,520,90,100,81,102,71,22,119,1.88,26,18,8,0.5,24.0,19.6,4.3,0.27,1,206,3,1,2,1268,247,245,50.2,La-Liga,12,2021-2022
Cádiz,26,28,36.3,16,176,1440,16.0,14,8,11,3,5,41,1,0.87,0.5,1.37,0.69,1.19,16.0,12.2,8.5,20.7,1.0,0.53,1.53,0.76,1.29,153,38,24.8,9.56,2.37,0.07,0.29,17.7,5,0.08,-2.0,-1.2,3668,5334,68.8,79575,31775,1424,1719,82.8,1432,1848,77.5,735,1527,48.1,-0.5,97,294,85,37,331,4547,787,5,792,234,244,68,24,31,2,2705,847,1782,1019,3349,295,335,71,19,141,181,164,217,13.56,128,32,14,16,11,23,1.44,11,4,1,2,4,1,311,195,177,105,29,113,38.2,183,743,28.0,1069,1173,407,0,208,560,420,4,7316,988,256,201,54.2,123,13,3905,43,198,166,4690,3668,78.2,331,90,100,79,100,75,26,113,0.75,14,30,-16,-1.0,16.0,25.3,-9.2,-0.58,1,188,3,3,0,1298,312,346,47.4,La-Liga,12,2021-2022
Celta Vigo,22,29,57.6,16,176,1440,16.0,17,11,16,1,3,41,1,1.06,0.69,1.75,1.0,1.69,18.4,16.0,12.1,28.1,1.15,0.76,1.91,1.0,1.76,179,54,30.2,11.19,3.38,0.09,0.3,18.1,8,0.09,-1.4,0.0,6947,8758,79.3,141062,41819,2678,3043,88.0,2901,3391,85.5,1229,1967,62.5,-1.1,124,467,123,39,499,7901,857,14,1131,282,239,73,16,40,6,5781,1235,1742,2506,5140,343,420,112,36,166,243,225,279,17.44,204,25,11,16,8,24,1.5,16,1,2,4,0,1,334,210,158,133,43,89,32.5,185,835,33.2,782,1124,610,1,215,570,309,2,10648,949,342,203,55.7,125,10,6654,44,211,170,8287,6947,83.8,499,90,100,80,105,70,25,87,1.0,17,21,-4,-0.25,18.4,22.8,-4.5,-0.28,0,202,1,4,0,1426,314,304,50.8,La-Liga,12,2021-2022
Elche,24,30,48.9,16,176,1440,16.0,15,9,14,1,1,42,1,0.94,0.56,1.5,0.87,1.44,15.2,14.4,11.8,26.2,0.95,0.74,1.69,0.9,1.64,137,50,36.5,8.56,3.12,0.1,0.28,17.7,3,0.11,-0.2,-0.4,5739,7229,79.4,116678,39982,2222,2547,87.2,2482,2838,87.5,945,1570,60.2,-2.8,104,341,86,31,397,6381,848,7,980,227,185,70,32,27,2,4802,989,1438,2515,3854,245,333,136,25,141,229,209,208,13.0,149,19,18,10,5,21,1.31,12,1,4,1,1,2,237,134,123,91,23,84,38.7,133,555,26.6,768,966,351,1,141,460,356,6,9041,1106,221,234,53.8,136,12,5630,27,240,166,6681,5739,85.9,397,90,100,81,99,77,20,113,0.94,15,22,-7,-0.44,15.2,23.5,-8.3,-0.52,1,199,0,3,0,1135,207,231,47.3,La-Liga,12,2021-2022
Espanyol,28,28,45.1,16,176,1440,16.0,15,8,13,2,2,32,3,0.94,0.5,1.44,0.81,1.31,16.7,15.2,10.4,25.6,1.04,0.65,1.69,0.95,1.6,185,54,29.2,11.56,3.38,0.07,0.24,19.0,14,0.08,-1.7,-2.2,5241,6636,79.0,101936,34763,2134,2390,89.3,2193,2517,87.1,770,1418,54.3,-2.4,122,378,80,25,347,5833,803,8,858,214,166,88,32,35,1,4325,867,1444,1799,4052,251,277,110,24,114,167,179,274,17.12,195,26,15,15,8,24,1.5,15,2,2,4,0,1,236,147,127,84,25,82,34.7,154,522,27.1,798,799,329,1,166,418,403,9,8478,1269,273,270,55.2,160,14,5246,68,199,169,6229,5241,84.1,347,90,100,80,96,78,22,109,1.25,15,15,0,0.0,16.7,19.8,-3.1,-0.19,0,174,0,1,1,1121,196,267,42.3,La-Liga,12,2021-2022
Getafe,26,27,43.1,15,165,1350,15.0,10,9,10,0,1,47,4,0.67,0.6,1.27,0.67,1.27,10.3,9.6,7.5,17.1,0.69,0.5,1.19,0.64,1.14,164,42,25.6,10.93,2.8,0.06,0.24,20.1,13,0.06,-0.3,0.4,4321,5845,73.9,90055,34672,1716,2021,84.9,1700,2098,81.0,806,1466,55.0,1.5,119,334,77,35,367,5097,748,3,916,225,159,60,28,20,4,3347,766,1732,1792,3039,347,320,79,20,126,159,173,263,17.53,191,20,14,19,9,17,1.13,13,2,0,0,1,1,288,183,137,111,40,108,40.1,161,723,27.5,723,1320,589,0,174,532,267,7,7522,789,237,196,52.6,117,4,4293,27,194,145,5280,4321,81.8,367,90,100,81,95,67,22,95,0.67,10,19,-9,-0.6,10.3,18.6,-8.3,-0.55,1,231,1,3,0,1166,304,316,49.0,La-Liga,12,2021-2022
