Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Amiens,27,27,45.5,28,308,2520,28.0,31,20,28,3,5,57,4,1.11,0.71,1.82,1.0,1.71,26.7,22.8,16.7,39.5,0.95,0.6,1.55,0.81,1.41,229,77,33.6,8.18,2.75,0.12,0.36,19.1,13,0.1,4.3,5.2,9777,12663,77.2,187897,71050,4251,4881,87.1,3893,4682,83.1,1420,2577,55.1,3.3,159,734,138,41,940,11208,1455,20,2230,353,297,107,46,30,6,7759,1988,2916,3950,6993,522,667,169,31,263,216,336,364,13.0,256,27,28,29,13,53,1.89,34,0,6,4,6,3,482,318,227,211,44,183,33.0,371,1362,27.3,1550,2448,990,3,355,755,861,9,16194,1709,417,478,59.2,318,20,10011,80,411,427,11771,9777,83.1,1117,90,100,84,,83,19,113,0.82,31,50,-19,-0.68,26.7,35.4,-8.7,-0.31,2,403,5,1,1,2487,470,527,47.1,Ligue-1,13,2019-2020
Angers,26,28,45.1,28,308,2520,28.0,27,21,26,1,1,42,2,0.96,0.75,1.71,0.93,1.68,27.0,26.3,20.2,46.5,0.96,0.72,1.69,0.94,1.66,367,112,30.5,13.11,4.0,0.07,0.23,18.8,16,0.07,0.0,-0.3,10616,13346,79.5,203866,74741,4631,5230,88.5,4285,4962,86.4,1535,2663,57.6,0.8,261,749,207,63,909,11917,1429,25,2066,378,355,146,39,83,15,8445,2088,2813,4679,7075,473,643,185,24,224,241,337,552,19.71,399,57,35,28,10,46,1.64,35,2,3,3,3,0,502,320,230,209,63,172,30.9,385,1427,27.6,1640,2532,997,1,362,738,690,8,16741,1451,592,558,61.6,367,26,10806,102,386,358,12508,10616,84.9,1115,90,100,84,,80,23,116,1.39,28,33,-5,-0.18,27.0,28.7,-1.6,-0.06,1,336,1,3,1,2494,445,445,50.0,Ligue-1,13,2019-2020
Bordeaux,26,26,53.9,28,308,2520,28.0,40,29,38,2,2,55,0,1.43,1.04,2.46,1.36,2.39,29.7,28.3,21.4,49.7,1.06,0.76,1.83,1.01,1.77,309,109,35.3,11.04,3.89,0.12,0.35,19.1,20,0.09,10.3,9.7,12356,14986,82.5,242370,77409,4711,5269,89.4,5852,6609,88.5,1663,2708,61.4,7.6,210,711,122,33,824,13606,1380,22,2851,364,234,137,60,44,23,10567,1787,2632,3217,10278,488,543,161,35,241,221,295,453,16.18,305,46,26,37,17,60,2.14,33,7,6,7,5,2,539,347,265,219,55,196,34.1,378,1387,29.4,1379,2361,980,0,317,766,705,5,18350,1875,430,477,58.9,313,14,12418,81,355,401,14151,12356,87.3,1011,90,100,84,,84,20,111,1.32,40,34,6,0.21,29.7,33.3,-3.5,-0.13,0,379,1,3,1,2403,467,428,52.2,Ligue-1,13,2019-2020
Brest,24,26,49.7,28,308,2520,28.0,32,27,31,1,5,45,2,1.14,0.96,2.11,1.11,2.07,30.2,26.4,21.0,47.3,1.08,0.75,1.83,0.94,1.69,321,96,29.9,11.46,3.43,0.1,0.32,19.3,6,0.08,1.8,4.6,11090,13961,79.4,226492,74524,4196,4783,87.7,4815,5547,86.8,1920,3145,61.0,6.0,243,736,214,71,904,12482,1479,23,2409,499,374,115,56,30,5,8729,2323,2909,3434,8819,483,719,221,29,275,226,340,504,18.0,382,45,18,21,20,56,2.0,40,5,1,5,1,4,554,356,268,222,64,165,32.6,341,1284,28.7,1527,2015,927,2,355,800,759,10,17433,2165,528,412,55.6,248,16,11199,75,378,335,13039,11090,85.1,1167,90,100,85,,82,18,114,1.21,34,37,-3,-0.11,30.2,40.5,-10.3,-0.37,0,329,4,6,0,2444,402,449,47.2,Ligue-1,13,2019-2020
Dijon,28,26,46.5,28,308,2520,28.0,26,17,25,1,1,43,2,0.93,0.61,1.54,0.89,1.5,28.9,28.2,21.3,49.6,1.03,0.76,1.79,1.01,1.77,337,99,29.4,12.04,3.54,0.07,0.25,18.0,11,0.08,-2.9,-3.2,10186,12909,78.9,210762,76477,3844,4390,87.6,4335,5062,85.6,1841,2998,61.4,-4.3,238,651,179,43,822,11465,1444,20,2235,397,277,121,34,54,16,8107,1933,2869,3543,7651,459,623,252,28,239,225,313,509,18.18,339,68,39,26,11,40,1.43,29,3,2,6,0,0,583,360,293,222,68,198,35.9,353,1351,28.4,1634,2257,866,1,321,838,756,7,16446,1984,536,611,58.3,394,17,10416,90,352,393,12065,10186,84.4,994,90,100,83,,82,25,114,1.07,27,37,-10,-0.36,28.9,43.1,-14.2,-0.51,0,351,0,1,2,2420,518,507,50.5,Ligue-1,13,2019-2020
Lille,25,24,53.0,28,308,2520,28.0,35,25,30,5,8,49,3,1.25,0.89,2.14,1.07,1.96,39.7,33.6,24.9,58.5,1.42,0.89,2.31,1.2,2.09,346,123,35.5,12.36,4.39,0.09,0.24,17.9,10,0.1,-4.7,-3.6,11307,14068,80.4,221646,71634,4514,5135,87.9,4931,5637,87.5,1651,2762,59.8,0.1,255,903,200,53,942,12613,1455,25,2324,375,321,154,62,62,8,9374,2055,2639,4468,7926,506,658,211,55,266,199,356,563,20.11,374,59,56,31,12,59,2.11,37,5,4,4,5,4,497,324,203,235,59,209,36.7,360,1432,30.0,1246,2292,1242,2,317,693,661,4,17366,1360,615,575,59.7,378,29,11627,112,373,371,13330,11307,84.8,1157,90,100,85,,80,17,116,1.75,35,27,8,0.29,39.7,29.8,10.0,0.36,2,384,7,6,3,2595,474,489,49.2,Ligue-1,13,2019-2020
Lyon,27,24,56.4,28,308,2520,28.0,42,29,37,5,6,49,4,1.5,1.04,2.54,1.32,2.36,37.2,32.8,26.1,58.9,1.33,0.93,2.26,1.17,2.11,351,124,35.3,12.54,4.43,0.11,0.3,18.7,15,0.09,4.8,4.2,13379,15881,84.2,265520,80754,5117,5699,89.8,5997,6691,89.6,2063,2989,69.0,2.9,265,895,210,56,1065,14547,1334,26,2647,492,356,129,66,28,3,11066,2243,2572,3736,10538,481,603,227,22,220,224,318,568,20.29,414,48,44,28,7,67,2.39,47,2,9,4,4,1,521,330,277,183,61,165,37.1,280,1253,29.4,1434,1858,975,0,286,736,654,6,19252,1798,599,596,61.2,399,12,13296,98,399,388,15206,13379,88.0,1258,90,100,84,,81,21,115,1.43,42,27,15,0.54,37.2,26.0,11.2,0.4,1,342,4,2,3,2425,453,382,54.3,Ligue-1,13,2019-2020
Marseille,23,27,54.0,28,308,2520,28.0,38,28,34,4,6,67,3,1.36,1.0,2.36,1.21,2.21,34.7,30.2,22.4,52.6,1.24,0.8,2.04,1.08,1.88,371,113,30.5,13.25,4.04,0.09,0.3,19.1,19,0.08,3.3,3.8,12013,14652,82.0,230093,73344,5031,5623,89.5,5028,5745,87.5,1709,2732,62.6,5.6,270,862,201,61,937,13251,1401,31,2289,396,340,151,42,67,24,9813,2262,2577,3112,9882,490,651,211,20,228,213,338,589,21.04,402,69,32,43,13,58,2.07,40,4,4,4,5,1,604,372,280,254,70,222,36.6,385,1277,28.6,1207,2154,1106,0,342,796,701,6,18069,1618,597,565,57.3,351,17,11865,105,324,329,13979,12013,85.9,937,90,100,86,,82,15,114,2.0,41,29,12,0.43,34.7,30.5,4.2,0.15,1,376,4,5,2,2398,474,439,51.9,Ligue-1,13,2019-2020
Metz,24,25,45.3,28,308,2520,28.0,27,20,25,2,4,45,4,0.96,0.71,1.68,0.89,1.61,27.3,24.3,18.0,42.3,0.98,0.64,1.62,0.87,1.51,305,93,30.5,10.89,3.32,0.08,0.27,20.5,19,0.08,-0.3,0.7,9635,12397,77.7,191985,65392,3842,4398,87.4,4120,4829,85.3,1499,2730,54.9,2.0,219,670,137,46,642,11061,1336,18,2173,319,303,117,47,44,13,7874,1680,2843,2580,8235,445,574,197,29,259,203,296,497,17.75,336,42,58,30,15,43,1.54,27,5,6,3,0,2,608,385,351,210,47,200,38.5,320,1352,26.7,1828,2378,861,0,363,860,802,5,15989,1744,419,623,61.5,415,23,10379,76,375,350,11569,9635,83.3,847,90,100,85,,77,18,119,1.21,27,35,-8,-0.29,27.3,34.2,-6.9,-0.25,0,337,2,4,0,2523,461,550,45.6,Ligue-1,13,2019-2020
Monaco,28,26,50.8,28,308,2520,28.0,44,29,40,4,4,60,10,1.57,1.04,2.61,1.43,2.46,48.0,44.9,32.3,77.2,1.71,1.15,2.86,1.6,2.76,371,140,37.7,13.25,5.0,0.11,0.29,16.4,16,0.12,-4.0,-4.9,11748,14370,81.8,227143,76739,4853,5479,88.6,4996,5694,87.7,1706,2700,63.2,-3.3,264,856,245,54,1085,13005,1365,45,2362,407,345,132,37,69,6,9597,2237,2536,4040,8895,422,542,222,40,223,233,339,588,21.0,403,48,58,34,11,73,2.61,47,5,8,7,6,0,566,356,256,252,58,191,33.7,376,1404,29.8,1437,2178,1089,1,319,828,601,10,17693,1681,751,596,60.2,384,15,11692,132,357,306,13731,11748,85.6,1297,90,100,85,,76,16,117,1.43,44,44,0,0.0,48.0,39.9,8.0,0.29,1,336,3,5,1,2402,381,377,50.3,Ligue-1,13,2019-2020
