Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Angers,31,27,46.2,38,418,3420,38.0,39,23,34,5,6,65,2,1.03,0.61,1.63,0.89,1.5,41.8,37.2,27.4,64.6,1.1,0.72,1.82,0.98,1.7,399,137,34.3,10.5,3.61,0.09,0.25,18.6,19,0.09,-2.8,-3.2,15128,18713,80.8,289965,100913,6448,7190,89.7,6269,7187,87.2,2168,3690,58.8,-4.4,286,956,240,62,1203,16805,1908,42,2543,506,401,169,55,78,15,12885,2278,3550,6767,9941,549,820,307,31,287,428,415,630,16.58,454,48,44,38,20,57,1.5,34,7,4,4,7,1,718,460,337,303,78,238,32.7,490,1795,29.1,2101,2848,1219,0,431,1156,855,8,23291,2045,654,774,55.4,469,22,15042,107,508,536,17933,15128,84.4,1262,90,100,81,247,170,21,168,1.16,40,58,-18,-0.47,41.8,50.9,-9.1,-0.24,1,463,6,8,1,3225,490,585,45.6,Ligue-1,13,2020-2021
Bordeaux,28,27,49.7,38,418,3420,38.0,41,32,37,4,4,78,4,1.08,0.84,1.92,0.97,1.82,41.9,38.9,30.2,69.1,1.1,0.8,1.9,1.02,1.82,413,138,33.4,10.87,3.63,0.09,0.27,17.1,20,0.1,-0.9,-1.9,16031,19434,82.5,315078,102148,6502,7244,89.8,6861,7779,88.2,2394,3730,64.2,1.8,308,902,200,64,995,17526,1908,26,2642,536,373,175,69,43,27,13889,2254,3291,6144,11196,637,810,223,37,313,360,421,675,17.76,440,71,59,51,22,70,1.84,42,9,6,5,8,0,615,413,328,224,63,223,35.7,401,1546,29.4,1797,2417,1040,1,410,1053,830,9,23804,2538,652,734,57.5,453,20,15697,125,493,491,18641,16031,86.0,1025,90,100,81,245,169,22,172,1.18,42,56,-14,-0.37,41.9,56.7,-14.8,-0.39,2,472,3,7,1,2931,588,543,52.0,Ligue-1,13,2020-2021
Brest,26,24,49.3,38,418,3420,38.0,47,31,44,3,4,62,4,1.24,0.82,2.05,1.16,1.97,47.5,44.4,33.7,78.2,1.25,0.89,2.14,1.17,2.06,444,157,35.4,11.68,4.13,0.1,0.28,16.7,22,0.1,-0.5,-0.4,15584,19278,80.8,319837,105090,5645,6480,87.1,6966,7959,87.5,2682,4136,64.8,-2.7,339,1060,306,115,1219,17342,1936,27,2453,594,488,179,89,35,13,12932,2600,3746,5306,11693,633,853,241,55,382,381,427,735,19.34,515,75,44,47,15,75,1.97,51,6,4,7,6,1,697,436,386,258,53,216,37.2,364,1659,28.3,2160,2500,1198,1,413,1069,931,8,23580,2902,794,636,62.3,417,24,15145,120,472,373,18221,15584,85.5,1289,90,100,84,269,146,17,194,1.08,50,66,-16,-0.42,47.5,55.6,-8.2,-0.21,1,497,4,11,2,3027,725,587,55.3,Ligue-1,13,2020-2021
Dijon,33,25,46.2,38,418,3420,38.0,25,15,22,3,5,76,5,0.66,0.39,1.05,0.58,0.97,31.5,27.7,20.3,48.0,0.83,0.53,1.36,0.73,1.26,346,88,25.4,9.11,2.32,0.06,0.25,17.4,9,0.08,-6.5,-5.7,14134,17866,79.1,281152,97095,5457,6246,87.4,6161,7148,86.2,2262,3836,59.0,-5.3,252,877,195,55,1036,15934,1932,23,2375,492,319,146,66,68,6,12194,2259,3413,4569,11161,650,829,290,50,334,417,431,527,13.87,352,61,41,32,13,34,0.89,19,3,3,6,2,1,691,440,380,253,58,250,36.4,436,1561,29.0,1889,2517,980,4,418,1200,843,13,22256,2722,576,693,62.5,462,19,13530,82,512,520,17003,14134,83.1,1070,90,100,82,265,150,21,179,0.55,25,73,-48,-1.26,31.5,75.3,-43.8,-1.15,1,521,4,10,4,3066,562,625,47.3,Ligue-1,13,2020-2021
Lens,27,26,51.4,38,418,3420,38.0,53,35,43,10,12,94,7,1.39,0.92,2.32,1.13,2.05,56.0,46.9,34.7,81.6,1.47,0.91,2.39,1.23,2.15,441,135,30.6,11.61,3.55,0.1,0.32,17.8,22,0.11,-3.0,-3.9,15307,18909,81.0,308556,97897,5725,6569,87.2,6915,7912,87.4,2420,3774,64.1,0.3,321,1103,278,95,1399,17076,1833,27,2549,612,475,193,95,57,14,13248,2222,3439,5412,11336,688,785,219,46,355,381,451,725,19.08,507,63,52,47,19,96,2.53,61,8,7,6,11,3,703,404,312,304,87,225,39.6,343,1558,31.3,1631,2269,1081,2,474,1163,907,8,23406,2248,755,620,60.6,397,16,14685,110,504,463,18072,15307,84.7,1452,90,100,83,249,164,18,178,1.5,55,54,1,0.03,56.0,47.6,8.4,0.22,5,545,11,10,3,3106,690,658,51.2,Ligue-1,13,2020-2021
Lille,21,25,53.9,38,418,3420,38.0,62,39,57,5,5,68,2,1.63,1.03,2.66,1.5,2.53,50.0,46.2,36.1,82.4,1.32,0.95,2.27,1.22,2.17,481,174,36.2,12.66,4.58,0.12,0.33,18.8,21,0.1,12.0,10.8,18028,21792,82.7,344587,108204,7593,8448,89.9,7616,8655,88.0,2484,3920,63.4,2.9,358,1482,271,64,1527,20004,1788,47,2506,601,367,184,75,85,16,15765,2514,3513,7068,12486,705,843,296,59,298,495,447,769,20.24,561,59,50,44,18,97,2.55,69,3,7,10,7,1,702,452,304,294,104,247,36.3,433,1629,30.2,1489,2518,1394,1,428,1113,798,5,26131,2083,820,671,58.3,417,29,17088,149,473,506,20916,18028,86.2,1572,90,100,83,247,169,18,170,2.18,64,23,41,1.08,50.0,26.7,23.4,0.61,1,490,5,2,2,3373,612,572,51.7,Ligue-1,13,2020-2021
Lorient,27,26,44.6,38,418,3420,38.0,48,26,39,9,10,69,3,1.26,0.68,1.95,1.03,1.71,48.8,41.6,31.2,72.7,1.29,0.82,2.11,1.09,1.91,421,133,31.6,11.08,3.5,0.09,0.29,19.5,30,0.1,-0.8,-2.6,13403,17013,78.8,261367,89994,5452,6195,88.0,5709,6642,86.0,2001,3525,56.8,-5.2,286,853,200,59,1040,15143,1870,33,2467,466,353,176,66,68,19,11169,2396,3448,3831,11182,608,802,229,44,386,422,398,653,17.18,439,58,41,57,19,78,2.05,45,5,4,10,12,2,803,482,389,342,72,287,34.7,541,1642,28.9,1998,2712,971,2,436,1285,927,5,21699,2127,571,544,57.7,343,14,13064,98,549,482,16014,13403,83.7,1094,90,100,82,253,163,19,179,1.11,50,68,-18,-0.47,48.8,53.1,-4.3,-0.11,1,479,9,10,1,3080,537,579,48.1,Ligue-1,13,2020-2021
Lyon,29,25,54.9,38,418,3420,38.0,76,46,65,11,11,66,10,2.0,1.21,3.21,1.71,2.92,84.6,76.4,55.0,131.5,2.23,1.45,3.67,2.01,3.46,603,222,36.8,15.87,5.84,0.11,0.29,16.6,23,0.13,-8.6,-11.4,17819,21299,83.7,341108,114598,7383,8248,89.5,7564,8601,87.9,2531,3681,68.8,-9.0,443,1391,423,76,1739,19445,1854,56,2705,537,515,232,49,86,14,15833,2351,3115,5034,14227,579,812,276,56,289,481,483,1003,26.39,714,80,69,57,30,138,3.63,91,6,12,9,16,4,695,449,297,287,111,229,35.7,412,1543,30.8,1465,2237,1310,4,412,1097,758,16,25826,2292,1193,775,62.2,518,30,16970,216,511,477,20543,17819,86.7,1775,90,100,81,237,175,20,161,2.0,81,43,38,1.0,84.6,43.2,41.4,1.09,3,486,11,7,2,3292,565,457,55.3,Ligue-1,13,2020-2021
Marseille,31,27,53.9,38,418,3420,38.0,53,45,49,4,7,98,9,1.39,1.18,2.58,1.29,2.47,47.5,42.2,34.5,76.7,1.25,0.91,2.16,1.11,2.02,373,131,35.1,9.82,3.45,0.13,0.37,17.4,16,0.12,5.5,6.8,16646,20480,81.3,317553,103496,7071,7962,88.8,6968,7949,87.7,2266,3781,59.9,10.5,286,1153,235,55,1231,18509,1971,33,2402,592,446,174,93,59,12,14144,2614,3722,5766,12469,694,841,280,46,355,421,456,612,16.11,430,62,30,47,17,92,2.42,60,10,4,4,11,3,778,468,357,315,106,301,40.5,443,1609,30.6,1721,2412,1123,0,429,1205,880,7,24777,2583,709,585,58.3,368,17,15585,134,429,453,19689,16646,84.5,1231,90,100,82,258,153,21,188,1.58,54,47,7,0.18,47.5,46.0,1.5,0.04,2,504,3,3,1,3071,583,559,51.1,Ligue-1,13,2020-2021
Metz,27,25,45.3,38,418,3420,38.0,42,28,35,7,11,84,4,1.11,0.74,1.84,0.92,1.66,41.3,33.2,25.6,58.8,1.09,0.67,1.76,0.87,1.55,423,129,30.5,11.13,3.39,0.08,0.27,20.0,30,0.08,0.7,1.8,13269,16773,79.1,269761,90255,5103,5815,87.8,5788,6716,86.2,2173,3713,58.5,2.4,308,880,203,66,963,14996,1777,25,2357,594,431,160,44,68,10,11144,2111,3518,3033,11735,607,712,272,44,356,332,369,685,18.03,461,67,44,62,20,72,1.89,47,2,7,5,8,3,770,462,428,275,67,273,37.7,451,1658,30.6,1987,2444,985,5,469,1220,1037,13,21596,2305,610,724,60.2,468,23,13406,110,533,527,15948,13269,83.2,1030,90,100,83,281,133,22,205,1.24,44,48,-4,-0.11,41.3,49.3,-8.1,-0.21,1,524,6,12,2,3199,623,604,50.8,Ligue-1,13,2020-2021
