Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Angers,23,26,51.3,17,187,1530,17.0,22,14,18,4,4,38,5,1.29,0.82,2.12,1.06,1.88,21.8,18.9,15.0,33.9,1.28,0.88,2.16,1.11,1.99,159,58,36.5,9.35,3.41,0.11,0.31,17.6,9,0.12,0.2,-0.9,7599,9111,83.4,146312,45100,3196,3537,90.4,3168,3555,89.1,1089,1678,64.9,-1.0,121,543,122,38,537,8319,792,17,1141,307,221,72,28,27,1,6632,1091,1388,2554,5659,250,358,121,30,138,243,216,254,14.94,179,24,22,15,7,33,1.94,22,2,3,1,5,0,417,268,192,168,57,156,42.5,211,886,32.2,869,1248,634,0,162,657,254,2,11075,986,331,325,53.8,185,12,7505,54,217,213,8595,7599,88.4,537,90,100,81,107,76,21,74,1.47,22,25,-3,-0.18,21.8,21.4,0.3,0.02,4,222,3,5,2,1303,240,171,58.4,Ligue-1,13,2021-2022
Bordeaux,28,26,51.6,17,187,1530,17.0,39,31,35,4,4,29,2,2.29,1.82,4.12,2.06,3.88,32.7,29.8,23.2,52.9,1.92,1.36,3.28,1.75,3.11,235,91,38.7,13.82,5.35,0.15,0.38,17.0,9,0.13,6.3,5.2,7032,8567,82.1,134696,46235,2981,3353,88.9,2965,3408,87.0,968,1517,63.8,7.8,182,504,130,36,605,7778,789,15,1214,228,187,93,32,48,3,6109,1059,1399,2463,5196,301,330,100,27,142,283,183,388,22.82,272,34,31,20,8,64,3.76,46,5,2,6,4,1,345,216,157,150,38,124,41.9,172,768,29.7,787,1224,571,0,183,597,309,4,10558,1091,410,315,60.6,201,11,7084,88,217,194,8091,7032,86.9,605,90,100,83,116,70,17,83,0.82,39,26,13,0.76,32.7,19.6,13.0,0.77,0,194,3,1,1,1316,244,221,52.5,Ligue-1,13,2021-2022
Brest,22,26,58.1,17,187,1530,17.0,21,16,20,1,1,33,3,1.24,0.94,2.18,1.18,2.12,23.6,22.8,17.8,40.6,1.39,1.05,2.43,1.34,2.39,208,69,33.2,12.24,4.06,0.1,0.29,17.2,9,0.12,-2.6,-2.8,8594,10203,84.2,166063,51672,3332,3709,89.8,3934,4347,90.5,1176,1811,64.9,-1.8,154,574,135,30,668,9395,808,20,1325,236,194,87,36,36,5,7778,1062,1363,2982,6291,247,353,142,17,153,288,182,326,19.18,232,33,18,24,4,34,2.0,18,4,3,5,4,0,337,217,171,126,40,133,43.8,171,783,34.5,771,943,555,1,161,570,325,3,12204,1000,401,282,58.5,177,16,8351,61,262,221,9821,8594,87.5,668,90,100,82,113,73,18,79,1.41,23,25,-2,-0.12,23.6,22.0,1.6,0.09,0,181,1,5,0,1447,266,352,43.0,Ligue-1,13,2021-2022
Clermont Foot,24,25,47.7,17,187,1530,17.0,30,20,28,2,2,39,2,1.76,1.18,2.94,1.65,2.82,22.3,20.9,16.8,37.7,1.31,0.99,2.3,1.23,2.22,181,63,34.8,10.65,3.71,0.15,0.44,16.0,3,0.12,7.7,7.1,7068,8547,82.7,141377,43854,2668,2988,89.3,3223,3641,88.5,1063,1627,65.3,3.2,145,500,131,33,566,7822,725,14,1111,244,160,69,41,20,3,6105,1056,1386,2430,5261,270,319,115,8,146,217,187,305,17.94,210,31,20,13,17,48,2.82,28,6,4,4,5,1,354,220,157,143,54,117,39.3,181,751,27.3,772,1211,768,1,194,661,304,5,10495,1164,344,289,51.9,164,14,6787,66,218,197,8033,7068,88.0,566,90,100,81,110,76,20,77,0.82,32,19,13,0.76,22.3,19.7,2.6,0.16,1,228,2,0,2,1249,226,205,52.4,Ligue-1,13,2021-2022
Lens,25,26,50.5,17,187,1530,17.0,23,13,21,2,2,38,4,1.35,0.76,2.12,1.24,2.0,19.8,18.3,13.6,31.9,1.17,0.8,1.97,1.08,1.88,188,64,34.0,11.06,3.76,0.11,0.33,18.3,9,0.1,3.2,2.7,7203,8737,82.4,140304,43105,2775,3098,89.6,3287,3709,88.6,1023,1657,61.7,-0.6,131,391,113,34,479,7907,830,9,1127,199,164,71,18,30,5,6306,1092,1339,2476,5380,263,367,119,24,143,261,164,289,17.0,199,29,16,14,11,35,2.06,25,2,0,4,4,0,269,178,136,102,31,99,38.4,159,689,30.7,762,1061,421,3,183,538,288,6,10617,1172,317,244,59.0,159,12,6986,65,221,188,8346,7203,86.3,479,90,100,83,116,68,18,85,1.59,23,30,-7,-0.41,19.8,28.7,-8.9,-0.52,1,153,2,2,1,1257,187,199,48.4,Ligue-1,13,2021-2022
Lille,22,26,49.7,17,187,1530,17.0,24,12,22,2,2,40,6,1.41,0.71,2.12,1.29,2.0,17.4,16.1,10.4,26.5,1.02,0.61,1.64,0.95,1.56,188,71,37.8,11.06,4.18,0.12,0.31,17.9,7,0.09,6.6,5.9,6556,8166,80.3,127861,42527,2574,2905,88.6,2962,3384,87.5,902,1561,57.8,1.6,127,432,119,26,549,7320,846,6,1098,216,201,81,33,26,4,5621,1092,1453,2534,4718,263,372,105,10,140,225,189,283,16.65,200,28,12,14,9,31,1.82,20,3,0,5,2,1,288,181,125,133,30,112,42.6,151,781,30.8,794,1192,549,0,209,579,329,1,10218,1060,352,283,53.4,171,21,6598,58,262,224,7631,6556,85.9,549,90,100,82,114,69,20,82,1.41,24,23,1,0.06,17.4,24.8,-7.4,-0.44,3,211,1,3,2,1389,253,291,46.5,Ligue-1,13,2021-2022
Lorient,26,26,56.0,17,187,1530,17.0,25,14,21,4,5,30,2,1.47,0.82,2.29,1.24,2.06,26.8,23.0,14.9,37.9,1.57,0.88,2.45,1.35,2.23,222,68,30.6,13.06,4.0,0.09,0.31,17.4,6,0.11,-1.8,-2.0,7819,9438,82.8,151314,50096,3224,3621,89.0,3300,3745,88.1,1172,1743,67.2,-0.9,159,551,133,44,631,8596,842,16,1352,281,206,94,47,32,6,6610,1253,1575,2901,5468,358,390,121,17,133,280,177,347,20.41,236,37,28,22,8,42,2.47,24,2,3,7,5,1,307,198,128,139,40,107,40.7,156,857,33.7,692,1181,671,1,199,552,275,2,11419,943,370,322,58.7,202,18,7397,54,261,217,8991,7819,87.0,631,90,100,82,115,71,19,81,0.88,26,13,13,0.76,26.8,18.2,8.5,0.5,0,195,3,2,1,1394,280,215,56.6,Ligue-1,13,2021-2022
Lyon,25,26,40.9,17,176,1440,16.0,22,14,18,4,4,27,0,1.37,0.87,2.25,1.13,2.0,27.8,24.8,18.1,43.0,1.74,1.13,2.87,1.55,2.69,231,90,39.0,14.44,5.63,0.08,0.2,17.3,9,0.11,-5.8,-6.8,5477,6885,79.5,104887,38127,2326,2662,87.4,2220,2598,85.5,789,1306,60.4,-4.1,164,388,121,40,438,6159,726,12,991,220,180,86,37,33,2,4643,866,1376,2122,3947,237,302,114,29,152,230,167,355,22.19,250,31,17,16,15,36,2.25,24,4,1,3,3,1,340,204,176,119,45,126,38.8,199,762,28.4,936,1251,493,1,142,620,232,2,8785,986,386,288,51.0,165,13,5419,75,225,195,6384,5477,85.8,438,85,100,83,105,71,18,82,1.44,25,25,0,0.0,27.8,28.4,-0.7,-0.04,0,174,2,4,0,1252,198,208,48.8,Ligue-1,13,2021-2022
Marseille,23,26,38.0,17,176,1440,16.0,13,9,10,3,3,32,3,0.81,0.56,1.37,0.62,1.19,18.7,16.5,12.6,29.1,1.17,0.79,1.96,1.03,1.82,157,46,29.3,9.81,2.87,0.06,0.22,17.1,6,0.11,-5.7,-6.5,5101,6354,80.3,100301,34210,2086,2349,88.8,2152,2467,87.2,777,1312,59.2,-3.6,121,361,81,27,377,5681,673,19,826,194,136,71,29,30,2,4486,759,1109,1781,3927,193,277,73,40,111,204,166,241,15.06,163,28,15,13,7,20,1.25,14,2,1,1,1,1,321,205,169,113,39,97,37.6,161,725,26.3,920,1224,609,0,161,555,215,0,8005,1019,272,222,51.8,131,6,5027,63,198,171,5945,5101,85.8,377,85,100,82,109,66,20,86,1.81,14,23,-9,-0.56,18.7,23.7,-4.9,-0.31,1,200,1,1,1,1013,139,166,45.6,Ligue-1,13,2021-2022
Metz,29,26,57.8,17,187,1530,17.0,35,28,32,3,3,30,0,2.06,1.65,3.71,1.88,3.53,26.8,24.5,18.7,43.2,1.57,1.1,2.67,1.44,2.54,236,77,32.6,13.88,4.53,0.14,0.42,17.5,8,0.11,8.2,7.5,7875,9497,82.9,154557,49733,3044,3437,88.6,3458,3897,88.7,1229,1812,67.8,9.3,173,539,155,33,679,8624,873,20,1215,299,213,101,42,41,5,6841,1195,1461,2847,5661,262,410,152,25,125,308,226,377,22.18,265,37,27,21,8,54,3.18,43,2,3,3,3,0,319,198,135,145,39,111,39.8,168,664,31.8,597,1004,486,0,169,552,286,3,11464,991,441,280,51.8,160,11,7675,79,235,234,9160,7875,86.0,679,90,100,82,115,73,19,79,0.71,37,18,19,1.12,26.8,15.5,11.2,0.66,0,210,2,1,1,1378,249,276,47.4,Ligue-1,13,2021-2022
