Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Angers,27,26,50.5,22,242,1980,22.0,28,16,23,5,5,48,5,1.27,0.73,2.0,1.05,1.77,27.2,23.5,18.4,41.9,1.24,0.83,2.07,1.07,1.9,216,81,37.5,9.82,3.68,0.11,0.28,18.1,15,0.11,0.8,-0.5,9577,11605,82.5,184890,57793,3990,4468,89.3,4022,4559,88.2,1380,2144,64.4,-2.4,162,693,151,48,682,10601,1004,20,1434,387,272,86,33,31,3,8331,1381,1893,3303,7094,341,466,153,37,186,325,273,345,15.68,241,32,26,22,11,42,1.91,26,3,3,3,6,1,567,355,273,231,63,205,41.1,294,1134,32.2,1133,1612,780,1,225,868,336,3,14167,1294,406,412,55.3,246,19,9464,70,288,266,10899,9577,87.9,682,90,100,81,145,94,21,100,1.32,29,28,1,0.05,27.2,26.4,0.8,0.04,4,293,3,7,2,1745,337,238,58.6,Ligue-1,13,2021-2022
Bordeaux,31,26,54.1,22,242,1980,22.0,53,40,48,5,5,39,2,2.41,1.82,4.23,2.18,4.0,43.1,39.5,29.9,69.3,1.96,1.36,3.32,1.79,3.15,322,117,36.3,14.64,5.32,0.15,0.41,17.0,12,0.12,9.9,8.5,9434,11484,82.1,180413,60949,3965,4460,88.9,3973,4571,86.9,1308,2029,64.5,10.1,245,693,189,48,872,10461,1023,20,1530,320,261,128,48,57,9,8298,1352,1834,3180,7112,389,430,133,37,199,403,240,523,23.77,371,46,37,25,13,83,3.77,60,5,3,8,6,1,441,273,196,192,53,158,40.6,231,1025,31.1,941,1552,807,0,249,780,374,9,14022,1333,561,406,60.3,265,17,9464,110,268,247,10816,9434,87.2,872,90,100,83,148,93,18,105,0.91,53,34,19,0.86,43.1,24.7,18.4,0.83,0,239,4,1,2,1752,329,280,54.0,Ligue-1,13,2021-2022
Brest,24,26,58.0,22,242,1980,22.0,31,25,30,1,1,48,5,1.41,1.14,2.55,1.36,2.5,31.6,30.9,24.4,55.2,1.44,1.11,2.55,1.4,2.51,278,94,33.8,12.64,4.27,0.11,0.32,17.2,9,0.12,-0.6,-0.9,11179,13229,84.5,215376,67328,4359,4847,89.9,5094,5632,90.4,1525,2309,66.0,0.6,212,770,176,42,899,12218,1011,23,1783,329,253,119,52,45,5,10161,1324,1744,3907,8143,325,429,179,30,193,361,233,439,19.95,320,40,27,27,6,51,2.32,32,4,6,5,4,0,411,263,210,151,50,165,44.2,208,984,33.8,977,1236,702,2,228,727,395,4,15810,1358,536,372,57.5,227,20,10808,87,335,294,12716,11179,87.9,899,90,100,82,143,97,18,97,1.27,33,28,5,0.23,31.6,27.0,4.6,0.21,1,234,1,6,1,1865,346,436,44.2,Ligue-1,13,2021-2022
Clermont Foot,26,25,48.6,22,242,1980,22.0,36,25,33,3,3,46,2,1.64,1.14,2.77,1.5,2.64,30.3,28.2,22.9,51.1,1.38,1.04,2.42,1.28,2.32,247,86,34.8,11.23,3.91,0.13,0.38,15.8,7,0.12,5.7,4.8,9120,11093,82.2,183282,57584,3404,3838,88.7,4164,4721,88.2,1408,2152,65.4,2.1,197,647,180,53,733,10152,941,18,1459,321,221,95,46,35,3,7877,1351,1865,3150,6804,364,415,149,19,195,292,242,420,19.09,291,43,24,20,20,58,2.64,37,6,4,4,6,1,453,280,198,186,69,141,37.2,238,965,28.1,989,1507,939,1,255,859,391,7,13630,1466,468,376,53.2,216,17,8898,85,281,248,10418,9120,87.5,733,90,100,81,144,98,20,100,0.95,39,22,17,0.77,30.3,24.4,5.9,0.27,1,299,3,1,2,1679,312,284,52.3,Ligue-1,13,2021-2022
Lens,28,26,49.5,22,242,1980,22.0,31,20,28,3,3,45,4,1.41,0.91,2.32,1.27,2.18,24.4,22.1,17.0,39.1,1.11,0.77,1.88,1.0,1.78,237,80,33.8,10.77,3.64,0.12,0.35,18.3,10,0.1,6.6,5.9,9361,11358,82.4,180218,55353,3718,4143,89.7,4170,4716,88.4,1311,2130,61.5,3.0,173,544,144,41,630,10313,1045,10,1421,249,225,96,24,38,5,8281,1340,1737,3325,6919,327,465,152,31,190,342,226,373,16.95,265,35,20,19,12,50,2.27,38,2,0,5,5,0,345,222,177,129,39,120,37.2,203,922,30.4,972,1456,600,4,239,711,352,6,13763,1448,415,315,56.2,201,16,9133,88,280,251,10830,9361,86.4,630,90,100,84,153,86,18,112,1.5,31,36,-5,-0.23,24.4,33.4,-9.0,-0.41,1,191,3,2,1,1639,236,276,46.1,Ligue-1,13,2021-2022
Lille,23,26,49.8,22,242,1980,22.0,29,15,26,3,3,50,6,1.32,0.68,2.0,1.18,1.86,23.0,20.9,13.6,34.5,1.05,0.62,1.66,0.95,1.57,262,92,35.1,11.91,4.18,0.1,0.28,18.1,9,0.08,6.0,5.1,8664,10765,80.5,168727,55547,3455,3896,88.7,3827,4379,87.4,1215,2061,59.0,1.4,177,604,164,35,722,9664,1101,9,1372,312,277,111,48,31,6,7497,1374,1894,3214,6382,339,481,136,17,183,286,254,398,18.09,282,40,16,20,12,40,1.82,25,4,1,6,3,1,381,235,175,169,37,145,41.4,205,1017,30.6,1055,1561,711,0,263,775,391,2,13378,1345,492,359,54.3,219,23,8654,81,320,265,10126,8664,85.6,722,90,100,82,149,89,19,105,1.45,30,30,0,0.0,23.0,32.2,-9.2,-0.42,3,264,2,4,3,1757,304,353,46.3,Ligue-1,13,2021-2022
Lorient,26,26,55.3,22,242,1980,22.0,35,19,31,4,5,39,4,1.59,0.86,2.45,1.41,2.27,33.1,29.3,19.0,48.3,1.5,0.86,2.37,1.33,2.19,273,88,32.2,12.41,4.0,0.11,0.35,17.1,10,0.11,1.9,1.7,10169,12235,83.1,196711,63964,4196,4707,89.1,4320,4893,88.3,1494,2217,67.4,0.0,193,735,169,54,798,11150,1085,16,1717,354,267,117,55,44,5,8561,1660,2014,3820,7058,438,509,157,22,168,355,231,430,19.55,290,45,38,30,10,58,2.64,32,4,4,7,9,2,405,248,178,176,51,154,42.4,209,1049,32.7,950,1454,806,1,259,727,366,2,14842,1265,468,429,58.0,266,23,9563,71,330,291,11705,10169,86.9,798,90,100,82,150,90,18,107,0.77,38,18,20,0.91,33.1,24.7,8.4,0.38,1,242,3,2,1,1794,343,287,54.4,Ligue-1,13,2021-2022
Lyon,25,26,41.7,22,231,1890,21.0,24,15,20,4,4,40,0,1.14,0.71,1.86,0.95,1.67,32.2,29.2,20.9,50.1,1.53,1.0,2.53,1.39,2.39,276,99,35.9,13.14,4.71,0.07,0.2,17.2,11,0.11,-8.2,-9.2,7378,9285,79.5,140675,49745,3136,3585,87.5,3006,3531,85.1,1054,1736,60.7,-5.9,193,512,147,48,553,8316,969,14,1363,275,216,105,42,42,3,6344,1158,1783,2817,5396,305,401,150,42,197,332,231,421,20.05,295,39,20,19,17,39,1.86,26,4,2,3,3,1,473,297,248,173,52,167,39.0,261,1088,29.6,1258,1737,682,1,201,834,311,2,11808,1313,454,383,50.7,216,16,7283,80,294,259,8661,7378,85.2,553,86,100,83,144,87,18,109,1.52,27,29,-2,-0.1,32.2,36.4,-4.2,-0.2,0,243,2,6,0,1669,263,287,47.8,Ligue-1,13,2021-2022
Marseille,25,26,37.5,22,231,1890,21.0,15,11,12,3,3,48,5,0.71,0.52,1.24,0.57,1.1,23.7,21.4,16.6,38.0,1.13,0.79,1.92,1.02,1.81,195,60,30.8,9.29,2.86,0.06,0.2,17.1,7,0.11,-8.7,-9.4,6693,8359,80.1,132227,44638,2694,3053,88.2,2860,3288,87.0,1029,1735,59.3,-5.6,149,460,101,32,489,7485,874,29,1036,246,178,96,38,41,2,5859,993,1507,2255,5233,271,350,102,58,142,270,202,299,14.24,199,38,17,15,11,24,1.14,16,3,1,2,1,1,410,260,223,137,50,120,38.3,193,922,26.1,1223,1541,771,0,220,727,313,1,10540,1382,343,281,50.9,164,7,6613,72,242,226,7847,6693,85.3,489,86,100,82,142,86,19,111,1.9,16,30,-14,-0.67,23.7,30.4,-6.7,-0.32,3,248,1,3,1,1323,192,221,46.5,Ligue-1,13,2021-2022
Metz,34,26,58.5,22,242,1980,22.0,41,32,37,4,4,40,0,1.86,1.45,3.32,1.68,3.14,35.3,32.2,24.2,56.5,1.6,1.1,2.7,1.47,2.57,313,101,32.3,14.23,4.59,0.12,0.37,17.1,10,0.11,5.7,4.8,10401,12538,83.0,204016,65458,4018,4539,88.5,4601,5186,88.7,1600,2352,68.0,7.8,227,732,205,46,907,11379,1159,24,1634,381,275,140,52,58,15,9102,1549,1887,3721,7545,326,545,186,30,173,397,305,493,22.41,343,49,30,27,12,64,2.91,47,3,3,6,4,1,413,262,161,197,55,140,39.7,213,898,33.4,739,1308,645,0,227,739,366,4,15140,1241,590,359,51.3,200,11,10029,97,310,323,12034,10401,86.4,907,90,100,82,150,93,20,103,0.86,43,24,19,0.86,35.3,18.4,16.9,0.77,0,256,3,1,2,1851,328,351,48.3,Ligue-1,13,2021-2022
Monaco,27,26,41.8,22,242,1980,22.0,24,16,18,6,7,35,2,1.09,0.73,1.82,0.82,1.55,24.1,18.8,15.2,34.0,1.09,0.69,1.78,0.86,1.54,202,73,36.1,9.18,3.32,0.09,0.25,18.8,8,0.09,-0.1,-0.8,7295,9398,77.6,144272,52069,2977,3451,86.3,3023,3585,84.3,1153,2001,57.6,0.8,147,442,122,42,550,8357,1041,7,1505,302,189,73,23,37,0,6080,1292,2026,2692,5443,398,412,192,31,204,358,187,325,14.77,219,28,30,20,15,43,1.95,26,3,5,2,6,1,392,244,175,176,41,132,35.1,244,1012,28.8,1242,1656,616,2,262,836,448,8,12130,1546,348,451,54.5,268,15,7376,55,338,321,8851,7295,82.4,550,90,100,82,155,86,21,108,1.5,26,35,-9,-0.41,24.1,32.1,-8.0,-0.37,0,262,6,7,0,1828,330,336,49.5,Ligue-1,13,2021-2022
Montpellier,24,26,52.7,22,242,1980,22.0,29,20,29,0,0,52,3,1.32,0.91,2.23,1.32,2.23,28.9,28.9,23.4,52.3,1.31,1.07,2.38,1.31,2.38,336,112,33.3,15.27,5.09,0.09,0.26,17.9,12,0.09,0.1,0.1,9162,11193,81.9,176986,59863,3778,4283,88.2,3817,4397,86.8,1358,2087,65.1,-3.4,261,737,199,49,792,10122,1071,16,1242,359,305,125,53,46,8,7694,1492,2007,3079,6825,390,472,168,21,197,341,221,548,24.91,411,35,41,22,13,41,1.86,32,1,2,2,2,2,418,267,180,170,68,136,37.2,230,854,30.7,868,1236,681,0,235,730,394,4,13749,1259,587,383,56.7,237,30,9076,123,267,260,10423,9162,87.9,792,90,100,82,144,96,20,95,1.55,30,37,-7,-0.32,28.9,25.1,3.8,0.17,3,291,0,1,1,1756,347,273,56.0,Ligue-1,13,2021-2022
Nantes,24,26,58.2,22,242,1980,22.0,26,19,25,1,2,33,4,1.18,0.86,2.05,1.14,2.0,28.3,26.8,18.5,45.3,1.29,0.84,2.13,1.22,2.06,261,89,34.1,11.86,4.05,0.1,0.28,16.7,13,0.11,-2.3,-1.8,10564,12671,83.4,200443,65347,4271,4759,89.7,4660,5281,88.2,1406,2152,65.3,0.5,170,698,185,44,847,11493,1178,15,1720,303,244,112,49,44,4,9336,1459,1876,3551,7773,412,547,134,33,190,358,234,405,18.41,279,35,22,24,10,45,2.05,30,4,3,6,1,1,423,252,241,145,37,160,44.9,196,920,32.3,1074,1216,562,4,237,744,434,3,15325,1367,517,434,53.5,251,19,10140,73,297,301,12095,10564,87.3,847,90,100,82,148,90,19,106,1.45,27,30,-3,-0.14,28.3,23.2,5.1,0.23,1,230,1,2,1,1808,374,373,50.1,Ligue-1,13,2021-2022
Nice,24,26,48.4,22,242,1980,22.0,18,13,16,2,2,33,2,0.82,0.59,1.41,0.73,1.32,24.4,22.8,17.1,39.9,1.11,0.78,1.88,1.04,1.82,250,80,32.0,11.36,3.64,0.06,0.2,17.7,12,0.09,-6.4,-6.8,8936,10994,81.3,179244,56205,3318,3802,87.3,4053,4586,88.4,1393,2191,63.6,-4.1,175,647,169,52,691,9918,1076,16,1234,373,239,96,36,46,8,7753,1367,1874,3343,6497,348,455,146,36,181,375,258,383,17.41,272,44,16,25,6,31,1.41,19,3,1,3,5,0,392,246,212,135,45,137,37.2,231,962,28.9,1122,1473,729,1,221,727,372,6,13408,1341,444,363,50.7,205,19,8626,72,256,249,10497,8936,85.1,691,90,100,83,158,82,20,112,1.95,18,36,-18,-0.82,24.4,37.9,-13.6,-0.62,1,219,2,8,0,1665,278,306,47.6,Ligue-1,13,2021-2022
Paris S-G,32,26,35.8,22,242,1980,22.0,18,16,18,0,0,48,3,0.82,0.73,1.55,0.82,1.55,21.2,21.2,16.8,38.0,0.96,0.76,1.73,0.96,1.73,248,82,33.1,11.27,3.73,0.07,0.22,18.8,8,0.09,-3.2,-3.2,7218,8854,81.5,137914,46686,3241,3614,89.7,2768,3182,87.0,1053,1704,61.8,-0.8,183,469,126,43,477,7953,901,12,1175,306,214,106,46,37,4,6308,989,1557,2525,5582,223,295,113,40,154,297,178,381,17.32,282,25,22,16,19,31,1.41,27,2,0,2,0,0,457,277,262,137,58,186,38.8,294,983,25.7,1576,1566,683,4,214,888,310,3,11253,1551,399,361,57.9,228,24,7315,85,249,221,8414,7218,85.8,477,90,100,82,153,87,21,108,2.41,18,46,-28,-1.27,21.2,41.2,-20.0,-0.91,2,236,0,3,2,1308,151,175,46.3,Ligue-1,13,2021-2022
Reims,32,26,57.3,22,242,1980,22.0,27,13,23,4,5,48,3,1.23,0.59,1.82,1.05,1.64,26.9,23.2,16.7,39.9,1.22,0.76,1.98,1.05,1.81,259,82,31.7,11.77,3.73,0.09,0.28,18.2,10,0.09,0.1,-0.2,10189,12321,82.7,197586,60343,4143,4644,89.2,4391,4956,88.6,1460,2251,64.9,-3.7,189,664,174,45,714,11197,1124,13,1408,396,263,120,48,28,13,8889,1470,1962,3425,7607,367,505,181,17,179,403,258,403,18.32,295,36,20,17,12,38,1.73,21,4,2,7,4,0,371,217,154,160,57,124,36.6,215,925,31.6,802,1340,785,0,251,742,334,5,14803,1362,476,325,55.1,198,15,9568,65,295,289,11727,10189,86.9,714,90,100,83,153,88,19,107,1.09,27,22,5,0.23,26.9,20.6,6.3,0.29,0,285,3,3,0,1791,320,287,52.7,Ligue-1,13,2021-2022
Rennes,27,26,44.2,22,242,1980,22.0,21,13,18,3,3,40,2,0.95,0.59,1.55,0.82,1.41,23.1,20.9,15.3,36.1,1.05,0.69,1.74,0.95,1.64,203,59,29.1,9.23,2.68,0.09,0.31,16.7,9,0.11,-2.1,-2.9,7522,9588,78.5,149427,49109,3110,3516,88.5,3064,3609,84.9,1195,2078,57.5,-2.3,145,517,133,46,502,8474,1114,12,1428,340,270,110,41,39,7,6261,1256,2071,2823,5572,361,449,136,30,181,277,243,321,14.59,225,37,18,16,11,32,1.45,21,1,2,4,2,2,367,234,181,148,38,133,40.1,199,911,28.8,1129,1454,575,3,255,741,392,7,12008,1546,408,354,56.2,210,17,7354,64,278,191,9035,7522,83.3,502,90,100,82,147,93,20,104,1.55,21,41,-20,-0.91,23.1,35.4,-12.3,-0.56,2,210,2,0,1,1511,321,372,46.3,Ligue-1,13,2021-2022
Saint-Étienne,36,26,51.0,22,242,1980,22.0,41,32,37,4,4,36,1,1.86,1.45,3.32,1.68,3.14,34.8,31.7,25.4,57.2,1.58,1.16,2.74,1.44,2.6,273,105,38.5,12.41,4.77,0.14,0.35,16.1,10,0.12,6.2,5.3,8725,10899,80.1,167684,58839,3681,4207,87.5,3630,4239,85.6,1240,1999,62.0,6.6,200,652,168,51,736,9748,1151,28,1543,266,250,101,37,43,3,7365,1482,2052,3025,6491,415,538,148,45,170,337,289,433,19.68,297,49,26,21,12,68,3.09,51,5,4,2,6,0,491,296,199,215,77,195,42.7,262,993,30.6,969,1539,733,3,266,859,401,1,13724,1352,501,387,59.9,251,15,8509,76,366,338,10260,8725,85.0,736,90,100,84,147,94,16,101,0.68,43,19,24,1.09,34.8,22.5,12.3,0.56,0,276,2,3,1,1877,362,312,53.7,Ligue-1,13,2021-2022
Strasbourg,25,26,49.9,22,242,1980,22.0,28,23,25,3,3,48,3,1.27,1.05,2.32,1.14,2.18,27.7,25.4,19.3,44.7,1.26,0.88,2.13,1.16,2.03,248,80,32.3,11.27,3.64,0.1,0.31,16.8,10,0.1,0.3,-0.4,8971,11002,81.5,180030,55861,3457,3921,88.2,3883,4414,88.0,1480,2267,65.3,3.7,186,591,143,52,592,9928,1074,15,1409,338,207,112,42,49,1,7740,1375,1887,3039,6789,360,415,159,23,186,348,240,393,17.86,282,42,18,22,14,48,2.18,36,2,3,1,3,3,338,204,181,119,38,110,37.3,185,856,30.3,985,1243,595,1,260,671,486,8,13642,1505,420,347,52.2,195,9,8620,82,295,274,10289,8971,87.2,592,90,100,81,143,97,21,97,1.59,29,44,-15,-0.68,27.7,37.1,-9.4,-0.43,0,244,3,5,3,1732,333,389,46.1,Ligue-1,13,2021-2022
Troyes,30,26,54.5,22,242,1980,22.0,29,18,24,5,5,49,3,1.32,0.82,2.14,1.09,1.91,31.6,27.9,22.3,50.2,1.44,1.01,2.45,1.27,2.28,278,95,34.2,12.64,4.32,0.09,0.25,17.4,14,0.1,-2.6,-3.9,10092,12105,83.4,202142,62671,3709,4186,88.6,4589,5146,89.2,1606,2353,68.3,-4.3,205,768,196,53,880,11104,1001,29,1372,375,272,114,36,45,6,8928,1414,1763,3486,7460,320,428,186,30,163,348,268,445,20.23,327,32,26,24,11,43,1.95,26,4,4,5,4,0,387,241,171,170,46,124,38.9,195,920,30.2,850,1348,846,2,246,762,327,1,14555,1279,491,375,60.0,243,18,9648,82,272,272,11496,10092,87.8,880,90,100,83,149,90,18,105,0.91,31,20,11,0.5,31.6,21.5,10.1,0.46,2,274,3,0,1,1711,319,289,52.5,Ligue-1,13,2021-2022
