Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Ajaccio,26,29,50.4,38,418,3420,38.0,59,40,53,6,6,,,1.55,1.05,2.61,1.39,2.45,0,152,,0.0,4.0,,0.35,,90,100,,,107,0,157,1.79,62,43,19,0.5,3,500,0,0,0,0,0,0,0,1,Ligue-2,60,2017-2018
Auxerre,31,25,51.9,38,418,3420,38.0,48,30,42,6,6,,,1.26,0.79,2.05,1.11,1.89,0,134,,0.0,3.53,,0.31,,90,100,,,108,0,153,1.24,51,55,-4,-0.11,3,535,0,0,0,0,0,0,0,4,Ligue-2,60,2017-2018
Bourg-Péronnas,29,26,44.3,38,418,3420,38.0,48,29,45,3,3,,,1.26,0.76,2.03,1.18,1.95,0,128,,0.0,3.37,,0.35,,90,100,,,109,0,152,0.95,50,87,-37,-0.97,5,541,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Brest,25,26,54.6,38,418,3420,38.0,55,43,50,5,6,,,1.45,1.13,2.58,1.32,2.45,0,184,,0.0,4.84,,0.27,,90,100,,,108,0,158,1.71,58,43,15,0.39,1,517,0,0,0,0,0,0,0,1,Ligue-2,60,2017-2018
Châteauroux,25,25,45.8,38,418,3420,38.0,49,39,45,4,4,,,1.29,1.03,2.32,1.18,2.21,0,165,,0.0,4.34,,0.27,,90,100,,,111,0,155,1.58,50,50,0,0.0,2,467,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Clermont Foot,24,24,51.9,38,418,3420,38.0,52,33,48,4,6,,,1.37,0.87,2.24,1.26,2.13,0,162,,0.0,4.26,,0.3,,90,100,,,107,0,141,1.66,54,36,18,0.47,3,471,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Gazélec Ajaccio,31,28,44.7,38,418,3420,38.0,34,26,30,4,4,,,0.89,0.68,1.58,0.79,1.47,0,127,,0.0,3.34,,0.24,,90,100,,,97,0,150,1.08,35,60,-25,-0.66,1,586,0,0,0,0,0,0,0,1,Ligue-2,60,2017-2018
Le Havre,27,24,47.6,38,418,3420,38.0,51,42,50,1,1,,,1.34,1.11,2.45,1.32,2.42,0,158,,0.0,4.16,,0.32,,90,100,,,100,0,166,1.74,53,34,19,0.5,0,477,0,0,0,0,0,0,0,0,Ligue-2,60,2017-2018
Lens,34,25,57.9,38,418,3420,38.0,47,30,39,8,8,,,1.24,0.79,2.03,1.03,1.82,0,169,,0.0,4.45,,0.23,,90,100,,,104,0,162,1.13,48,49,-1,-0.03,3,506,0,0,0,0,0,0,0,1,Ligue-2,60,2017-2018
Lorient,26,25,57.8,38,418,3420,38.0,60,37,54,6,6,,,1.58,0.97,2.55,1.42,2.39,0,190,,0.0,5.0,,0.28,,90,100,,,111,0,154,1.63,61,46,15,0.39,1,517,0,0,0,0,0,0,0,2,Ligue-2,60,2017-2018
Nancy,31,26,46.9,38,418,3420,38.0,39,23,36,3,3,,,1.03,0.61,1.63,0.95,1.55,0,131,,0.0,3.45,,0.27,,90,100,,,112,0,154,1.0,39,54,-15,-0.39,1,523,0,0,0,0,0,0,0,2,Ligue-2,60,2017-2018
Nîmes,25,24,52.9,38,418,3420,38.0,73,44,68,5,5,,,1.92,1.16,3.08,1.79,2.95,0,218,,0.0,5.74,,0.31,,90,100,,,106,0,158,1.92,75,37,38,1.0,1,474,0,0,0,0,0,0,0,2,Ligue-2,60,2017-2018
Niort,30,27,46.4,38,418,3420,38.0,46,28,42,4,4,,,1.21,0.74,1.95,1.11,1.84,0,158,,0.0,4.16,,0.27,,90,100,,,103,0,163,1.11,47,60,-13,-0.34,3,468,0,0,0,0,0,0,0,3,Ligue-2,60,2017-2018
Orléans,26,26,49.6,38,418,3420,38.0,50,31,43,7,7,,,1.32,0.82,2.13,1.13,1.95,0,134,,0.0,3.53,,0.32,,90,100,,,109,0,157,1.21,52,61,-9,-0.24,3,525,0,0,0,0,0,0,0,7,Ligue-2,60,2017-2018
Paris FC,24,27,50.9,38,418,3420,38.0,46,30,43,3,4,,,1.21,0.79,2.0,1.13,1.92,0,151,,0.0,3.97,,0.28,,90,100,,,114,0,147,1.61,46,36,10,0.26,3,532,0,0,0,0,0,0,0,2,Ligue-2,60,2017-2018
