Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Ajaccio,30,26,48.2,38,418,3420,38.0,42,27,36,6,7,60,9,1.11,0.71,1.82,0.95,1.66,374,132,35.3,9.84,3.47,0.1,0.27,,90,100,82,265,146,21,117,1.21,43,34,9,0.24,3,505,561,52,636,500,324,,,1,Ligue-2,60,2020-2021
Amiens,41,26,48.8,38,418,3420,38.0,38,29,35,3,4,79,7,1.0,0.76,1.76,0.92,1.68,363,122,33.6,9.55,3.21,0.1,0.29,,90,100,83,264,148,18,118,1.24,40,34,6,0.16,4,644,574,75,649,513,398,,,1,Ligue-2,60,2020-2021
Auxerre,24,26,44.1,38,418,3420,38.0,41,20,36,5,7,58,2,1.08,0.53,1.61,0.95,1.47,466,155,33.3,12.26,4.08,0.08,0.23,,90,100,82,262,154,21,112,1.63,43,64,-21,-0.55,2,450,471,95,745,524,319,,,0,Ligue-2,60,2020-2021
Caen,32,26,52.4,38,418,3420,38.0,48,32,41,7,8,74,3,1.26,0.84,2.11,1.08,1.92,428,163,38.1,11.26,4.29,0.1,0.25,,90,100,84,274,144,18,120,1.08,49,34,15,0.39,1,509,582,93,714,481,357,,,1,Ligue-2,60,2020-2021
Chambly Oise,34,26,57.6,38,418,3420,38.0,63,40,57,6,7,82,5,1.66,1.05,2.71,1.5,2.55,453,177,39.1,11.92,4.66,0.13,0.32,,90,100,82,259,157,20,107,1.0,64,41,23,0.61,1,618,579,83,746,407,380,,,1,Ligue-2,60,2020-2021
Châteauroux,35,26,48.8,38,418,3420,38.0,56,39,50,6,7,57,3,1.47,1.03,2.5,1.32,2.34,465,175,37.6,12.24,4.61,0.11,0.29,,90,100,83,267,149,20,116,0.61,58,32,26,0.68,1,609,585,80,720,482,408,,,1,Ligue-2,60,2020-2021
Clermont Foot,21,26,43.1,38,418,3420,38.0,23,9,16,7,9,64,7,0.61,0.24,0.84,0.42,0.66,339,114,33.6,8.92,3.0,0.05,0.14,,90,100,82,259,155,21,110,1.89,25,61,-36,-0.95,2,501,429,40,642,554,433,,,1,Ligue-2,60,2020-2021
Dunkerque,25,26,53.4,38,418,3420,38.0,46,29,41,5,9,76,10,1.21,0.76,1.97,1.08,1.84,439,152,34.6,11.55,4.0,0.09,0.27,,90,100,82,266,145,21,121,1.08,47,34,13,0.34,3,608,543,78,726,462,299,,,0,Ligue-2,60,2020-2021
Grenoble,27,26,49.1,38,418,3420,38.0,35,26,31,4,8,80,8,0.92,0.68,1.61,0.82,1.5,377,128,34.0,9.92,3.37,0.08,0.24,,90,100,83,276,137,19,126,1.71,35,51,-16,-0.42,1,532,517,72,666,542,379,,,2,Ligue-2,60,2020-2021
Guingamp,31,26,50.7,38,418,3420,38.0,42,26,39,3,3,78,5,1.11,0.68,1.79,1.03,1.71,444,138,31.1,11.68,3.63,0.09,0.28,,90,100,83,269,144,19,120,1.24,43,41,2,0.05,1,545,549,58,692,484,342,,,1,Ligue-2,60,2020-2021
Le Havre,36,26,52.4,38,418,3420,38.0,48,30,41,7,7,77,3,1.26,0.79,2.05,1.08,1.87,432,148,34.3,11.37,3.89,0.09,0.28,,90,100,83,263,153,19,113,1.24,48,38,10,0.26,2,616,448,73,782,522,358,,,4,Ligue-2,60,2020-2021
Nancy,28,26,51.7,38,418,3420,38.0,46,38,43,3,6,75,6,1.21,1.0,2.21,1.13,2.13,428,144,33.6,11.26,3.79,0.1,0.3,,90,100,82,256,158,21,107,1.24,53,53,0,0.0,2,584,588,62,778,455,339,,,1,Ligue-2,60,2020-2021
Niort,30,26,54.6,40,407,3330,37.0,54,30,46,8,12,53,7,1.46,0.81,2.27,1.24,2.05,465,170,36.6,12.57,4.59,0.1,0.27,,83,100,82,253,147,21,112,1.08,55,34,21,0.57,0,588,548,73,769,444,372,,,1,Ligue-2,60,2020-2021
Paris FC,31,26,46.9,38,418,3420,38.0,36,26,35,1,3,84,7,0.95,0.68,1.63,0.92,1.61,308,109,35.4,8.11,2.87,0.11,0.32,,90,100,82,262,151,21,115,1.68,37,53,-16,-0.42,5,573,548,111,574,450,371,,,2,Ligue-2,60,2020-2021
Pau FC,30,26,56.5,38,418,3420,38.0,49,32,44,5,8,69,4,1.29,0.84,2.13,1.16,2.0,482,158,32.8,12.68,4.16,0.09,0.28,,90,100,82,256,159,21,106,1.16,49,42,7,0.18,1,530,537,37,784,394,374,,,3,Ligue-2,60,2020-2021
Rodez Aveyron,30,26,56.7,38,418,3420,38.0,44,26,36,8,9,75,3,1.16,0.68,1.84,0.95,1.63,398,144,36.2,10.47,3.79,0.09,0.25,,90,100,83,273,143,19,125,1.13,44,38,6,0.16,1,572,599,75,657,450,281,,,3,Ligue-2,60,2020-2021
Sochaux,31,26,52.3,38,418,3420,38.0,36,18,31,5,7,69,3,0.95,0.47,1.42,0.82,1.29,437,151,34.6,11.5,3.97,0.07,0.21,,90,100,83,270,149,19,116,1.34,37,45,-8,-0.21,1,614,494,53,586,453,372,,,0,Ligue-2,60,2020-2021
