Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Ajaccio,26,26,50.9,17,187,1530,17.0,7,5,5,2,3,35,4,0.41,0.29,0.71,0.29,0.59,123,39,31.7,7.24,2.29,0.04,0.13,,90,100,83,120,65,20,53,1.88,8,18,-10,-0.59,0,227,259,35,284,220,140,,,0,Ligue-2,60,2021-2022
Amiens,28,26,50.8,17,187,1530,17.0,17,12,16,1,1,38,3,1.0,0.71,1.71,0.94,1.65,198,64,32.3,11.65,3.76,0.08,0.25,,90,100,84,125,59,17,58,1.06,17,18,-1,-0.06,1,252,201,25,357,204,163,,,0,Ligue-2,60,2021-2022
Auxerre,21,26,42.8,17,187,1530,17.0,20,13,19,1,1,22,1,1.18,0.76,1.94,1.12,1.88,191,66,34.6,11.24,3.88,0.1,0.29,,90,100,83,119,67,19,52,1.76,20,28,-8,-0.47,0,185,201,57,268,232,159,,,2,Ligue-2,60,2021-2022
Bastia,21,26,50.5,17,187,1530,17.0,15,8,11,4,5,31,0,0.88,0.47,1.35,0.65,1.12,176,58,33.0,10.35,3.41,0.06,0.19,,90,100,83,124,63,22,54,1.06,17,14,3,0.18,0,197,203,20,269,194,159,,,0,Ligue-2,60,2021-2022
Caen,27,26,51.5,17,187,1530,17.0,17,14,16,1,1,31,2,1.0,0.82,1.82,0.94,1.76,182,71,39.0,10.71,4.18,0.09,0.23,,90,100,83,114,71,17,47,1.06,19,18,1,0.06,1,226,221,39,263,212,175,,,1,Ligue-2,60,2021-2022
Dijon,25,26,48.9,17,187,1530,17.0,24,13,21,3,3,40,1,1.41,0.76,2.18,1.24,2.0,193,73,37.8,11.35,4.29,0.11,0.29,,90,100,84,122,64,18,54,1.12,25,19,6,0.35,1,261,224,37,278,207,170,,,0,Ligue-2,60,2021-2022
Dunkerque,26,26,54.0,17,187,1530,17.0,21,17,20,1,1,29,2,1.24,1.0,2.24,1.18,2.18,198,80,40.4,11.65,4.71,0.1,0.25,,90,100,84,125,60,16,58,0.94,22,14,8,0.47,1,296,240,46,322,168,130,,,0,Ligue-2,60,2021-2022
Grenoble,29,26,50.5,17,187,1530,17.0,20,11,18,2,2,32,2,1.18,0.65,1.82,1.06,1.71,215,70,32.6,12.65,4.12,0.08,0.26,,90,100,83,119,66,18,52,1.24,21,16,5,0.29,2,220,196,29,306,196,172,,,0,Ligue-2,60,2021-2022
Guingamp,25,26,46.1,17,187,1530,17.0,24,19,21,3,3,38,1,1.41,1.12,2.53,1.24,2.35,172,61,35.5,10.12,3.59,0.12,0.34,,90,100,82,120,66,22,53,1.24,24,21,3,0.18,0,251,242,34,299,198,201,,,1,Ligue-2,60,2021-2022
Le Havre,27,26,55.9,17,187,1530,17.0,10,7,8,2,2,34,1,0.59,0.41,1.0,0.47,0.88,182,59,32.4,10.71,3.47,0.04,0.14,,90,100,84,123,63,19,55,1.71,10,17,-7,-0.41,1,247,194,53,357,198,196,,,1,Ligue-2,60,2021-2022
Nancy,27,27,45.1,17,187,1530,17.0,27,23,26,1,2,33,3,1.59,1.35,2.94,1.53,2.88,197,80,40.6,11.59,4.71,0.13,0.33,,90,100,83,118,66,19,53,0.71,28,13,15,0.88,1,275,250,31,251,197,183,,,1,Ligue-2,60,2021-2022
Nîmes,21,26,46.4,17,187,1530,17.0,21,15,20,1,1,28,1,1.24,0.88,2.12,1.18,2.06,219,68,31.1,12.88,4.0,0.09,0.29,,90,100,83,121,66,20,52,1.18,21,19,2,0.12,0,226,219,17,281,208,184,,,0,Ligue-2,60,2021-2022
Niort,23,26,53.4,16,176,1440,16.0,17,13,16,1,2,32,1,1.06,0.81,1.87,1.0,1.81,174,56,32.2,10.87,3.5,0.09,0.29,,90,100,84,119,56,20,56,1.31,18,16,2,0.12,0,232,184,29,335,154,175,,,1,Ligue-2,60,2021-2022
Paris FC,26,26,47.8,17,187,1530,17.0,14,12,13,1,1,21,3,0.82,0.71,1.53,0.76,1.47,164,47,28.7,9.65,2.76,0.08,0.28,,90,100,82,117,67,21,51,1.76,15,20,-5,-0.29,0,191,197,33,306,233,140,,,2,Ligue-2,60,2021-2022
Pau FC,18,26,53.9,17,187,1530,17.0,17,10,15,2,3,26,4,1.0,0.59,1.59,0.88,1.47,190,66,34.7,11.18,3.88,0.08,0.23,,90,100,83,118,66,18,52,1.41,18,18,0,0.0,2,227,219,13,354,157,182,,,0,Ligue-2,60,2021-2022
Quevilly-Rouen,25,26,60.6,17,187,1530,17.0,22,18,21,1,1,35,2,1.29,1.06,2.35,1.24,2.29,200,67,33.5,11.76,3.94,0.11,0.31,,90,100,83,120,65,21,53,1.18,22,16,6,0.35,0,262,277,28,335,184,192,,,0,Ligue-2,60,2021-2022
Rodez Aveyron,22,26,53.9,17,187,1530,17.0,16,11,14,2,3,28,2,0.94,0.65,1.59,0.82,1.47,149,45,30.2,8.76,2.65,0.09,0.31,,90,100,82,113,72,20,45,1.47,16,19,-3,-0.18,0,229,205,25,269,175,161,,,0,Ligue-2,60,2021-2022
Sochaux,23,26,44.5,17,187,1530,17.0,13,8,13,0,0,34,3,0.76,0.47,1.24,0.76,1.24,153,45,29.4,9.0,2.65,0.08,0.29,,90,100,83,117,68,19,50,1.82,13,17,-4,-0.24,2,215,210,22,220,195,149,,,2,Ligue-2,60,2021-2022
Toulouse,25,26,38.9,16,176,1440,16.0,13,6,11,2,2,25,3,0.81,0.37,1.19,0.69,1.06,155,50,32.3,9.69,3.12,0.07,0.22,,90,100,82,115,59,22,53,2.06,14,36,-22,-1.37,1,180,233,25,219,168,156,,,1,Ligue-2,60,2021-2022
Valenciennes,26,26,52.5,17,187,1530,17.0,22,17,20,2,3,39,2,1.29,1.0,2.29,1.18,2.18,195,68,34.9,11.47,4.0,0.1,0.29,,90,100,82,117,68,20,51,1.18,22,13,9,0.53,1,261,249,32,368,199,200,,,1,Ligue-2,60,2021-2022
