Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Ajaccio,26,28,47.6,16,176,1440,16.0,18,14,18,0,0,45,1,1.13,0.87,2.0,1.13,2.0,165,55,33.3,10.31,3.44,0.11,0.33,,90,100,83,109,66,17,43,1.94,18,8,10,0.62,1,259,199,30,252,182,155,,,1,Ligue-2,60,2021-2022
Amiens,28,25,48.9,16,176,1440,16.0,15,8,12,3,3,31,3,0.94,0.5,1.44,0.75,1.25,144,40,27.8,9.0,2.5,0.08,0.3,,90,100,82,102,71,19,40,0.94,15,17,-2,-0.12,2,199,226,23,251,221,170,,,0,Ligue-2,60,2021-2022
Auxerre,20,28,57.2,16,176,1440,16.0,25,19,22,3,3,24,2,1.56,1.19,2.75,1.37,2.56,186,78,41.9,11.62,4.87,0.12,0.28,,90,100,86,131,43,15,69,1.81,26,18,8,0.5,0,202,167,30,297,179,169,,,0,Ligue-2,60,2021-2022
Bastia,21,28,49.9,16,176,1440,16.0,14,12,13,1,1,30,1,0.87,0.75,1.62,0.81,1.56,144,50,34.7,9.0,3.12,0.09,0.26,,90,100,83,117,59,21,51,1.13,14,16,-2,-0.12,0,200,177,41,273,203,162,,,2,Ligue-2,60,2021-2022
Caen,27,26,48.8,16,176,1440,16.0,15,10,13,2,2,21,3,0.94,0.62,1.56,0.81,1.44,177,54,30.5,11.06,3.38,0.07,0.24,,90,100,82,117,57,23,56,1.06,16,17,-1,-0.06,1,222,211,21,261,201,155,,,1,Ligue-2,60,2021-2022
Dijon,25,27,51.1,16,176,1440,16.0,17,10,16,1,1,32,2,1.06,0.62,1.69,1.0,1.62,210,64,30.5,13.12,4.0,0.08,0.25,,90,100,82,118,56,23,56,1.19,17,22,-5,-0.31,0,228,226,27,313,166,163,,,1,Ligue-2,60,2021-2022
Dunkerque,26,28,45.9,16,176,1440,16.0,14,9,13,1,1,35,2,0.87,0.56,1.44,0.81,1.37,143,47,32.9,8.94,2.94,0.09,0.28,,90,100,83,113,61,19,50,1.0,14,19,-5,-0.31,1,246,267,25,269,175,153,,,1,Ligue-2,60,2021-2022
Grenoble,29,28,48.7,16,176,1440,16.0,15,12,13,2,4,25,3,0.94,0.75,1.69,0.81,1.56,139,48,34.5,8.69,3.0,0.09,0.27,,90,100,81,102,71,21,41,1.31,15,19,-4,-0.25,0,190,190,30,245,196,132,,,1,Ligue-2,60,2021-2022
Guingamp,25,26,54.2,16,176,1440,16.0,17,14,17,0,1,38,1,1.06,0.87,1.94,1.06,1.94,192,59,30.7,12.0,3.69,0.09,0.29,,90,100,83,113,62,19,50,1.13,18,22,-4,-0.25,1,230,226,39,339,172,152,,,0,Ligue-2,60,2021-2022
Le Havre,26,25,44.5,16,176,1440,16.0,14,7,13,1,1,21,2,0.87,0.44,1.31,0.81,1.25,156,48,30.8,9.75,3.0,0.08,0.27,,90,100,84,111,64,17,48,1.63,15,9,6,0.37,0,190,222,17,221,191,141,,,0,Ligue-2,60,2021-2022
Nancy,27,24,54.4,16,176,1440,16.0,11,6,8,3,3,26,5,0.69,0.37,1.06,0.5,0.87,201,54,26.9,12.56,3.38,0.04,0.15,,90,100,83,109,62,19,49,0.75,12,26,-14,-0.87,3,248,251,30,302,156,190,,,1,Ligue-2,60,2021-2022
Nîmes,21,24,53.1,16,176,1440,16.0,19,13,17,2,2,35,0,1.19,0.81,2.0,1.06,1.87,143,52,36.4,8.94,3.25,0.12,0.33,,90,100,84,115,61,17,50,1.25,19,20,-1,-0.06,0,211,205,26,269,171,167,,,0,Ligue-2,60,2021-2022
Niort,23,23,46.6,16,176,1440,16.0,15,13,14,1,2,28,1,0.94,0.81,1.75,0.87,1.69,149,57,38.3,9.31,3.56,0.09,0.25,,90,100,83,112,63,18,47,1.31,16,18,-2,-0.12,1,196,224,25,215,179,175,,,1,Ligue-2,60,2021-2022
Paris FC,26,26,52.0,16,176,1440,16.0,17,12,16,1,3,20,1,1.06,0.75,1.81,1.0,1.75,201,78,38.8,12.56,4.87,0.08,0.21,,90,100,83,112,64,20,47,1.69,19,15,4,0.25,0,205,174,24,300,153,151,,,1,Ligue-2,60,2021-2022
Pau FC,18,27,46.9,16,176,1440,16.0,17,11,16,1,1,29,3,1.06,0.69,1.75,1.0,1.69,174,68,39.1,10.87,4.25,0.09,0.24,,90,100,82,109,64,20,48,1.5,17,16,1,0.06,1,223,203,46,307,177,184,,,1,Ligue-2,60,2021-2022
Quevilly-Rouen,25,26,39.5,16,176,1440,16.0,14,7,12,2,3,32,3,0.87,0.44,1.31,0.75,1.19,160,48,30.0,10.0,3.0,0.08,0.25,,90,100,83,120,55,21,51,1.06,14,21,-7,-0.44,0,273,232,30,215,210,186,,,0,Ligue-2,60,2021-2022
Rodez Aveyron,22,26,46.6,16,176,1440,16.0,18,14,17,1,1,27,2,1.13,0.87,2.0,1.06,1.94,181,70,38.7,11.31,4.37,0.09,0.24,,90,100,82,101,73,19,39,1.38,18,16,2,0.12,1,201,202,26,359,202,129,,,0,Ligue-2,60,2021-2022
Sochaux,23,26,54.9,16,176,1440,16.0,13,9,12,1,1,34,1,0.81,0.56,1.37,0.75,1.31,183,57,31.1,11.44,3.56,0.07,0.21,,90,100,84,106,69,15,44,1.75,15,12,3,0.19,1,201,196,34,305,180,169,,,0,Ligue-2,60,2021-2022
Toulouse,25,25,61.1,16,176,1440,16.0,35,28,32,3,3,30,1,2.19,1.75,3.94,2.0,3.75,217,79,36.4,13.56,4.94,0.15,0.41,,90,100,83,121,54,22,58,2.06,36,14,22,1.37,0,249,167,41,324,174,151,,,1,Ligue-2,60,2021-2022
Valenciennes,26,26,48.8,16,176,1440,16.0,12,10,11,1,1,31,1,0.75,0.62,1.37,0.69,1.31,177,56,31.6,11.06,3.5,0.06,0.2,,90,100,82,117,58,22,53,1.19,13,22,-9,-0.56,0,249,236,33,299,203,172,,,0,Ligue-2,60,2021-2022
