Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Arsenal,28,26,42.0,38,418,3420,38.0,49,32,42,7,7,76,2,1.29,0.84,2.13,1.11,1.95,54.1,48.8,35.0,83.8,1.42,0.92,2.34,1.28,2.2,485,172,35.5,12.76,4.53,0.09,0.24,17.7,18,0.1,-5.1,-6.8,12305,16116,76.4,243983,90535,5220,6027,86.6,4844,5862,82.6,2009,3599,55.8,-3.0,343,960,295,65,1115,14318,1798,58,2871,522,452,184,38,47,14,9928,2366,3822,4384,9586,764,728,226,83,333,369,420,759,19.97,537,67,45,46,19,85,2.24,54,4,9,5,11,2,665,401,327,257,81,206,34.4,393,1705,25.1,2286,2981,1525,4,540,1227,898,9,20734,2297,922,582,59.8,381,15,12893,152,456,430,15025,12305,81.9,1274,90,100,85,,104,18,162,1.84,51,73,-22,-0.58,54.1,58.0,-3.9,-0.1,1,477,7,5,4,3276,594,494,54.6,Premier-League,9,2018-2019
Bournemouth,28,26,53.2,38,418,3420,38.0,67,48,62,5,5,91,9,1.76,1.26,3.03,1.63,2.89,55.7,51.9,35.8,87.7,1.46,0.94,2.41,1.36,2.31,510,167,32.7,13.42,4.39,0.12,0.37,17.3,18,0.1,11.3,10.1,16096,20256,79.5,313410,103859,6778,7675,88.3,6700,7816,85.7,2379,4162,57.2,12.2,366,1298,364,73,1376,18477,1779,56,3402,601,516,223,48,44,9,13492,2583,4181,5398,12502,841,793,203,77,393,360,438,805,21.18,626,55,33,34,12,117,3.08,89,3,8,9,7,1,677,413,347,250,80,204,36.3,358,1740,29.1,2017,2472,1489,1,498,1146,840,7,24536,2281,1042,489,61.8,328,17,16323,213,459,363,19101,16096,84.3,1551,90,100,85,,109,17,157,1.18,70,56,14,0.37,55.7,54.2,1.5,0.04,4,457,3,8,1,3493,615,584,51.3,Premier-League,9,2018-2019
Brighton,21,26,57.4,38,418,3420,38.0,60,39,50,10,10,52,2,1.58,1.03,2.61,1.32,2.34,56.0,48.6,35.2,83.8,1.47,0.93,2.4,1.28,2.21,562,157,27.9,14.79,4.13,0.09,0.32,17.4,27,0.09,4.0,1.4,17646,21621,81.6,329800,104167,7623,8560,89.1,7502,8582,87.4,2226,3813,58.4,3.8,408,1359,390,74,1442,19743,1878,45,3204,579,480,216,40,65,13,15137,2536,3948,5921,13294,912,821,195,30,386,386,455,893,23.5,634,75,69,54,13,102,2.68,66,3,12,10,11,0,575,346,278,202,95,172,33.2,346,1516,29.1,1750,2132,1329,4,415,969,882,6,26065,1928,1093,585,62.1,387,23,17653,183,475,512,20535,17646,85.9,1631,90,100,85,,104,18,162,0.95,60,35,25,0.66,56.0,34.1,21.9,0.58,1,329,8,6,0,3634,677,683,49.8,Premier-League,9,2018-2019
Burnley,23,26,58.8,38,418,3420,38.0,64,43,62,2,3,58,3,1.68,1.13,2.82,1.63,2.76,63.0,60.7,44.3,105.0,1.66,1.17,2.82,1.6,2.76,653,197,30.2,17.18,5.18,0.09,0.31,17.1,13,0.09,1.0,1.3,16634,20958,79.4,323784,108415,6902,7826,88.2,7043,8199,85.9,2423,4249,57.0,-1.3,490,1219,412,114,1393,18981,1977,46,3171,663,606,245,37,57,7,13840,2657,4461,5779,12554,902,912,240,41,429,391,498,1034,27.21,814,66,45,29,9,101,2.66,76,4,5,10,5,1,524,323,267,197,60,158,39.6,241,1466,29.5,1619,2300,1043,0,398,826,1192,10,25537,2391,1209,572,59.3,363,24,16775,238,480,409,19697,16634,84.4,1553,90,100,84,,109,22,157,1.05,68,45,23,0.61,63.0,40.7,22.3,0.59,1,380,2,2,2,3899,883,884,50.0,Premier-League,9,2018-2019
Cardiff City,25,26,64.4,38,418,3420,38.0,69,53,65,4,7,49,3,1.82,1.39,3.21,1.71,3.11,61.4,56.1,40.9,97.0,1.62,1.08,2.69,1.48,2.55,557,201,36.1,14.66,5.29,0.12,0.32,17.0,22,0.1,7.6,8.9,17669,21970,80.4,329150,116554,7701,8728,88.2,7419,8694,85.3,2248,3779,59.5,12.1,418,1311,384,65,1625,20012,1958,44,3621,509,457,268,65,60,9,15293,2644,4033,5616,13547,1073,921,271,31,359,480,520,893,23.5,638,82,64,48,13,116,3.05,81,6,12,7,7,3,592,363,319,223,50,164,33.8,321,1521,32.6,1757,1938,971,5,376,915,1100,8,26608,2293,1136,601,63.7,405,31,17524,207,520,500,20782,17669,85.0,1904,90,100,85,,99,22,167,0.89,69,34,35,0.92,61.4,39.5,21.9,0.58,0,419,6,4,1,3903,829,857,49.2,Premier-League,9,2018-2019
Chelsea,24,26,37.2,38,418,3420,38.0,39,30,38,1,2,63,0,1.03,0.79,1.82,1.0,1.79,35.0,33.3,26.5,59.8,0.92,0.7,1.62,0.88,1.57,345,120,34.8,9.08,3.16,0.11,0.32,16.9,9,0.1,4.0,4.7,12118,15704,77.2,253828,88720,4457,5180,86.0,5295,6173,85.8,2175,3795,57.3,3.5,256,944,257,67,1007,14000,1704,23,2529,510,363,141,31,17,5,10058,1986,3660,4481,9294,639,723,217,72,358,350,419,524,13.79,376,57,31,20,19,62,1.63,43,7,4,4,3,1,754,487,403,263,88,196,28.6,490,1731,21.9,3006,3219,1674,1,503,1322,909,2,20228,2796,681,532,60.0,348,18,12630,104,470,461,14714,12118,82.4,1164,90,100,85,,102,19,164,1.89,39,63,-24,-0.63,35.0,58.2,-23.2,-0.61,0,432,2,5,2,2983,414,440,48.5,Premier-League,9,2018-2019
Crystal Palace,26,26,55.0,38,418,3420,38.0,52,35,48,4,5,62,2,1.37,0.92,2.29,1.26,2.18,47.9,44.3,33.5,77.8,1.26,0.88,2.14,1.17,2.05,522,158,30.3,13.74,4.16,0.09,0.3,17.5,20,0.09,4.1,3.7,16834,20850,80.7,338511,111835,6725,7722,87.1,7207,8285,87.0,2669,4157,64.2,1.5,379,1576,366,99,1558,18988,1862,42,3201,761,538,215,52,60,9,14083,2552,4215,5461,13006,914,813,199,50,379,435,539,811,21.34,591,75,46,44,11,79,2.08,56,5,6,5,7,0,795,466,395,297,103,260,33.6,513,1767,28.5,2239,2673,1282,2,472,1206,971,8,25735,2275,1008,628,57.5,394,23,17089,143,491,541,19727,16834,85.3,1749,90,100,85,,110,20,156,1.29,53,51,2,0.05,47.9,50.9,-3.0,-0.08,1,413,4,11,3,3700,664,596,52.7,Premier-League,9,2018-2019
Everton,23,26,48.5,38,418,3420,38.0,44,24,42,2,5,77,2,1.16,0.63,1.79,1.11,1.74,46.4,42.5,30.5,73.0,1.22,0.8,2.02,1.12,1.92,395,130,32.9,10.39,3.42,0.11,0.32,17.0,17,0.11,-2.4,-0.5,13184,17507,75.3,265108,96341,5286,6205,85.2,5530,6711,82.4,2151,3961,54.3,-6.5,276,1032,265,64,1167,15482,2025,42,3156,533,392,179,51,39,11,10637,2477,4393,4664,10294,809,974,225,76,403,500,457,607,15.97,426,62,29,41,13,66,1.74,41,4,3,11,7,0,754,452,367,314,73,236,38.6,376,1936,29.4,2337,2926,1321,3,494,1249,1109,6,22473,2428,798,548,57.3,348,23,13785,126,494,558,16521,13184,79.8,1379,90,100,85,,104,21,162,1.42,46,54,-8,-0.21,46.4,47.3,-0.9,-0.02,1,450,5,5,1,3637,771,793,49.3,Premier-League,9,2018-2019
Fulham,28,26,51.4,38,418,3420,38.0,79,59,74,5,7,43,0,2.08,1.55,3.63,1.95,3.5,65.4,60.1,44.3,104.4,1.72,1.17,2.89,1.58,2.75,581,221,38.0,15.29,5.82,0.13,0.33,16.4,16,0.1,13.6,13.9,16140,20402,79.1,327411,112021,6157,7099,86.7,6972,8185,85.2,2721,4408,61.7,14.7,412,1307,390,98,1469,18472,1930,42,3376,680,553,224,57,46,13,13344,2673,4385,5606,12157,1003,863,269,70,384,493,442,874,23.0,634,68,51,45,23,122,3.21,90,5,9,13,4,1,728,465,318,294,116,219,32.5,454,1966,28.3,2015,3433,1494,2,416,1187,766,4,24839,2269,1187,582,58.9,367,17,15912,250,485,412,19302,16140,83.6,1680,90,100,85,,105,18,161,0.68,81,34,47,1.24,65.4,39.0,26.4,0.7,0,357,5,3,1,3687,619,632,49.5,Premier-League,9,2018-2019
Huddersfield,31,26,53.0,38,418,3420,38.0,75,56,68,7,8,66,2,1.97,1.47,3.45,1.79,3.26,63.8,57.8,46.5,104.3,1.68,1.22,2.9,1.52,2.75,512,177,34.6,13.47,4.66,0.13,0.38,16.6,24,0.12,11.2,10.2,15915,19981,79.7,307862,109518,6557,7496,87.5,6837,7977,85.7,2302,3810,60.4,9.5,388,1273,329,76,1443,18083,1898,40,3691,502,377,168,42,40,4,13303,2696,3982,5375,12071,921,930,224,70,352,529,502,858,22.58,621,72,56,51,13,130,3.42,90,7,13,4,13,3,661,394,335,275,51,218,41.3,310,1780,29.1,2133,2854,1120,2,509,1121,1118,10,24949,2424,939,711,62.3,478,26,16115,185,495,524,18829,15915,84.5,1652,90,100,84,,111,21,155,0.42,76,22,54,1.42,63.8,29.4,34.5,0.91,0,389,7,1,2,3691,692,722,48.9,Premier-League,9,2018-2019
Leicester City,25,26,48.9,38,418,3420,38.0,48,36,43,5,5,70,6,1.26,0.95,2.21,1.13,2.08,44.3,40.6,31.4,72.0,1.17,0.83,1.99,1.07,1.9,423,135,31.9,11.13,3.55,0.1,0.32,17.7,18,0.1,3.7,2.4,14120,18319,77.1,273595,95894,6040,6975,86.6,5778,6919,83.5,2066,3742,55.2,4.6,298,1154,281,69,1222,16420,1899,44,3074,534,450,201,49,47,18,11577,2637,4105,5110,10689,908,908,243,81,394,396,533,637,16.76,454,64,34,31,20,79,2.08,55,6,8,5,4,1,645,397,303,260,82,196,31.8,421,1743,26.4,2369,2863,1359,6,498,1129,1009,12,23058,2385,859,572,60.3,375,25,14501,144,482,540,17035,14120,82.9,1455,90,100,85,,108,18,158,1.37,48,51,-3,-0.08,44.3,49.6,-5.3,-0.14,3,407,3,7,3,3615,586,717,45.0,Premier-League,9,2018-2019
Liverpool,23,26,38.3,38,418,3420,38.0,22,16,22,0,1,48,1,0.58,0.42,1.0,0.58,1.0,30.5,29.7,20.1,49.9,0.8,0.53,1.33,0.78,1.31,309,96,31.1,8.13,2.53,0.07,0.23,17.6,9,0.1,-8.5,-7.7,11621,15674,74.1,229896,86235,4926,5760,85.5,4690,5752,81.5,1808,3577,50.5,-4.1,214,794,219,63,896,13952,1722,35,2588,472,373,124,17,22,11,9480,2195,3999,4211,9164,929,732,221,114,394,311,417,455,11.97,340,37,32,18,12,31,0.82,25,1,0,4,0,1,701,421,417,226,58,203,32.3,426,1790,25.4,2764,3049,1224,6,555,1130,1082,14,20268,2883,621,559,59.7,379,18,12292,112,443,442,14552,11621,79.9,1103,90,100,85,,109,18,157,2.55,22,89,-67,-1.76,30.5,74.7,-44.2,-1.16,0,372,1,7,3,3392,469,493,48.8,Premier-League,9,2018-2019
Manchester City,21,26,32.2,38,418,3420,38.0,23,14,19,4,4,54,2,0.61,0.37,0.97,0.5,0.87,25.3,22.6,18.7,41.3,0.67,0.49,1.16,0.59,1.09,237,76,32.1,6.24,2.0,0.08,0.25,17.4,9,0.1,-2.3,-3.6,9981,13462,74.1,204339,77279,4000,4678,85.5,4157,5004,83.1,1668,3301,50.5,-4.7,181,630,170,43,720,11828,1634,21,2711,395,244,82,18,15,3,7972,1814,3676,3392,8209,682,608,163,53,318,307,349,368,9.68,261,36,27,22,10,37,0.97,21,5,1,4,5,1,714,426,496,182,36,251,34.3,481,1557,19.4,3804,3137,1091,6,476,1117,1060,15,17738,3201,494,490,58.6,312,23,10434,89,388,360,12409,9981,80.4,854,90,100,84,,107,21,159,2.58,23,95,-72,-1.89,25.3,82.0,-56.7,-1.49,0,313,4,4,4,2711,420,457,47.9,Premier-League,9,2018-2019
Manchester Utd,28,26,45.5,38,418,3420,38.0,51,37,45,6,6,67,1,1.34,0.97,2.32,1.18,2.16,48.1,43.5,34.4,78.0,1.27,0.91,2.17,1.15,2.05,492,169,34.3,12.95,4.45,0.09,0.27,17.9,21,0.09,2.9,1.5,13454,17402,77.3,253954,91241,6016,6796,88.5,5369,6423,83.6,1831,3533,51.8,2.6,363,1015,315,59,1166,15592,1810,35,2410,531,438,186,37,36,10,11200,2386,3816,4738,10453,815,752,257,65,408,369,451,770,20.26,551,75,51,45,19,89,2.34,63,8,6,4,7,1,661,400,339,241,81,203,34.1,393,1766,24.7,2500,3316,1328,3,458,1110,897,9,21860,2360,955,550,59.1,345,21,13856,183,463,410,16278,13454,82.7,1373,90,100,85,,106,19,160,1.74,54,65,-11,-0.29,48.1,59.4,-11.3,-0.3,1,418,5,10,0,3328,466,622,42.8,Premier-League,9,2018-2019
Newcastle Utd,24,26,59.6,38,418,3420,38.0,47,32,41,6,6,58,1,1.24,0.84,2.08,1.08,1.92,53.7,49.2,35.0,84.3,1.41,0.92,2.34,1.3,2.22,487,136,27.9,12.82,3.58,0.08,0.3,15.9,30,0.1,-6.7,-8.2,18442,22798,80.9,357490,116676,7490,8567,87.4,8009,9224,86.8,2682,4245,63.2,-3.0,344,1580,382,102,1625,20832,1966,44,3434,642,539,232,54,52,13,15662,2869,4267,6416,13560,1015,956,295,52,356,478,580,745,19.61,491,90,42,57,19,76,2.0,47,6,4,9,8,2,638,400,295,258,85,180,36.0,320,1742,31.1,1830,2428,1339,2,471,952,1096,11,27543,2209,1046,657,60.0,446,27,18459,155,472,521,21705,18442,85.0,1858,90,100,84,,108,22,158,1.18,48,42,6,0.16,53.7,39.6,14.1,0.37,0,353,5,3,1,3927,824,654,55.8,Premier-League,9,2018-2019
