Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Arsenal,28,26,42.0,38,418,3420,38.0,49,32,42,7,7,76,2,1.29,0.84,2.13,1.11,1.95,54.1,48.8,35.0,83.8,1.42,0.92,2.34,1.28,2.2,485,172,35.5,12.76,4.53,0.09,0.24,17.7,18,0.1,-5.1,-6.8,12304,16116,76.3,243976,90535,5219,6026,86.6,4844,5863,82.6,2009,3599,55.8,-3.0,343,960,295,65,1115,14318,1798,58,2871,522,452,184,38,47,14,9932,2362,3822,4383,9587,765,728,225,83,333,369,420,759,19.97,537,67,45,46,19,85,2.24,54,4,9,5,11,2,665,401,327,257,81,206,34.4,393,1702,25.1,2280,2980,1523,4,540,1226,898,9,20732,2296,922,581,59.7,380,15,12892,152,456,430,15026,12304,81.9,1274,90,100,85,,104,18,162,1.84,51,73,-22,-0.58,54.1,58.0,-3.9,-0.1,1,477,7,5,4,3276,594,494,54.6,Premier-League,9,2018-2019
Bournemouth,28,26,53.2,38,418,3420,38.0,67,48,62,5,5,91,9,1.76,1.26,3.03,1.63,2.89,55.6,51.8,35.9,87.7,1.46,0.95,2.41,1.36,2.31,510,167,32.7,13.42,4.39,0.12,0.37,17.3,18,0.1,11.4,10.2,16102,20257,79.5,313509,103916,6788,7670,88.5,6675,7798,85.6,2390,4166,57.4,12.1,367,1301,366,74,1379,18475,1782,57,3397,601,518,223,53,45,9,13486,2616,4155,5401,12498,835,794,202,77,391,369,442,804,21.16,624,55,35,34,11,117,3.08,89,3,8,9,7,1,684,415,349,253,82,209,36.3,366,1723,29.4,1966,2430,1470,1,487,1176,840,7,24552,2285,1046,497,61.6,331,17,16323,214,458,362,19107,16102,84.3,1540,90,100,85,,109,17,157,1.18,70,56,14,0.37,55.6,54.5,1.0,0.03,4,457,3,8,1,3472,626,608,50.7,Premier-League,9,2018-2019
Brighton,21,26,57.4,38,418,3420,38.0,60,39,50,10,10,52,2,1.58,1.03,2.61,1.32,2.34,56.0,48.6,35.2,83.8,1.47,0.93,2.4,1.28,2.21,562,157,27.9,14.79,4.13,0.09,0.32,17.4,27,0.09,4.0,1.4,17646,21621,81.6,329800,104167,7623,8560,89.1,7502,8582,87.4,2226,3813,58.4,3.8,408,1359,390,74,1442,19743,1878,45,3204,579,480,216,40,65,13,15137,2536,3948,5921,13294,912,821,195,30,386,386,455,893,23.5,634,75,69,54,13,102,2.68,66,3,12,10,11,0,575,346,278,202,95,172,33.2,346,1516,29.1,1750,2132,1329,4,415,969,882,6,26065,1928,1093,585,62.1,387,23,17653,183,475,512,20535,17646,85.9,1631,90,100,85,,104,18,162,0.95,60,35,25,0.66,56.0,34.1,21.9,0.58,1,329,8,6,0,3634,677,683,49.8,Premier-League,9,2018-2019
Burnley,23,26,58.8,38,418,3420,38.0,64,43,62,2,3,58,3,1.68,1.13,2.82,1.63,2.76,63.0,60.7,44.3,105.0,1.66,1.17,2.82,1.6,2.76,653,197,30.2,17.18,5.18,0.09,0.31,17.1,13,0.09,1.0,1.3,16634,20949,79.4,323827,108450,6903,7823,88.2,7044,8196,85.9,2424,4247,57.1,-1.3,490,1219,413,115,1392,18972,1977,45,3168,663,605,245,37,57,7,13835,2656,4458,5776,12549,900,912,241,41,428,394,499,1036,27.26,817,66,44,29,9,101,2.66,76,4,5,10,5,1,523,323,266,197,60,158,39.6,241,1464,29.5,1619,2298,1043,0,397,825,1200,11,25539,2392,1211,574,58.9,363,24,16771,238,482,408,19692,16634,84.5,1552,90,100,84,,109,22,157,1.05,68,45,23,0.61,63.0,40.7,22.3,0.59,1,380,2,2,2,3895,885,885,50.0,Premier-League,9,2018-2019
Cardiff City,25,26,64.4,38,418,3420,38.0,69,53,65,4,7,49,3,1.82,1.39,3.21,1.71,3.11,61.5,56.2,40.9,97.1,1.62,1.08,2.7,1.48,2.56,558,201,36.0,14.68,5.29,0.12,0.32,17.0,22,0.1,7.5,8.8,17679,21967,80.5,329181,116485,7707,8730,88.3,7416,8680,85.4,2245,3770,59.5,12.1,418,1304,382,65,1623,19996,1971,44,3559,511,457,270,66,63,9,15286,2645,4036,5618,13548,1054,924,269,31,354,489,514,895,23.55,638,82,65,48,14,117,3.08,81,6,12,7,7,4,596,366,320,225,51,166,34.2,320,1512,32.5,1750,1931,965,5,378,924,1108,8,26626,2298,1133,606,63.4,406,31,17484,207,520,503,20736,17679,85.3,1891,90,100,85,,99,22,167,0.89,69,34,35,0.92,61.5,39.5,22.0,0.58,0,419,6,4,1,3895,845,864,49.4,Premier-League,9,2018-2019
Chelsea,24,26,37.2,38,418,3420,38.0,39,30,38,1,2,63,0,1.03,0.79,1.82,1.0,1.79,34.7,33.1,26.2,59.3,0.91,0.69,1.6,0.87,1.56,344,120,34.9,9.05,3.16,0.11,0.32,16.9,9,0.1,4.3,4.9,12130,15715,77.2,253881,88656,4474,5196,86.1,5282,6154,85.8,2182,3799,57.4,3.8,255,943,257,65,1014,14004,1711,23,2501,512,360,141,31,19,5,10042,2018,3655,4481,9299,628,727,220,72,357,347,420,522,13.74,374,57,31,20,19,62,1.63,43,7,4,4,3,1,757,488,404,263,90,192,28.1,492,1784,22.1,3074,3301,1702,1,500,1335,913,2,20247,2797,681,534,59.9,349,20,12633,104,471,462,14788,12130,82.0,1162,90,100,85,,102,19,164,1.89,39,63,-24,-0.63,34.7,58.4,-23.6,-0.62,0,432,2,5,2,2971,427,449,48.7,Premier-League,9,2018-2019
Crystal Palace,26,26,55.0,38,418,3420,38.0,52,35,48,4,5,62,2,1.37,0.92,2.29,1.26,2.18,48.1,44.5,33.6,78.2,1.26,0.89,2.15,1.17,2.06,523,158,30.2,13.76,4.16,0.09,0.3,17.5,20,0.09,3.9,3.5,16831,20846,80.7,338517,111766,6730,7723,87.1,7194,8270,87.0,2670,4156,64.2,1.4,379,1575,367,98,1563,18984,1862,42,3192,765,535,215,52,62,9,14065,2568,4213,5457,13011,908,813,200,49,378,447,531,810,21.32,590,75,47,44,10,79,2.08,56,5,6,5,7,0,793,466,395,296,102,261,33.5,518,1773,28.7,2210,2678,1285,2,473,1208,980,8,25737,2278,1010,635,57.8,399,22,17077,144,488,539,19739,16831,85.3,1744,90,100,85,,110,20,156,1.29,53,51,2,0.05,48.1,50.8,-2.7,-0.07,1,413,4,11,3,3692,674,599,52.9,Premier-League,9,2018-2019
Everton,23,26,48.5,38,418,3420,38.0,44,24,42,2,5,77,2,1.16,0.63,1.79,1.11,1.74,46.4,42.5,30.5,73.0,1.22,0.8,2.02,1.12,1.92,395,130,32.9,10.39,3.42,0.11,0.32,17.0,17,0.11,-2.4,-0.5,13185,17507,75.3,265176,96388,5286,6205,85.2,5530,6711,82.4,2152,3961,54.3,-6.5,276,1032,265,64,1167,15482,2025,42,3157,532,392,179,51,39,11,10637,2477,4393,4664,10294,809,974,225,76,402,500,457,607,15.97,426,62,29,41,13,66,1.74,41,4,3,11,7,0,754,451,367,314,73,237,38.7,376,1936,29.4,2337,2926,1321,3,494,1249,1110,6,22475,2429,798,549,57.4,349,23,13786,126,495,558,16521,13185,79.8,1379,90,100,85,,104,21,162,1.42,46,54,-8,-0.21,46.4,47.3,-0.9,-0.02,1,450,5,5,1,3637,772,793,49.3,Premier-League,9,2018-2019
Fulham,28,26,51.4,38,418,3420,38.0,79,59,74,5,7,43,0,2.08,1.55,3.63,1.95,3.5,65.4,60.1,44.3,104.4,1.72,1.17,2.89,1.58,2.75,581,221,38.0,15.29,5.82,0.13,0.33,16.4,16,0.1,13.6,13.9,16138,20399,79.1,327346,111965,6156,7099,86.7,6973,8184,85.2,2720,4408,61.7,14.7,412,1307,390,98,1469,18469,1930,42,3375,680,553,224,57,46,13,13343,2672,4384,5605,12157,1002,863,269,70,383,493,441,874,23.0,634,68,51,45,23,122,3.21,90,5,9,13,4,1,729,466,318,295,116,220,32.6,454,1964,28.3,2015,3431,1493,2,417,1190,765,4,24839,2267,1187,580,58.8,365,17,15913,250,485,413,19300,16138,83.6,1680,90,100,85,,105,18,161,0.68,81,34,47,1.24,65.4,39.0,26.4,0.7,0,357,5,3,1,3687,618,634,49.4,Premier-League,9,2018-2019
Huddersfield,31,26,53.0,38,418,3420,38.0,75,56,68,7,8,66,2,1.97,1.47,3.45,1.79,3.26,63.9,57.9,46.7,104.7,1.68,1.23,2.91,1.52,2.75,512,177,34.6,13.47,4.66,0.13,0.38,16.6,24,0.12,11.1,10.1,15927,19995,79.7,307559,109308,6599,7539,87.5,6801,7937,85.7,2303,3813,60.4,9.3,389,1273,327,76,1441,18087,1908,41,3684,504,376,168,43,42,6,13260,2757,3978,5372,12085,914,936,223,70,350,534,499,857,22.55,622,72,54,50,14,130,3.42,90,7,13,4,13,3,665,396,335,278,52,219,41.3,311,1779,29.2,2128,2848,1111,2,510,1123,1124,10,24970,2430,938,708,62.7,481,27,16044,185,497,535,18843,15927,84.5,1650,90,100,84,,111,21,155,0.42,76,22,54,1.42,63.9,29.3,34.7,0.91,0,389,7,1,2,3684,700,733,48.8,Premier-League,9,2018-2019
