Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Arsenal,26,24,46.0,10,110,900,10.0,12,6,12,0,1,14,1,1.2,0.6,1.8,1.2,1.8,12.5,11.6,7.5,19.1,1.25,0.75,2.0,1.16,1.91,141,44,31.2,14.1,4.4,0.09,0.27,17.4,6,0.09,-0.5,0.4,3627,4469,81.2,67811,21608,1555,1734,89.7,1534,1758,87.3,456,810,56.3,-1.5,106,259,87,19,264,4043,426,6,658,114,89,53,19,19,7,3051,576,842,1825,2133,160,171,69,17,67,112,90,231,23.1,165,21,12,12,7,17,1.7,9,2,0,5,1,0,141,82,66,53,22,53,43.8,68,328,25.7,403,511,362,0,134,282,195,6,5649,702,255,152,51.3,83,3,3547,50,130,89,4174,3627,86.9,264,90,100,84,79,30,19,60,1.7,12,13,-1,-0.1,12.5,15.9,-3.4,-0.34,0,94,1,0,0,768,161,180,47.2,Premier-League,9,2021-2022
Aston Villa,24,26,47.2,11,121,990,11.0,13,10,11,2,2,25,1,1.18,0.91,2.09,1.0,1.91,11.0,9.6,7.3,16.9,1.1,0.73,1.83,0.96,1.69,127,37,29.1,11.55,3.36,0.09,0.3,17.2,4,0.08,2.0,1.4,2942,3920,75.1,62578,22908,1004,1187,84.6,1349,1581,85.3,544,1010,53.9,2.7,75,244,79,18,300,3428,492,7,563,156,167,52,34,10,4,2363,568,989,1360,2002,195,182,58,13,92,113,101,163,16.3,104,22,14,12,2,23,2.3,14,3,3,2,1,0,140,96,58,62,20,47,33.3,94,362,27.9,392,587,319,1,106,307,177,2,5048,631,242,145,57.2,87,5,2951,31,133,94,3615,2942,81.4,300,90,100,84,88,33,21,66,0.91,14,20,-6,-0.55,11.0,15.9,-4.9,-0.49,0,118,1,2,1,812,175,196,47.2,Premier-League,9,2021-2022
Brentford,21,25,44.4,10,110,900,10.0,12,6,11,1,1,18,1,1.2,0.6,1.8,1.1,1.7,13.0,12.2,8.1,20.3,1.3,0.81,2.11,1.22,2.03,115,34,29.6,11.5,3.4,0.1,0.32,15.3,3,0.11,-1.0,-1.2,2863,4001,71.6,56732,21933,1161,1387,83.7,1220,1530,79.7,426,903,47.2,-2.1,75,208,70,23,251,3535,466,8,613,103,108,35,25,4,1,2259,620,1122,1131,2144,260,204,85,18,87,153,118,169,16.9,120,16,9,8,3,14,1.4,8,1,0,4,1,0,193,120,88,78,27,69,43.7,89,452,29.7,534,654,334,2,132,346,234,3,5172,778,207,110,54.5,64,8,2784,20,112,100,3760,2863,76.1,251,90,100,84,80,29,21,60,1.2,12,12,0,0.0,13.0,11.3,1.7,0.17,1,108,1,0,0,908,219,219,50.0,Premier-League,9,2021-2022
Brighton,21,27,54.8,10,110,900,10.0,11,9,9,2,2,25,0,1.1,0.9,2.0,0.9,1.8,10.7,9.2,7.3,16.5,1.07,0.73,1.8,0.92,1.65,115,36,31.3,11.5,3.6,0.08,0.25,16.8,5,0.08,0.3,-0.2,4475,5473,81.8,88579,27108,1698,1899,89.4,2056,2328,88.3,639,1032,61.9,1.7,88,251,83,14,310,5060,413,7,757,155,101,53,16,27,1,3891,622,960,1295,3625,175,189,78,13,89,146,142,193,19.3,137,22,11,11,3,19,1.9,12,2,1,1,3,0,207,126,107,69,31,63,43.4,82,485,30.9,563,607,402,1,140,342,185,1,6623,844,248,128,57.8,81,2,4221,38,110,113,5276,4475,84.8,310,90,100,84,82,29,24,61,1.6,11,11,0,0.0,10.7,13.9,-3.1,-0.31,0,92,1,2,0,818,147,155,48.7,Premier-League,9,2021-2022
Burnley,18,29,39.6,10,110,900,10.0,9,8,9,0,0,22,0,0.9,0.8,1.7,0.9,1.7,11.3,11.3,8.4,19.7,1.13,0.84,1.97,1.13,1.97,118,35,29.7,11.8,3.5,0.08,0.26,16.2,4,0.1,-2.3,-2.3,2556,3728,68.6,54276,22608,1082,1310,82.6,918,1187,77.3,515,1073,48.0,-0.4,82,230,78,32,238,3264,464,8,703,123,149,50,46,0,1,1750,671,1307,1171,1805,255,224,67,28,85,104,121,173,17.3,130,17,3,9,3,14,1.4,11,2,0,1,0,0,161,94,70,66,25,59,43.1,78,367,30.1,365,528,328,5,125,313,217,5,4850,619,198,125,54.4,74,2,2532,15,115,90,3406,2556,75.0,238,90,100,85,84,26,19,64,0.7,10,16,-6,-0.6,11.3,15.4,-4.1,-0.41,0,94,0,0,0,941,264,224,54.1,Premier-League,9,2021-2022
Chelsea,25,27,57.2,10,110,900,10.0,25,16,23,2,2,11,1,2.5,1.6,4.1,2.3,3.9,17.2,15.8,12.6,28.4,1.72,1.26,2.98,1.58,2.84,142,53,37.3,14.2,5.3,0.16,0.43,17.2,8,0.11,7.8,7.2,5006,5856,85.5,91264,28037,2178,2364,92.1,2166,2423,89.4,562,862,65.2,3.4,104,339,109,12,362,5436,420,21,783,93,119,54,35,6,3,4443,683,730,1224,4138,160,174,60,18,52,146,110,243,24.3,192,9,15,10,5,41,4.1,29,2,2,4,3,1,187,110,91,70,26,59,34.1,114,435,30.4,474,596,363,3,124,329,254,2,7093,762,285,159,61.0,102,4,4662,60,102,110,5675,5006,88.2,362,90,100,84,80,29,22,61,2.5,26,3,23,2.3,17.2,10.5,6.6,0.66,0,106,1,1,0,761,159,144,52.5,Premier-League,9,2021-2022
Crystal Palace,19,28,50.6,10,110,900,10.0,13,8,11,2,2,17,0,1.3,0.8,2.1,1.1,1.9,11.2,9.7,7.6,17.3,1.12,0.76,1.88,0.97,1.73,108,29,26.9,10.8,2.9,0.1,0.38,16.1,3,0.09,1.8,1.3,4022,4956,81.2,77097,24202,1619,1813,89.3,1792,2057,87.1,529,911,58.1,0.4,75,240,73,21,276,4500,456,4,683,131,109,35,13,13,5,3345,656,955,1065,3263,196,210,86,20,85,164,84,167,16.7,117,13,8,10,7,20,2.0,16,0,2,1,1,0,180,110,100,65,15,66,44.3,83,450,27.5,555,723,360,0,132,313,250,2,6249,800,234,176,53.4,100,6,4030,42,153,145,4695,4022,85.7,276,90,100,86,84,26,18,63,1.2,13,14,-1,-0.1,11.2,11.1,0.1,0.01,0,109,1,0,0,852,191,157,54.9,Premier-League,9,2021-2022
Everton,24,28,41.0,10,110,900,10.0,16,13,13,3,3,18,0,1.6,1.3,2.9,1.3,2.6,15.7,13.5,10.5,23.9,1.57,1.05,2.62,1.35,2.39,134,40,29.9,13.4,4.0,0.1,0.33,16.4,3,0.1,0.3,-0.5,2760,3761,73.4,55069,21084,1090,1296,84.1,1144,1405,81.4,433,839,51.6,2.5,107,210,83,29,284,3301,460,7,678,117,116,44,16,20,2,2168,563,1030,1047,2123,199,212,57,10,110,132,136,222,22.2,168,21,6,14,2,27,2.7,21,0,2,1,3,0,201,123,114,62,25,85,42.1,117,479,30.5,611,636,326,0,145,359,257,3,5059,653,249,136,49.3,71,5,2843,45,123,100,3473,2760,79.5,284,90,100,87,84,26,14,61,1.4,16,16,0,0.0,15.7,13.6,2.2,0.22,0,89,3,0,1,848,184,203,47.5,Premier-League,9,2021-2022
Leeds United,23,26,58.6,10,110,900,10.0,10,7,9,1,1,23,1,1.0,0.7,1.7,0.9,1.6,13.2,12.5,9.6,22.0,1.32,0.96,2.28,1.25,2.2,139,38,27.3,13.9,3.8,0.06,0.24,18.5,1,0.09,-3.2,-3.5,4072,5029,81.0,81426,25948,1534,1737,88.3,1890,2120,89.2,596,1001,59.5,-2.6,105,291,86,21,357,4547,482,11,658,152,128,42,28,8,1,3357,749,923,2229,2251,188,198,99,11,95,149,117,206,20.6,146,21,9,12,6,17,1.7,10,1,3,1,1,1,202,119,110,66,26,79,46.5,91,491,30.6,552,682,368,1,101,344,235,6,6294,793,257,174,51.1,98,10,4082,46,131,119,4786,4072,85.1,357,90,100,84,83,27,23,63,1.0,10,17,-7,-0.7,13.2,16.5,-3.2,-0.32,0,116,1,1,1,833,145,170,46.0,Premier-League,9,2021-2022
Leicester City,22,27,52.6,10,110,900,10.0,15,11,15,0,0,13,1,1.5,1.1,2.6,1.5,2.6,15.5,15.5,9.1,24.6,1.55,0.91,2.46,1.55,2.46,124,46,37.1,12.4,4.6,0.12,0.33,16.8,3,0.13,-0.5,-0.5,4228,5169,81.8,80903,25381,1629,1841,88.5,2010,2228,90.2,509,916,55.6,1.9,84,239,73,8,345,4670,499,8,727,128,85,52,20,21,4,3692,615,862,1133,3488,182,196,61,14,96,157,109,187,18.7,145,8,10,8,6,21,2.1,13,0,2,2,1,3,182,105,79,84,19,76,43.4,99,431,28.2,535,693,302,0,115,323,247,3,6358,813,237,144,50.0,81,6,4142,46,122,108,4997,4228,84.6,345,90,100,83,79,30,25,60,1.4,15,17,-2,-0.2,15.5,14.9,0.6,0.06,0,78,0,2,1,757,162,156,50.9,Premier-League,9,2021-2022
