Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Arsenal,27,24,51.5,21,231,1890,21.0,33,24,32,1,4,33,2,1.57,1.14,2.71,1.52,2.67,30.9,27.8,19.4,47.2,1.47,0.92,2.4,1.32,2.25,306,104,34.0,14.57,4.95,0.1,0.31,17.2,14,0.09,2.1,4.2,8413,10312,81.6,160124,48259,3526,3971,88.8,3630,4103,88.5,1105,1880,58.8,4.6,223,597,188,42,619,9415,897,18,1341,287,209,112,73,17,11,7204,1300,1808,4189,4991,376,360,137,33,161,288,197,494,23.52,359,39,29,26,11,50,2.38,38,3,0,5,2,2,321,195,149,125,47,108,43.9,138,772,30.2,787,1025,743,0,220,606,347,11,12647,1420,570,311,54.0,175,12,8182,109,266,203,9674,8413,87.0,619,90,100,85,168,61,17,128,1.71,33,25,8,0.38,30.9,28.8,2.2,0.1,1,189,4,3,0,1708,349,379,47.9,Premier-League,9,2021-2022
Aston Villa,28,26,45.7,21,231,1890,21.0,26,21,24,2,2,45,1,1.24,1.0,2.24,1.14,2.14,22.2,20.8,16.5,37.2,1.06,0.78,1.84,0.99,1.77,234,76,32.5,11.14,3.62,0.1,0.32,16.8,10,0.09,3.8,3.2,6550,8554,76.6,131465,46866,2537,2961,85.7,2867,3369,85.1,1028,1901,54.1,4.5,170,501,169,37,637,7538,1016,14,1175,280,253,102,61,20,9,5425,1145,1984,2942,4427,386,392,118,27,182,268,201,356,16.95,247,40,18,28,6,41,1.95,22,7,5,5,2,0,364,217,185,136,43,122,39.0,191,826,28.5,1035,1218,647,2,259,706,379,4,11025,1392,491,292,53.8,173,16,6521,71,259,259,7999,6550,81.9,637,90,100,85,169,62,20,127,1.24,28,32,-4,-0.19,22.2,29.0,-6.8,-0.32,0,209,1,5,1,1704,361,383,48.5,Premier-League,9,2021-2022
Brentford,25,25,45.4,23,253,2070,23.0,25,16,22,3,3,42,1,1.09,0.7,1.78,0.96,1.65,27.2,24.9,17.6,42.5,1.18,0.76,1.95,1.08,1.85,250,82,32.8,10.87,3.57,0.09,0.27,15.5,5,0.1,-2.2,-2.9,6961,9712,71.7,139704,51225,2653,3250,81.6,3092,3881,79.7,1096,2168,50.6,-1.6,167,525,158,49,627,8621,1091,15,1371,211,264,89,53,18,10,5586,1463,2663,2876,5077,675,485,169,33,196,361,274,353,15.35,241,45,20,17,9,34,1.48,21,2,0,7,4,0,442,254,207,165,70,169,42.0,233,1005,29.8,1195,1433,740,3,291,816,524,6,12412,1796,492,256,53.5,149,15,6675,44,254,226,8988,6961,77.4,627,90,100,83,184,70,23,133,1.0,26,38,-12,-0.52,27.2,29.2,-2.0,-0.09,1,237,3,1,2,2211,528,534,49.7,Premier-League,9,2021-2022
Brighton,24,26,56.1,22,242,1980,22.0,22,19,19,3,4,42,1,1.0,0.86,1.86,0.86,1.73,25.7,22.7,17.2,39.8,1.17,0.78,1.95,1.03,1.81,279,80,28.7,12.68,3.64,0.07,0.24,17.1,13,0.08,-3.7,-3.7,9859,12132,81.3,192040,58726,3869,4373,88.5,4444,5085,87.4,1368,2203,62.1,1.8,200,651,206,49,718,11163,969,12,1578,324,270,119,43,55,6,8606,1479,2047,3071,7782,400,460,160,23,197,360,304,449,20.41,326,42,27,22,9,39,1.77,27,4,1,3,4,0,444,267,210,170,64,150,43.5,195,1045,32.2,1091,1270,882,3,293,782,428,6,14793,1727,572,338,59.8,219,13,9567,84,260,272,11396,9859,86.5,718,90,100,84,177,65,24,133,1.36,23,23,0,0.0,25.7,26.9,-1.3,-0.06,0,218,3,3,0,1940,353,354,49.9,Premier-League,9,2021-2022
Burnley,21,29,39.2,18,198,1620,18.0,15,12,15,0,0,37,0,0.83,0.67,1.5,0.83,1.5,17.3,17.3,13.3,30.6,0.96,0.74,1.7,0.96,1.7,191,55,28.8,10.61,3.06,0.08,0.27,16.3,8,0.09,-2.3,-2.3,4410,6465,68.2,94561,40267,1870,2279,82.1,1561,2038,76.6,902,1857,48.6,-1.3,133,420,131,49,418,5667,798,15,1189,224,226,81,73,1,2,3026,1095,2344,2069,3086,439,351,110,45,157,191,210,283,15.72,198,35,7,22,5,26,1.44,18,4,1,1,2,0,306,166,144,123,39,118,42.9,157,650,26.8,762,1033,627,5,228,623,424,4,8545,1202,317,205,54.6,124,2,4360,28,207,151,5853,4410,75.3,418,90,100,85,151,47,19,113,0.67,16,27,-11,-0.61,17.3,26.9,-9.6,-0.54,0,176,0,0,1,1600,510,444,53.5,Premier-League,9,2021-2022
Chelsea,25,27,58.8,24,264,2160,24.0,47,32,40,7,7,39,1,1.96,1.33,3.29,1.67,3.0,40.8,35.8,29.0,64.8,1.7,1.21,2.91,1.49,2.7,347,119,34.3,14.46,4.96,0.12,0.34,16.8,19,0.11,6.2,4.2,12168,14399,84.5,225334,69443,5182,5698,90.9,5328,5971,89.2,1430,2196,65.1,3.0,252,896,269,39,972,13327,1072,38,1983,281,303,157,78,55,5,10796,1593,2010,3019,10077,425,455,158,43,157,407,296,576,24.0,422,40,36,32,8,81,3.38,56,6,4,6,9,0,418,255,182,175,61,129,36.1,228,1064,30.6,1084,1505,887,4,285,794,517,7,17292,1619,720,375,59.7,240,15,11586,163,272,290,13827,12168,88.0,972,90,100,84,194,69,22,143,1.96,48,18,30,1.25,40.8,22.1,18.7,0.78,0,244,6,3,1,1982,400,366,52.2,Premier-League,9,2021-2022
Crystal Palace,24,27,50.8,22,242,1980,22.0,31,20,28,3,3,42,1,1.41,0.91,2.32,1.27,2.18,27.5,25.3,19.8,45.1,1.25,0.9,2.15,1.15,2.05,244,78,32.0,11.09,3.55,0.11,0.36,15.3,8,0.11,3.5,2.7,8541,10695,79.9,166830,54321,3319,3781,87.8,3877,4484,86.5,1200,2046,58.7,0.2,169,522,173,52,611,9582,1113,13,1486,258,249,95,45,29,6,7112,1351,2232,2557,6710,427,506,178,32,182,319,238,375,17.05,263,33,17,22,14,45,2.05,33,1,3,3,3,2,424,250,220,156,48,142,44.9,174,1015,29.3,1251,1514,696,0,275,734,494,6,13530,1774,509,393,52.9,220,20,8415,89,314,335,9996,8541,85.4,611,90,100,86,179,62,16,131,1.09,31,34,-3,-0.14,27.5,27.2,0.3,0.02,1,249,2,4,1,1855,438,381,53.5,Premier-League,9,2021-2022
Everton,29,27,41.1,20,220,1800,20.0,24,18,21,3,4,42,1,1.2,0.9,2.1,1.05,1.95,24.6,21.6,16.0,37.6,1.23,0.8,2.03,1.08,1.88,244,72,29.5,12.2,3.6,0.09,0.29,16.8,10,0.09,-0.6,-0.6,5522,7643,72.2,112023,41654,2195,2616,83.9,2235,2811,79.5,928,1808,51.3,2.0,177,455,150,53,522,6696,947,8,1313,249,246,86,43,28,6,4376,1129,2138,2054,4334,431,435,109,28,222,268,237,385,19.25,282,34,17,25,7,39,1.95,28,1,3,3,4,0,410,245,213,144,53,153,41.7,214,972,31.2,1102,1327,682,0,264,744,403,6,10107,1253,450,307,53.1,175,14,5776,75,248,212,6973,5522,79.2,522,90,100,86,169,51,19,124,0.95,24,35,-11,-0.55,24.6,28.1,-3.5,-0.18,0,194,4,1,2,1781,367,447,45.1,Premier-League,9,2021-2022
Leeds United,28,26,55.6,21,231,1890,21.0,24,16,20,4,4,58,1,1.14,0.76,1.9,0.95,1.71,27.2,24.2,17.8,42.0,1.3,0.85,2.14,1.15,2.0,294,86,29.3,14.0,4.1,0.07,0.23,18.5,9,0.08,-3.2,-4.2,7940,10100,78.6,155635,50669,3101,3586,86.5,3557,4073,87.3,1134,2038,55.6,-1.8,210,553,170,38,700,9106,994,14,1398,297,266,96,65,16,2,6652,1508,1940,4169,4774,361,435,179,30,205,344,258,444,21.14,314,36,24,27,13,40,1.9,22,1,5,6,4,2,442,246,227,156,59,177,44.7,219,1055,30.3,1219,1515,749,1,244,785,451,9,12731,1646,509,367,48.8,196,21,8077,110,255,238,9423,7940,84.3,700,90,100,83,176,57,26,132,1.05,24,40,-16,-0.76,27.2,37.4,-10.1,-0.48,0,244,3,3,1,1838,321,390,45.1,Premier-League,9,2021-2022
Leicester City,24,27,49.2,20,220,1800,20.0,34,25,33,1,1,26,1,1.7,1.25,2.95,1.65,2.9,31.1,30.3,19.9,50.2,1.55,0.99,2.55,1.51,2.51,239,92,38.5,11.95,4.6,0.14,0.36,16.9,6,0.13,2.9,2.7,7690,9643,79.7,145292,48446,3162,3626,87.2,3446,3937,87.5,935,1724,54.2,5.1,162,438,138,19,607,8683,960,19,1555,217,152,94,43,30,6,6667,1195,1781,2312,6193,386,367,112,32,175,313,214,350,17.5,265,18,20,15,13,51,2.55,33,2,3,6,3,4,401,221,195,154,52,135,38.5,216,899,28.6,1148,1389,606,4,248,707,427,9,12104,1646,441,291,51.9,167,12,7502,77,251,224,9131,7690,84.2,607,90,100,83,161,58,25,122,1.3,34,37,-3,-0.15,31.1,36.4,-5.3,-0.27,0,177,1,6,1,1645,346,321,51.9,Premier-League,9,2021-2022
