Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Atalanta,25,25,55.2,38,418,3420,38.0,57,38,52,5,9,,,1.5,1.0,2.5,1.37,2.37,67.4,60.7,43.5,104.2,1.77,1.14,2.92,1.6,2.74,582,196,33.7,15.32,5.16,0.09,0.27,15.8,13,0.11,-10.4,-8.7,16813,20966,80.2,337538,111390,6204,7232,85.8,7730,9016,85.7,2645,4112,64.3,0.5,435,1376,464,93,1700,19111,1855,21,3404,731,489,228,59,68,19,13731,2959,4276,5773,12867,829,828,279,68,441,375,509,929,24.45,663,82,67,37,15,95,2.5,64,5,10,8,7,1,762,469,354,325,83,217,30.9,485,1985,31.9,1864,3021,1328,0,496,1100,883,4,25771,2066,1202,740,65.5,522,16,17534,187,553,554,19093,16813,88.1,2042,90,100,,,108,0,313,1.58,57,39,18,0.47,67.4,37.2,30.3,0.8,3,470,9,2,0,3940,567,547,50.9,Serie-A,11,2017-2018
Benevento,41,26,47.7,38,418,3420,38.0,32,23,30,2,3,,,0.84,0.61,1.45,0.79,1.39,39.1,36.9,27.6,64.5,1.03,0.73,1.75,0.97,1.7,470,146,31.1,12.37,3.84,0.06,0.21,19.0,23,0.08,-7.1,-6.9,14168,17812,79.5,279120,92879,5628,6423,87.6,6292,7265,86.6,2098,3659,57.3,-2.6,339,937,213,76,1040,16066,1746,16,2907,509,422,163,48,24,12,11931,2262,3619,6316,9705,544,665,281,75,370,257,428,713,18.76,506,65,53,37,15,54,1.42,34,6,2,7,4,1,634,409,351,217,66,198,30.7,447,1574,28.0,2231,2357,1025,2,418,934,751,13,22160,2698,663,747,62.5,515,30,14874,133,472,470,16300,14168,86.9,1286,90,100,,,113,0,311,0.55,33,84,-51,-1.34,39.1,74.7,-35.6,-0.94,4,472,2,11,2,3271,364,464,44.0,Serie-A,11,2017-2018
Bologna,30,26,47.2,38,418,3420,38.0,37,18,35,2,3,,,0.97,0.47,1.45,0.92,1.39,37.1,34.9,23.3,58.2,0.98,0.61,1.59,0.92,1.53,353,120,34.0,9.29,3.16,0.1,0.29,18.6,31,0.1,-0.1,0.1,13638,17602,77.5,276434,100889,5351,6247,85.7,5733,6803,84.3,2324,3954,58.8,-1.3,239,964,247,60,1136,15743,1859,17,2898,538,303,149,79,10,10,10642,2690,4270,4608,10552,891,787,262,60,422,262,459,549,14.45,393,34,35,50,10,54,1.42,30,4,4,9,7,0,706,446,373,260,73,269,39.2,418,1749,28.0,2441,2703,1095,2,527,954,933,5,22199,2656,621,632,63.3,430,19,14001,92,558,461,15943,13638,85.5,1356,90,100,,,113,0,331,1.03,40,52,-12,-0.32,37.1,53.7,-16.7,-0.44,4,476,2,4,3,3466,583,525,52.6,Serie-A,11,2017-2018
Cagliari,29,27,45.2,38,418,3420,38.0,33,21,29,4,7,,,0.87,0.55,1.42,0.76,1.32,40.1,34.8,25.4,60.1,1.05,0.67,1.72,0.91,1.58,378,115,30.4,9.95,3.03,0.08,0.25,17.2,16,0.09,-7.1,-5.8,12167,16636,73.1,245407,93621,4898,5855,83.7,5025,6342,79.2,2035,3899,52.2,-2.4,267,989,278,101,1115,14680,1956,13,2616,554,446,177,44,54,13,8712,2708,5216,3436,10462,1014,835,319,75,394,246,431,562,14.79,399,68,22,30,10,49,1.29,32,5,2,5,3,2,729,442,377,265,87,197,32.0,419,1743,29.8,2124,2523,1204,1,440,1002,981,7,20989,2325,745,484,58.5,317,11,12282,88,475,393,14590,12167,83.4,1460,90,100,,,114,0,295,1.03,33,61,-28,-0.74,40.1,58.7,-18.7,-0.49,4,580,5,12,1,3696,767,666,53.5,Serie-A,11,2017-2018
Chievo,25,30,44.3,38,418,3420,38.0,36,20,35,1,2,,,0.95,0.53,1.47,0.92,1.45,32.3,30.8,22.2,53.0,0.85,0.58,1.43,0.81,1.39,396,137,34.6,10.42,3.61,0.09,0.26,18.0,8,0.08,3.7,4.2,12575,16824,74.7,255651,94911,4867,5752,84.6,5375,6544,82.1,2189,4056,54.0,5.8,299,960,310,111,1226,14979,1845,10,2494,588,522,146,52,31,24,9444,2571,4809,4053,10436,869,749,294,95,374,244,417,596,15.68,454,51,34,29,10,60,1.58,42,7,2,4,3,2,651,391,325,237,89,219,34.3,420,1601,25.6,2281,2672,1293,2,507,954,1054,5,21317,2548,695,476,60.7,307,7,12956,71,414,417,14883,12575,84.5,1542,90,100,,,109,0,345,1.05,36,59,-23,-0.61,32.3,54.3,-21.9,-0.58,1,449,2,7,4,3638,614,641,48.9,Serie-A,11,2017-2018
Crotone,29,25,40.1,38,418,3420,38.0,38,21,36,2,3,,,1.0,0.55,1.55,0.95,1.5,36.2,33.8,24.0,57.8,0.95,0.63,1.58,0.89,1.52,385,136,35.3,10.13,3.58,0.09,0.26,19.1,11,0.09,1.8,2.2,10311,14840,69.5,208395,86869,4019,5025,80.0,4464,5706,78.2,1656,3558,46.5,2.0,256,884,234,74,1111,13039,1801,9,2431,410,391,132,49,13,14,7272,2781,4787,5191,7112,1006,766,212,77,412,234,486,554,14.58,384,63,22,40,15,64,1.68,46,3,0,9,5,1,691,409,338,269,84,189,27.7,494,1613,25.7,2166,2881,1223,3,529,1053,1079,12,19532,2466,632,502,58.2,318,15,11130,80,548,401,12906,10311,79.9,1420,90,100,,,114,0,318,0.92,40,66,-26,-0.68,36.2,59.0,-22.8,-0.6,1,478,2,7,0,3929,622,680,47.8,Serie-A,11,2017-2018
Fiorentina,27,25,52.6,38,418,3420,38.0,53,32,46,7,8,,,1.39,0.84,2.24,1.21,2.05,57.2,51.3,37.1,88.3,1.51,0.98,2.48,1.35,2.32,624,185,29.6,16.42,4.87,0.07,0.25,18.4,20,0.08,-4.2,-5.3,15290,19375,78.9,300312,104764,5672,6639,85.4,7266,8405,86.4,2158,3796,56.8,-3.1,463,1200,350,96,1503,17622,1753,22,2972,558,486,210,30,79,21,12230,2967,4178,5625,11372,896,802,283,69,415,266,460,965,25.39,725,77,52,37,27,92,2.42,65,4,7,6,8,2,782,496,365,299,118,234,33.6,463,1846,30.2,1833,2801,1488,2,553,1116,864,8,24197,2173,928,655,59.2,416,21,15866,140,481,474,17491,15290,87.4,1850,90,100,,,111,0,325,1.5,54,46,8,0.21,57.2,42.5,14.7,0.39,3,509,6,3,0,3825,524,625,45.6,Serie-A,11,2017-2018
Genoa,33,27,46.3,38,418,3420,38.0,31,18,27,4,5,,,0.82,0.47,1.29,0.71,1.18,43.3,39.5,31.8,71.3,1.14,0.84,1.98,1.04,1.88,421,125,29.7,11.08,3.29,0.06,0.22,16.6,11,0.1,-12.3,-12.5,13218,17522,75.4,263512,94545,5238,6195,84.6,5762,6935,83.1,2047,3869,52.9,-10.8,313,992,306,79,1264,15699,1823,20,2485,493,464,179,54,34,16,10565,2366,4591,6313,8842,884,777,236,79,391,286,480,671,17.66,513,51,36,24,9,47,1.24,35,3,1,3,4,1,603,407,303,240,60,178,31.4,388,1739,28.9,2119,2821,1085,4,435,909,882,12,21766,2297,792,535,64.1,377,26,13850,102,491,447,15695,13218,84.2,1547,90,100,,,113,0,329,1.08,33,43,-10,-0.26,43.3,45.6,-2.2,-0.06,0,528,5,4,2,3716,572,608,48.5,Serie-A,11,2017-2018
Hellas Verona,32,25,41.8,38,418,3420,38.0,30,19,23,7,7,,,0.79,0.5,1.29,0.61,1.11,34.5,29.4,20.9,50.3,0.91,0.55,1.46,0.77,1.32,362,92,25.4,9.53,2.42,0.06,0.25,19.2,20,0.08,-4.5,-6.4,11493,15515,74.1,233720,85245,4685,5591,83.8,4661,5722,81.5,1959,3679,53.2,-4.9,237,763,192,64,944,13725,1790,8,2432,581,405,139,23,33,16,8526,2826,4163,4572,8689,781,748,325,69,405,244,457,528,13.89,357,51,42,35,15,42,1.11,26,2,2,7,4,1,711,446,377,255,79,224,33.4,447,1513,26.8,2125,2465,1065,6,436,1051,1014,11,20117,3000,552,691,61.6,468,30,12339,98,486,463,13890,11493,82.7,1187,90,100,,,113,0,317,0.66,30,78,-48,-1.26,34.5,76.1,-41.6,-1.09,4,519,3,8,2,3422,493,531,48.1,Serie-A,11,2017-2018
Inter,22,27,56.9,38,418,3420,38.0,64,34,58,6,7,,,1.68,0.89,2.58,1.53,2.42,60.8,55.6,44.4,100.0,1.6,1.17,2.77,1.46,2.63,584,202,34.6,15.37,5.32,0.1,0.29,17.4,13,0.1,3.2,2.4,18750,22639,82.8,348644,115080,8128,9077,89.5,7957,9135,87.1,2405,3811,63.1,-2.4,448,1423,388,120,1488,20919,1720,21,3462,636,691,275,59,55,37,15709,3085,3845,4231,16232,782,726,364,83,334,332,489,929,24.45,711,86,45,36,12,101,2.66,64,11,4,10,11,1,694,443,350,266,78,243,36.6,421,1650,28.4,1775,2562,1478,1,409,956,749,6,26783,2330,1048,665,59.1,436,26,18563,176,422,369,21016,18750,89.2,1778,90,100,,,110,0,283,1.89,66,30,36,0.95,60.8,35.3,25.6,0.67,0,440,6,2,3,3424,489,449,52.1,Serie-A,11,2017-2018
