Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Atalanta,30,27,45.1,38,418,3420,38.0,46,36,41,5,8,87,4,1.21,0.95,2.16,1.08,2.03,42.3,36.2,25.6,61.8,1.11,0.67,1.79,0.95,1.63,321,109,34.0,8.45,2.87,0.13,0.38,17.7,15,0.11,3.7,4.8,14415,18300,78.8,281332,100992,5805,6646,87.3,6166,7161,86.1,2150,3773,57.0,10.4,222,859,208,45,1014,16463,1837,29,2529,356,281,121,43,53,7,12143,2429,3728,4953,11469,550,636,274,37,242,468,446,492,12.95,329,41,40,39,17,79,2.08,55,5,6,5,6,2,793,514,481,251,61,264,37.1,448,1932,30.9,2667,2532,1055,4,491,1315,857,11,22950,3407,585,549,59.0,367,25,14040,80,516,492,17492,14415,82.4,1031,90,100,81,251,165,24,276,2.05,47,90,-43,-1.13,42.3,77.2,-34.9,-0.92,3,507,5,6,1,3379,563,696,44.7,Serie-A,11,2020-2021
Benevento,29,27,57.7,38,418,3420,38.0,69,52,65,4,5,76,6,1.82,1.37,3.18,1.71,3.08,66.1,62.5,44.0,106.5,1.74,1.16,2.9,1.64,2.8,501,175,34.9,13.18,4.61,0.13,0.37,16.2,19,0.13,2.9,2.5,17359,20803,83.4,340853,100870,6801,7652,88.9,7626,8615,88.5,2616,3839,68.1,8.0,348,1367,390,89,1523,19052,1751,27,2244,707,542,229,75,87,24,15004,2465,3334,5741,13105,618,684,268,77,265,391,418,800,21.05,586,60,48,40,17,125,3.29,89,2,12,13,7,2,504,312,230,206,68,155,38.2,251,1359,29.3,1428,2091,1127,0,388,831,901,12,24924,2360,991,614,61.4,395,28,16850,152,447,377,19922,17359,87.1,1553,90,100,81,244,170,20,267,0.87,75,40,35,0.92,66.1,41.6,24.5,0.64,1,625,4,7,0,3066,643,549,53.9,Serie-A,11,2020-2021
Bologna,37,27,49.1,38,418,3420,38.0,63,40,56,7,9,84,1,1.66,1.05,2.71,1.47,2.53,64.7,58.4,42.7,101.0,1.7,1.12,2.82,1.54,2.66,531,187,35.2,13.97,4.92,0.11,0.3,17.2,21,0.11,-1.7,-2.4,14164,17968,78.8,274154,94347,5821,6684,87.1,5916,6899,85.8,2128,3612,58.9,-2.7,402,1112,390,82,1321,16050,1918,37,2704,443,437,220,70,95,25,12109,2291,3568,5017,10909,595,751,237,63,272,422,499,870,22.89,655,64,52,31,25,98,2.58,61,8,9,12,6,2,672,406,324,270,78,238,36.7,410,1536,29.3,1875,2231,1136,1,467,1100,787,11,22340,2461,1036,522,64.0,348,14,14023,180,446,402,17040,14164,83.1,1334,90,100,82,257,162,21,278,1.08,65,51,14,0.37,64.7,53.4,11.2,0.3,0,501,6,4,2,3253,615,636,49.2,Serie-A,11,2020-2021
Cagliari,32,27,55.4,38,418,3420,38.0,59,45,54,5,5,76,5,1.55,1.18,2.74,1.42,2.61,63.1,59.4,48.2,107.6,1.66,1.27,2.93,1.56,2.83,552,198,35.9,14.53,5.21,0.1,0.27,16.2,18,0.11,-4.1,-5.4,17211,20670,83.3,339746,107345,6694,7444,89.9,7577,8492,89.2,2632,4025,65.4,-3.2,397,1214,407,92,1431,18792,1878,46,2756,654,502,217,70,84,17,14526,2636,3508,5788,12879,626,746,239,71,286,360,428,869,22.87,645,67,51,37,15,106,2.79,80,6,7,6,5,2,609,372,290,230,89,188,34.0,365,1413,29.3,1619,2076,1124,2,423,1008,959,7,25104,2664,1092,571,60.6,371,25,16391,188,454,430,19837,17211,86.8,1460,90,100,81,242,175,21,254,0.97,59,43,16,0.42,63.1,45.5,17.6,0.46,3,510,4,5,0,3019,662,693,48.9,Serie-A,11,2020-2021
Crotone,31,27,53.6,38,418,3420,38.0,90,68,85,5,5,90,5,2.37,1.79,4.16,2.24,4.03,71.6,67.9,51.6,119.5,1.89,1.36,3.24,1.79,3.14,589,212,36.0,15.5,5.58,0.14,0.4,15.9,29,0.12,18.4,17.1,16538,20134,82.1,321877,103706,6693,7502,89.2,6964,7959,87.5,2540,3944,64.4,16.4,444,1241,371,81,1451,18309,1825,37,2422,606,473,228,92,87,12,14170,2436,3528,5699,12464,600,707,268,98,263,339,440,956,25.16,702,84,45,49,19,147,3.87,111,7,6,13,6,4,666,411,284,275,107,220,36.5,383,1785,31.5,1554,2556,1551,1,401,1054,664,12,24273,2216,1092,535,58.7,337,17,16117,204,446,405,19334,16538,85.5,1478,90,100,81,246,168,23,264,0.61,92,45,47,1.24,71.6,38.5,33.1,0.87,2,524,4,9,1,3204,575,502,53.4,Serie-A,11,2020-2021
Fiorentina,30,27,53.8,38,418,3420,38.0,57,39,49,8,11,81,2,1.5,1.03,2.53,1.29,2.32,55.1,46.6,38.9,85.5,1.45,1.02,2.47,1.23,2.25,446,138,30.9,11.74,3.63,0.11,0.36,16.8,19,0.11,1.9,2.4,16205,19618,82.6,314981,96725,6390,7180,89.0,7248,8273,87.6,2298,3576,64.3,0.1,336,1121,306,74,1256,17890,1728,48,2489,503,494,169,49,72,11,14075,2332,3211,5571,12156,616,675,230,78,308,349,376,728,19.16,523,70,40,40,16,97,2.55,71,8,4,7,7,0,733,447,377,282,74,199,36.8,342,1480,29.2,1862,2271,929,2,461,1064,887,8,23856,2511,840,558,55.4,338,20,15547,149,401,362,18744,16205,86.5,1282,90,100,82,258,159,21,275,1.05,59,47,12,0.32,55.1,45.2,9.9,0.26,1,547,9,6,3,2975,609,571,51.6,Serie-A,11,2020-2021
Genoa,34,27,55.3,38,418,3420,38.0,56,40,49,7,7,69,1,1.47,1.05,2.53,1.29,2.34,54.5,49.4,38.3,87.7,1.43,1.01,2.44,1.3,2.31,538,182,33.8,14.16,4.79,0.09,0.27,16.9,24,0.09,1.5,-0.4,18205,22078,82.5,363989,112381,6796,7745,87.7,8164,9278,88.0,2935,4268,68.8,1.7,398,1327,379,85,1604,20272,1806,28,2856,585,517,214,93,73,19,15554,2809,3715,6231,13558,764,739,277,31,290,455,461,860,22.63,623,77,56,57,18,93,2.45,65,5,11,5,7,0,613,416,288,247,78,230,44.1,292,1578,31.2,1459,2307,1286,5,443,966,759,13,26335,2379,976,587,59.1,373,20,17524,175,512,427,21256,18205,85.6,1629,90,100,81,248,169,21,270,1.11,58,47,11,0.29,54.5,37.8,16.8,0.44,0,507,7,4,1,3619,724,541,57.2,Serie-A,11,2020-2021
Hellas Verona,32,27,50.2,38,418,3420,38.0,46,31,40,6,7,81,2,1.21,0.82,2.03,1.05,1.87,50.3,45.2,33.8,79.0,1.32,0.89,2.21,1.19,2.08,528,139,26.3,13.89,3.66,0.08,0.29,16.6,21,0.09,-4.3,-5.2,13670,18016,75.9,266960,100851,5501,6473,85.0,5747,6980,82.3,2095,3815,54.9,-2.8,393,1031,326,86,1252,16027,1989,16,2521,431,436,187,63,77,17,10792,2798,4426,4919,10573,853,748,280,35,303,431,427,829,21.82,597,71,43,45,16,71,1.87,48,4,2,9,7,1,589,378,316,227,46,177,33.8,347,1735,33.3,1872,2325,1009,3,510,1033,892,5,22486,2740,1000,451,57.6,286,13,13227,184,506,377,16808,13670,81.3,1277,90,100,83,263,154,20,274,1.18,48,43,5,0.13,50.3,43.5,6.8,0.18,1,561,6,3,5,3758,878,858,50.6,Serie-A,11,2020-2021
Inter,25,26,47.6,38,418,3420,38.0,34,19,29,5,7,84,3,0.89,0.5,1.39,0.76,1.26,38.6,33.0,24.7,57.6,1.02,0.65,1.66,0.87,1.52,380,112,29.5,10.0,2.95,0.08,0.26,17.1,13,0.09,-4.6,-4.0,16679,19770,84.4,321478,92460,6663,7338,90.8,7347,8171,89.9,2376,3587,66.2,-5.7,291,1158,253,73,1052,18203,1567,16,2283,490,382,137,44,57,9,14742,2080,2948,5557,12728,453,501,246,28,259,343,402,615,16.18,450,55,20,41,20,55,1.45,38,1,3,7,5,1,516,303,288,175,53,164,37.0,279,1524,26.9,2097,2306,1268,0,437,996,731,17,23583,2798,683,494,60.5,314,21,15763,125,374,363,19048,16679,87.6,1073,90,100,80,248,169,23,273,2.39,35,89,-54,-1.42,38.6,74.8,-36.2,-0.95,1,449,5,9,5,2559,425,523,44.8,Serie-A,11,2020-2021
Juventus,30,27,42.9,38,418,3420,38.0,36,21,30,6,9,85,2,0.95,0.55,1.5,0.79,1.34,38.2,31.5,23.1,54.6,1.01,0.61,1.61,0.83,1.44,423,114,27.0,11.13,3.0,0.07,0.26,19.2,22,0.07,-2.2,-1.5,14460,17559,82.4,276984,89787,6080,6744,90.2,6033,6917,87.2,2052,3217,63.8,-2.1,304,1099,283,74,1102,15825,1734,16,2247,501,419,162,46,74,6,12574,1964,3021,4863,11109,459,605,224,33,218,349,412,669,17.61,492,50,42,42,14,59,1.55,39,3,2,4,9,2,617,358,301,221,95,200,31.8,428,1432,25.3,1974,2368,1308,1,410,1075,732,10,21627,2754,754,558,59.9,364,31,13518,148,383,434,16862,14460,85.8,1112,90,100,81,254,164,22,266,2.05,38,77,-39,-1.03,38.2,74.2,-36.0,-0.95,1,493,6,10,1,2560,397,465,46.1,Serie-A,11,2020-2021
