Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Atalanta,28,27,45.6,22,242,1980,22.0,25,13,23,2,3,58,0,1.14,0.59,1.73,1.05,1.64,25.4,23.1,16.7,39.8,1.16,0.76,1.91,1.05,1.81,228,70,30.7,10.36,3.18,0.1,0.33,17.3,8,0.1,-0.4,-0.1,8034,10349,77.6,156074,58421,3331,3852,86.5,3306,3957,83.5,1213,2090,58.0,-3.7,168,520,138,45,568,9273,1076,22,1478,233,194,87,36,26,4,6661,1439,2249,2731,6353,418,420,155,36,172,324,275,360,16.36,271,27,15,14,8,40,1.82,22,4,2,7,2,3,438,257,244,157,37,160,44.7,198,971,29.7,1311,1396,560,1,274,781,376,1,12959,1848,414,324,47.8,170,19,7748,87,279,252,9656,8034,83.2,568,90,100,82,150,92,22,160,1.95,26,44,-18,-0.82,25.4,37.5,-12.1,-0.55,0,299,1,4,3,1935,336,451,42.7,Serie-A,11,2021-2022
Bologna,28,27,49.9,22,242,1980,22.0,35,22,29,6,6,55,4,1.59,1.0,2.59,1.32,2.32,29.1,24.5,19.9,44.4,1.32,0.9,2.23,1.11,2.02,268,104,38.8,12.18,4.73,0.11,0.28,17.6,11,0.09,5.9,4.5,8808,10841,81.2,169535,53419,3731,4227,88.3,3528,4122,85.6,1348,2089,64.5,2.1,203,653,184,46,685,9915,926,10,1556,367,255,75,26,32,9,7347,1417,2077,3245,6348,408,404,141,49,170,276,233,440,20.0,349,21,23,19,12,55,2.5,39,3,2,2,6,3,287,187,124,107,56,117,37.5,195,926,29.4,996,1456,698,1,248,557,404,4,13185,1334,493,299,55.2,190,13,8565,94,272,220,10112,8808,87.1,685,90,100,81,138,101,21,145,1.23,37,29,8,0.36,29.1,23.8,5.3,0.24,2,327,5,4,1,1814,364,321,53.1,Serie-A,11,2021-2022
Cagliari,31,27,57.3,23,253,2070,23.0,43,27,38,5,7,47,2,1.87,1.17,3.04,1.65,2.83,38.3,32.9,26.0,59.0,1.66,1.13,2.8,1.43,2.56,342,110,32.2,14.87,4.78,0.11,0.35,17.3,13,0.1,4.7,5.1,10453,12664,82.5,204323,66064,4051,4582,88.4,4723,5381,87.8,1507,2287,65.9,1.0,247,739,255,60,919,11551,1113,16,1615,312,297,130,43,52,3,8885,1530,2249,3643,7662,400,462,164,36,180,345,268,537,23.35,394,50,28,26,7,73,3.17,49,6,5,6,7,0,275,168,122,119,34,90,37.7,149,782,29.0,824,1215,654,3,261,571,416,3,15147,1440,663,335,56.1,212,19,10048,106,276,239,12012,10453,87.0,919,90,100,83,151,101,18,151,0.74,44,22,22,0.96,38.3,24.7,13.6,0.59,0,311,4,3,0,1934,475,458,50.9,Serie-A,11,2021-2022
Empoli,25,27,51.8,23,253,2070,23.0,43,31,40,3,6,53,1,1.87,1.35,3.22,1.74,3.09,42.1,37.6,28.8,66.5,1.83,1.25,3.08,1.64,2.89,386,130,33.7,16.78,5.65,0.1,0.31,16.3,10,0.1,0.9,2.4,9033,11087,81.5,178195,63908,3760,4232,88.8,3565,4115,86.6,1503,2305,65.2,2.2,289,676,245,69,814,9934,1153,15,1525,440,354,121,59,36,1,7457,1485,2145,3427,6439,350,451,171,31,178,292,231,619,26.91,455,55,23,27,18,75,3.26,60,3,1,7,4,0,404,236,205,135,64,144,44.6,179,917,27.6,1166,1388,769,4,305,740,484,11,13942,1704,735,334,54.8,200,15,8769,161,277,273,10293,9033,87.8,814,90,100,80,149,104,24,156,1.26,47,37,10,0.43,42.1,32.1,10.0,0.44,0,315,5,6,3,1789,360,297,54.8,Serie-A,11,2021-2022
Fiorentina,27,27,42.4,22,242,1980,22.0,29,21,27,2,4,60,1,1.32,0.95,2.27,1.23,2.18,26.8,24.0,20.2,44.2,1.22,0.92,2.14,1.09,2.01,205,72,35.1,9.32,3.27,0.13,0.38,16.0,4,0.12,2.2,3.0,7204,9134,78.9,142380,50804,2809,3224,87.1,3234,3723,86.9,1048,1851,56.6,0.8,158,429,118,31,526,8158,976,24,1219,197,187,83,19,37,12,5969,1257,1908,2430,5601,339,377,145,56,142,264,216,321,14.59,224,34,18,19,11,51,2.32,36,4,4,1,3,3,352,215,173,129,50,118,41.8,164,826,25.7,986,1472,760,0,236,725,360,6,11385,1750,380,301,51.2,173,15,7087,65,238,190,8567,7204,84.1,526,90,100,80,139,102,24,143,1.64,30,41,-11,-0.5,26.8,36.0,-9.2,-0.42,1,332,3,8,0,1468,311,344,47.5,Serie-A,11,2021-2022
Genoa,35,27,56.2,23,253,2070,23.0,43,27,40,3,4,50,0,1.87,1.17,3.04,1.74,2.91,33.6,30.6,23.3,53.9,1.46,1.01,2.48,1.33,2.34,341,118,34.6,14.83,5.13,0.12,0.34,17.0,9,0.09,9.4,9.4,10380,12746,81.4,205236,64545,4084,4682,87.2,4486,5122,87.6,1637,2440,67.1,3.7,245,659,227,59,824,11571,1175,11,1804,345,270,117,51,36,3,8849,1656,2241,4140,7187,418,513,156,27,165,409,340,523,22.74,393,39,30,24,10,72,3.13,49,5,4,7,7,0,406,260,161,181,64,143,41.4,202,1131,33.9,964,1508,864,0,274,745,420,2,15476,1446,650,429,50.6,236,22,9931,115,290,263,12024,10380,86.3,824,90,100,81,156,98,22,165,0.57,45,20,25,1.09,33.6,20.9,12.7,0.55,0,330,4,5,0,2058,456,371,55.1,Serie-A,11,2021-2022
Hellas Verona,26,27,48.5,23,253,2070,23.0,36,24,33,3,3,48,3,1.57,1.04,2.61,1.43,2.48,28.3,26.0,17.7,43.7,1.23,0.77,2.0,1.13,1.9,291,88,30.2,12.65,3.83,0.11,0.38,17.7,11,0.09,7.7,7.0,7664,10198,75.2,151363,58409,3083,3646,84.6,3134,3821,82.0,1235,2243,55.1,6.3,209,566,178,56,667,8954,1244,9,1332,214,257,102,47,32,4,6174,1474,2550,3040,5693,424,491,165,13,152,300,303,453,19.7,326,39,22,26,15,55,2.39,41,4,2,4,3,1,415,265,213,159,43,122,39.2,189,1077,32.6,1179,1477,648,2,305,803,426,6,12936,1598,497,301,58.1,183,18,7577,90,344,258,9279,7664,82.6,667,90,100,81,151,100,22,158,1.43,38,43,-5,-0.22,28.3,33.4,-5.1,-0.22,0,273,2,5,1,2089,479,465,50.7,Serie-A,11,2021-2022
Inter,24,27,43.1,22,242,1980,22.0,16,7,13,3,3,54,3,0.73,0.32,1.05,0.59,0.91,21.9,19.7,14.0,33.6,0.99,0.64,1.63,0.89,1.53,231,74,32.0,10.5,3.36,0.06,0.18,17.1,8,0.09,-5.9,-6.7,7807,9584,81.5,150787,48322,3216,3595,89.5,3261,3754,86.9,1181,1865,63.3,-7.0,168,495,142,47,549,8624,960,8,1186,260,210,81,36,35,3,6613,1230,1741,2697,5872,342,320,150,15,146,236,210,366,16.64,252,33,21,17,17,24,1.09,12,1,3,3,3,2,298,192,152,106,40,94,39.5,144,804,25.8,1074,1261,781,3,233,649,417,2,11974,1704,387,288,53.8,169,14,7403,64,255,240,8946,7807,87.3,549,90,100,81,140,99,23,153,2.41,17,53,-36,-1.64,21.9,46.7,-24.8,-1.13,1,268,2,9,0,1422,300,392,43.4,Serie-A,11,2021-2022
Juventus,26,27,46.3,23,253,2070,23.0,21,13,20,1,3,61,1,0.91,0.57,1.48,0.87,1.43,20.6,18.3,11.9,30.2,0.89,0.52,1.41,0.8,1.31,254,69,27.2,11.04,3.0,0.08,0.29,18.3,7,0.07,0.4,1.7,8707,10804,80.6,168816,54031,3569,4084,87.4,3712,4272,86.9,1277,2056,62.1,1.1,183,611,164,50,633,9641,1163,6,1473,292,262,109,38,42,5,7501,1385,1918,3146,6511,385,425,118,21,147,310,258,396,17.22,285,40,14,17,17,29,1.26,19,3,0,6,1,0,404,256,181,160,63,124,36.9,212,887,27.1,1032,1500,736,1,240,745,326,6,13242,1506,430,282,57.1,174,15,8195,86,290,255,10109,8707,86.1,633,90,100,83,157,95,19,163,1.83,21,34,-13,-0.57,20.6,31.7,-11.1,-0.48,1,319,2,5,0,1631,305,373,45.0,Serie-A,11,2021-2022
Lazio,25,27,45.3,23,253,2070,23.0,39,27,34,5,6,60,6,1.7,1.17,2.87,1.48,2.65,30.4,25.9,20.9,46.8,1.32,0.91,2.23,1.12,2.03,284,82,28.9,12.35,3.57,0.12,0.41,16.5,6,0.09,8.6,8.1,9774,11741,83.2,195672,59228,3690,4118,89.6,4401,4930,89.3,1516,2299,65.9,6.1,218,558,204,56,654,10750,991,9,1311,347,255,86,35,24,3,8200,1451,2090,3435,7181,351,406,154,36,176,273,240,456,19.83,338,41,21,21,10,68,2.96,46,4,7,5,6,0,368,231,169,149,50,140,40.7,204,904,27.0,1048,1495,803,1,214,718,357,5,14144,1735,552,388,59.8,251,17,9418,97,257,238,11136,9769,87.7,652,90,100,81,148,103,21,148,1.57,39,46,-7,-0.3,30.4,30.1,0.3,0.01,2,268,6,5,0,1686,286,308,48.1,Serie-A,11,2021-2022
