Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Atalanta,28,28,54.4,22,242,1980,22.0,41,30,38,3,4,49,0,1.86,1.36,3.23,1.73,3.09,37.5,34.6,28.7,63.4,1.7,1.31,3.01,1.57,2.88,332,103,31.0,15.09,4.68,0.11,0.37,16.0,8,0.11,3.5,3.4,9861,12107,81.4,188021,60837,4105,4668,87.9,4245,4889,86.8,1330,2119,62.8,1.3,262,756,235,50,898,11033,1074,18,1497,324,214,122,61,45,5,8370,1677,2060,4449,6305,458,431,133,30,192,329,278,544,24.73,409,46,33,15,9,69,3.14,55,0,7,5,1,1,405,244,158,184,63,153,47.4,170,1041,33.0,915,1437,804,3,279,751,346,2,14776,1200,693,358,50.8,198,17,9657,125,314,279,11347,9861,86.9,898,90,100,81,140,102,22,129,1.95,44,26,18,0.82,37.5,25.4,12.1,0.55,0,298,2,3,1,2022,451,336,57.3,Serie-A,11,2021-2022
Bologna,28,27,50.1,22,242,1980,22.0,28,23,25,3,4,59,4,1.27,1.05,2.32,1.14,2.18,23.8,20.8,16.4,37.2,1.08,0.75,1.83,0.95,1.69,266,89,33.5,12.09,4.05,0.09,0.28,17.6,11,0.08,4.2,4.2,8550,10629,80.4,162612,55262,3653,4127,88.5,3449,4005,86.1,1252,2060,60.8,6.6,200,565,172,56,617,9534,1095,14,1464,285,229,111,61,15,3,7024,1419,2186,2932,6425,473,408,160,19,158,253,248,422,19.18,315,37,15,21,6,52,2.36,37,5,2,4,3,1,327,186,160,128,39,107,36.0,190,908,29.1,1148,1302,672,0,233,615,389,5,12954,1453,416,312,55.1,195,15,8121,56,271,170,10067,8550,84.9,617,90,100,82,143,96,19,165,1.23,29,37,-8,-0.36,23.8,29.1,-5.3,-0.24,2,247,3,5,2,1688,321,364,46.9,Serie-A,11,2021-2022
Cagliari,31,27,42.7,23,253,2070,23.0,22,16,19,3,4,60,3,0.96,0.7,1.65,0.83,1.52,24.7,22.1,17.4,39.4,1.07,0.75,1.83,0.96,1.71,232,61,26.3,10.09,2.65,0.08,0.31,16.1,9,0.1,-2.7,-3.1,7182,9511,75.5,147607,52488,2687,3131,85.8,3109,3730,83.4,1261,2266,55.6,-1.4,172,487,149,59,541,8369,1142,6,1215,273,268,82,23,44,2,5734,1276,2501,2560,5549,428,450,140,41,192,270,260,356,15.48,253,40,11,19,12,35,1.52,22,2,3,4,3,1,359,219,168,145,46,120,36.1,212,889,27.0,1198,1427,662,0,267,721,423,2,11949,1613,394,240,55.8,149,12,6908,50,271,185,8724,7182,82.3,541,90,100,82,160,92,21,149,0.74,22,44,-22,-0.96,24.7,38.3,-13.6,-0.59,2,311,3,7,1,1742,458,475,49.1,Serie-A,11,2021-2022
Empoli,25,25,48.2,23,253,2070,23.0,34,19,28,6,6,52,2,1.48,0.83,2.3,1.22,2.04,32.1,27.5,18.7,46.2,1.4,0.81,2.21,1.2,2.01,336,102,30.4,14.61,4.43,0.08,0.27,17.3,10,0.08,1.9,0.5,8172,10385,78.7,160842,58791,3150,3569,88.3,3710,4319,85.9,1199,2078,57.7,0.3,233,600,242,50,830,9158,1227,8,1548,219,299,121,29,58,10,7056,1344,1985,2649,6587,291,495,166,53,178,311,300,504,21.91,378,44,21,24,14,55,2.39,36,5,4,5,5,0,407,261,196,146,65,134,40.1,200,949,27.3,1171,1467,840,3,226,716,455,3,13027,1769,612,323,49.5,179,13,8102,88,236,261,9666,8172,84.5,830,90,100,80,143,108,24,163,1.26,37,47,-10,-0.43,32.1,42.1,-10.0,-0.44,1,294,5,6,4,1758,297,360,45.2,Serie-A,11,2021-2022
Fiorentina,27,27,57.6,22,242,1980,22.0,41,23,35,6,8,54,6,1.86,1.05,2.91,1.59,2.64,36.0,30.0,21.8,51.8,1.63,0.99,2.62,1.37,2.36,288,108,37.5,13.09,4.91,0.12,0.32,16.7,14,0.11,5.0,5.0,10354,12270,84.4,221449,66938,3428,3838,89.3,4834,5411,89.3,1973,2676,73.7,1.2,217,643,211,60,761,11233,1037,14,1485,480,293,107,12,65,5,8598,1595,2077,4464,6617,373,399,150,32,155,350,235,477,21.68,347,40,20,30,12,65,2.95,43,2,3,8,7,2,317,184,148,126,43,128,42.5,173,802,30.2,749,1203,701,1,215,597,246,7,14541,1598,603,283,53.0,164,16,9830,124,300,234,11733,10354,88.2,761,90,100,80,136,103,21,161,1.64,41,30,11,0.5,36.0,26.8,9.2,0.42,4,255,5,3,1,1669,344,311,52.5,Serie-A,11,2021-2022
Genoa,35,28,43.8,23,253,2070,23.0,20,15,15,5,5,62,1,0.87,0.65,1.52,0.65,1.3,20.9,17.1,13.0,30.1,0.91,0.56,1.47,0.74,1.31,217,57,26.3,9.43,2.48,0.07,0.26,18.3,7,0.08,-0.9,-2.1,7423,9791,75.8,147423,51963,2975,3497,85.1,3155,3769,83.7,1170,2112,55.4,2.0,144,443,113,33,578,8648,1143,10,1547,272,222,96,40,42,2,6004,1419,2368,2694,5752,439,441,156,36,191,321,274,315,13.7,213,37,17,19,9,38,1.65,27,4,1,1,4,1,456,271,215,173,68,193,45.0,236,1047,29.1,1251,1594,758,0,340,880,430,4,12623,1711,413,345,53.0,202,19,7307,74,293,264,8982,7423,82.6,578,90,100,78,145,109,27,162,0.57,20,45,-25,-1.09,20.9,33.6,-12.7,-0.55,1,320,3,4,2,1906,371,456,44.9,Serie-A,11,2021-2022
Hellas Verona,26,27,51.5,23,253,2070,23.0,42,31,36,6,6,58,5,1.83,1.35,3.17,1.57,2.91,33.4,29.0,21.5,50.5,1.45,0.93,2.39,1.26,2.2,296,94,31.8,12.87,4.09,0.12,0.38,16.3,9,0.1,8.6,7.0,8292,10744,77.2,159488,57781,3391,3994,84.9,3466,4149,83.5,1224,2109,58.0,9.5,217,606,231,52,822,9678,1066,14,1599,249,291,116,53,27,6,6811,1648,2285,3181,6051,576,456,151,59,221,373,305,458,19.91,342,43,22,21,11,65,2.83,54,1,3,2,4,1,376,245,184,138,54,118,39.2,183,1007,31.7,1124,1369,685,1,303,691,545,4,13541,1438,628,312,55.8,189,21,8132,117,316,294,9882,8292,83.9,822,90,100,80,152,100,24,152,1.43,43,38,5,0.22,33.4,28.3,5.1,0.22,3,339,4,3,2,2101,465,479,49.3,Serie-A,11,2021-2022
Inter,24,29,56.9,22,242,1980,22.0,53,34,47,6,9,42,0,2.41,1.55,3.95,2.14,3.68,46.7,40.2,30.1,70.3,2.12,1.37,3.49,1.83,3.19,374,137,36.6,17.0,6.23,0.13,0.34,15.7,9,0.11,6.3,6.8,10967,12852,85.3,211558,66559,4591,5069,90.6,4571,5112,89.4,1602,2214,72.4,3.9,280,734,269,76,848,11913,939,22,1602,400,310,136,48,64,8,9350,1495,2007,3181,8472,399,370,171,27,129,338,232,596,27.09,446,55,24,17,16,82,3.73,59,8,1,9,4,1,359,225,154,142,63,119,41.3,169,829,30.5,804,1182,735,1,209,607,323,3,15140,1676,709,238,56.7,144,12,10231,101,233,204,12231,10967,89.7,848,90,100,81,133,109,19,152,2.41,53,17,36,1.64,46.7,21.9,24.8,1.13,0,268,5,3,1,1729,392,300,56.6,Serie-A,11,2021-2022
Juventus,26,28,53.7,23,253,2070,23.0,34,18,30,4,5,45,1,1.48,0.78,2.26,1.3,2.09,31.7,27.9,19.7,47.6,1.38,0.86,2.24,1.21,2.07,333,103,30.9,14.48,4.48,0.09,0.29,17.1,11,0.09,2.3,2.1,10500,12458,84.3,216392,66457,3717,4233,87.8,4884,5390,90.6,1771,2503,70.8,-1.7,237,761,186,61,780,11468,990,10,1422,456,267,103,37,43,3,8886,1506,2066,4197,7084,351,384,177,38,165,328,240,531,23.09,398,31,26,29,17,54,2.35,37,1,7,5,4,0,362,232,175,138,49,108,38.3,174,1006,32.6,1097,1277,710,1,258,687,396,6,15103,1588,609,336,55.4,212,19,9931,120,283,280,11854,10500,88.6,780,90,100,81,153,100,23,151,1.83,34,21,13,0.57,31.7,20.6,11.1,0.48,1,325,4,2,0,1841,373,305,55.0,Serie-A,11,2021-2022
Lazio,25,29,54.7,23,253,2070,23.0,46,35,43,3,5,57,4,2.0,1.52,3.52,1.87,3.39,30.1,26.4,21.4,47.8,1.31,0.93,2.24,1.15,2.08,248,102,41.1,10.78,4.43,0.17,0.42,16.7,9,0.11,15.9,16.6,12007,13973,85.9,214969,67303,5514,6048,91.2,4800,5390,89.1,1402,2015,69.6,13.6,194,773,201,38,749,12985,988,20,1660,308,246,91,48,23,4,10547,1592,1834,3249,9540,399,392,164,30,142,332,218,419,18.22,324,29,16,23,8,76,3.3,54,6,6,5,4,1,376,211,161,161,54,138,35.4,252,841,26.7,923,1444,785,2,244,668,360,0,16388,1634,517,345,54.8,204,19,11169,100,274,228,13370,12007,89.8,749,90,100,81,151,98,22,176,1.57,46,39,7,0.3,30.1,30.4,-0.3,-0.01,2,272,4,6,0,1705,308,286,51.9,Serie-A,11,2021-2022
