Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Ajaccio,26,28,47.2,14,154,1260,14.0,16,12,16,0,0,38,1,1.14,0.86,2.0,1.14,2.0,141,48,34.0,10.07,3.43,0.11,0.33,,90,100,83,93,60,17,35,1.79,16,8,8,0.57,1,226,167,20,222,155,136,,,1,Ligue-2,60,2021-2022
Amiens,27,25,47.9,14,154,1260,14.0,14,8,12,2,2,26,3,1.0,0.57,1.57,0.86,1.43,127,33,26.0,9.07,2.36,0.09,0.36,,90,100,82,90,61,19,36,0.93,14,16,-2,-0.14,2,169,190,15,230,179,144,,,0,Ligue-2,60,2021-2022
Auxerre,20,28,56.5,14,154,1260,14.0,20,16,18,2,2,19,2,1.43,1.14,2.57,1.29,2.43,160,64,40.0,11.43,4.57,0.11,0.28,,90,100,86,115,37,15,61,1.86,21,14,7,0.5,0,174,150,28,261,157,155,,,0,Ligue-2,60,2021-2022
Bastia,21,28,50.8,14,154,1260,14.0,9,7,8,1,1,24,1,0.64,0.5,1.14,0.57,1.07,129,44,34.1,9.21,3.14,0.06,0.18,,90,100,82,102,52,22,44,0.86,9,14,-5,-0.36,0,175,156,35,247,180,130,,,1,Ligue-2,60,2021-2022
Caen,26,26,49.6,14,154,1260,14.0,15,10,13,2,2,15,3,1.07,0.71,1.79,0.93,1.64,164,51,31.1,11.71,3.64,0.08,0.25,,90,100,82,101,51,24,48,1.14,16,16,0,0.0,1,185,182,16,231,176,139,,,1,Ligue-2,60,2021-2022
Dijon,24,27,52.4,14,154,1260,14.0,14,9,13,1,1,28,2,1.0,0.64,1.64,0.93,1.57,185,56,30.3,13.21,4.0,0.07,0.23,,90,100,82,102,50,23,48,1.14,14,20,-6,-0.43,0,197,198,22,283,139,146,,,1,Ligue-2,60,2021-2022
Dunkerque,26,27,46.3,14,154,1260,14.0,14,9,13,1,1,31,1,1.0,0.64,1.64,0.93,1.57,132,44,33.3,9.43,3.14,0.1,0.3,,90,100,83,100,53,20,44,1.14,14,17,-3,-0.21,0,219,227,24,245,156,134,,,1,Ligue-2,60,2021-2022
Grenoble,28,28,47.1,14,154,1260,14.0,14,11,12,2,4,21,2,1.0,0.79,1.79,0.86,1.64,120,35,29.2,8.57,2.5,0.1,0.34,,90,100,81,91,61,21,37,1.29,14,18,-4,-0.29,0,147,169,27,199,178,118,,,1,Ligue-2,60,2021-2022
Guingamp,24,26,52.4,14,154,1260,14.0,16,13,16,0,0,35,1,1.14,0.93,2.07,1.14,2.07,157,48,30.6,11.21,3.43,0.1,0.33,,90,100,84,102,51,19,47,1.29,16,17,-1,-0.07,1,206,196,39,270,163,139,,,0,Ligue-2,60,2021-2022
Le Havre,25,25,43.9,14,154,1260,14.0,13,7,12,1,1,21,2,0.93,0.5,1.43,0.86,1.36,136,43,31.6,9.71,3.07,0.09,0.28,,90,100,84,97,56,17,42,1.71,14,8,6,0.43,0,165,199,15,176,166,132,,,0,Ligue-2,60,2021-2022
Nancy,27,24,54.3,14,154,1260,14.0,8,4,6,2,2,24,5,0.57,0.29,0.86,0.43,0.71,179,45,25.1,12.79,3.21,0.03,0.13,,90,100,82,96,53,19,44,0.64,9,23,-14,-1.0,3,223,224,28,263,136,164,,,0,Ligue-2,60,2021-2022
Niort,23,23,46.1,14,154,1260,14.0,15,13,14,1,1,24,1,1.07,0.93,2.0,1.0,1.93,129,49,38.0,9.21,3.5,0.11,0.29,,90,100,84,98,55,17,41,1.5,15,13,2,0.14,1,169,201,23,168,154,151,,,1,Ligue-2,60,2021-2022
Nîmes,21,24,54.2,14,154,1260,14.0,16,11,14,2,2,30,0,1.14,0.79,1.93,1.0,1.79,126,47,37.3,9.0,3.36,0.11,0.3,,90,100,84,99,55,17,42,1.0,16,19,-3,-0.21,0,180,173,23,246,145,144,,,0,Ligue-2,60,2021-2022
Paris FC,26,26,51.4,14,154,1260,14.0,15,10,14,1,2,17,1,1.07,0.71,1.79,1.0,1.71,182,72,39.6,13.0,5.14,0.08,0.19,,90,100,82,97,57,21,40,1.5,17,15,2,0.14,0,178,146,22,277,136,136,,,1,Ligue-2,60,2021-2022
Pau FC,18,27,48.0,14,154,1260,14.0,14,8,13,1,1,25,2,1.0,0.57,1.57,0.93,1.5,157,59,37.6,11.21,4.21,0.08,0.22,,90,100,82,94,58,20,39,1.5,14,12,2,0.14,1,198,173,38,281,159,166,,,1,Ligue-2,60,2021-2022
Quevilly-Rouen,24,26,39.6,14,154,1260,14.0,13,7,11,2,3,30,3,0.93,0.5,1.43,0.79,1.29,130,43,33.1,9.29,3.07,0.08,0.26,,90,100,83,106,46,20,46,1.14,13,19,-6,-0.43,0,244,198,27,184,183,166,,,0,Ligue-2,60,2021-2022
Rodez Aveyron,22,26,47.6,14,154,1260,14.0,16,13,16,0,0,24,1,1.14,0.93,2.07,1.14,2.07,162,62,38.3,11.57,4.43,0.1,0.26,,90,100,82,89,64,19,34,1.36,16,15,1,0.07,1,174,179,21,326,171,117,,,0,Ligue-2,60,2021-2022
Sochaux,23,26,55.5,14,154,1260,14.0,12,9,11,1,1,31,1,0.86,0.64,1.5,0.79,1.43,151,43,28.5,10.79,3.07,0.07,0.26,,90,100,84,94,59,15,40,2.0,14,7,7,0.5,1,180,168,32,266,150,151,,,0,Ligue-2,60,2021-2022
Toulouse,25,25,60.6,14,154,1260,14.0,31,26,28,3,3,28,1,2.21,1.86,4.07,2.0,3.86,187,65,34.8,13.36,4.64,0.15,0.43,,90,100,83,107,46,22,52,2.07,32,13,19,1.36,0,213,149,34,276,158,130,,,1,Ligue-2,60,2021-2022
Valenciennes,25,26,49.4,14,154,1260,14.0,11,9,10,1,1,28,1,0.79,0.64,1.43,0.71,1.36,159,48,30.2,11.36,3.43,0.06,0.21,,90,100,83,104,49,22,48,1.07,12,22,-10,-0.71,0,223,213,30,266,170,151,,,0,Ligue-2,60,2021-2022
