Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA,npxG/90,npxG+xA/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive_AMB,PassDead_AMB,Drib_AMB,Sh_AMB,Fld_AMB,Def_AMB,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl_dribble,Tkl%,Past,Succ,%,Def 3rd_pression,Mid 3rd_pression,Att 3rd_pression,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Att_dribbles,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_recevant,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
Alavés,24,28,57.6,12,132,1080,12.0,15,12,13,2,3,22,0,1.25,1.0,2.25,1.08,2.08,14.7,12.5,10.6,23.1,1.33,0.96,2.3,1.14,2.1,163,43,26.4,13.58,3.58,0.08,0.3,17.7,6,0.08,-0.7,-0.5,4873,5990,81.4,96079,31084,1998,2253,88.7,2031,2306,88.1,758,1232,61.5,0.4,109,381,110,26,414,5395,595,10,766,201,175,86,18,36,2,4076,729,1185,1597,3696,217,265,93,15,97,130,134,228,20.73,162,28,15,9,6,24,2.18,20,1,0,3,0,0,171,115,73,77,21,61,42.4,83,385,30.0,400,598,286,0,120,314,236,1,7262,657,308,166,65.1,118,7,4842,40,140,121,5665,4873,86.0,414,90,100,82,75.0,57,18,76,1.08,15,8,7,0.58,14.7,10.0,4.7,0.43,0,159,0,2,0,893,185,274,40.3,La-Liga,12,2021-2022
Alavés,26,26,57.3,38,418,3420,38.0,48,31,42,6,6,93,2,1.26,0.82,2.08,1.11,1.92,51.0,46.8,35.7,82.4,1.34,0.94,2.28,1.23,2.17,492,159,32.3,12.95,4.18,0.09,0.26,17.0,26,0.1,-3.0,-4.8,15060,19277,78.1,302794,104903,5942,6903,86.1,6497,7612,85.4,2417,4191,57.7,-4.7,358,1274,393,101,1439,17237,2040,37,2669,721,549,228,22,30,6,12148,2839,4290,5707,10948,961,859,276,82,404,326,489,782,20.58,571,64,49,48,14,79,2.08,53,5,4,8,9,0,577,356,280,245,52,230,40.1,343,1455,30.7,1445,2294,1002,2,416,849,1002,10,23692,2177,988,659,60.7,433,26,15576,152,494,411,18096,15060,83.2,1832,90,100,84,,111,23,155,1.32,50,39,11,0.29,51.0,37.3,13.7,0.36,0,525,3,3,0,3726,721,702,50.7,La-Liga,12,2018-2019
Alavés,30,26,60.2,38,418,3420,38.0,48,28,41,7,10,84,4,1.26,0.74,2.0,1.08,1.82,53.2,46.0,34.7,80.7,1.4,0.91,2.31,1.21,2.12,528,177,33.5,13.89,4.66,0.08,0.23,17.6,29,0.09,-5.2,-5.0,16162,20323,79.5,323039,104533,6337,7445,85.1,7165,8376,85.5,2512,4088,61.4,-6.7,374,1400,368,104,1483,18865,1458,16,3366,713,579,217,0,2,1,14142,2026,4155,5935,12021,1174,623,208,45,450,325,469,833,21.92,586,75,48,69,11,81,2.13,51,6,8,9,7,0,527,342,267,198,62,157,28.4,395,1643,31.0,1594,2529,1172,2,421,842,439,6,24328,1910,944,611,63.8,423,15,17348,144,498,419,18615,16162,86.8,1811,90,100,84,308.0,106,23,160,1.24,50,40,10,0.26,53.2,38.8,14.4,0.38,2,550,7,2,0,3674,381,376,50.3,La-Liga,12,2017-2018
Alavés,30,27,57.3,38,418,3420,38.0,57,44,54,3,3,80,3,1.5,1.16,2.66,1.42,2.58,50.8,48.5,37.0,85.5,1.34,0.97,2.31,1.28,2.25,400,143,35.8,10.53,3.76,0.14,0.38,16.6,16,0.13,6.2,5.5,15395,19413,79.3,307486,98234,6095,6965,87.5,6486,7523,86.2,2499,4171,59.9,7.0,289,1148,317,80,1239,17477,1936,43,2591,662,456,200,65,58,11,12862,2609,3942,5651,11319,808,865,262,101,376,408,463,621,16.34,446,60,35,41,13,94,2.47,69,4,7,5,7,2,525,333,225,229,71,174,36.6,302,1436,32.4,1274,2192,961,1,391,873,884,13,23365,2268,789,551,61.2,366,21,14725,119,427,392,18332,15395,84.0,1292,90,100,82,253.0,163,20,241,1.0,57,36,21,0.55,50.8,42.4,8.3,0.22,1,518,3,7,1,3326,690,920,42.9,La-Liga,12,2020-2021
Alavés,32,27,58.9,38,418,3420,38.0,59,36,47,12,15,87,3,1.55,0.95,2.5,1.24,2.18,53.2,42.0,32.3,74.3,1.4,0.85,2.25,1.11,1.96,452,147,32.5,11.89,3.87,0.1,0.32,17.9,27,0.09,5.8,5.0,15810,19824,79.8,318477,100629,6085,6968,87.3,6884,7949,86.6,2546,4164,61.1,4.7,322,1161,299,83,1280,17805,2019,51,3102,751,486,176,61,59,9,12104,3279,4441,5696,11454,1031,907,250,80,429,204,456,735,19.34,509,76,40,61,14,101,2.66,75,3,4,7,10,2,574,353,233,274,67,188,40.4,277,1400,31.7,1240,2286,897,0,385,788,942,8,24062,2001,819,582,62.2,386,18,15610,132,503,419,18532,15810,85.3,1628,90,100,83,,127,21,179,1.03,59,34,25,0.66,53.2,37.0,16.2,0.43,2,473,7,6,0,3621,617,823,42.8,La-Liga,12,2019-2020
Amiens,26,26,53.3,38,418,3420,38.0,50,34,44,6,9,61,3,1.32,0.89,2.21,1.16,2.05,46.4,39.7,30.3,70.0,1.22,0.8,2.02,1.04,1.84,498,155,31.1,13.11,4.08,0.09,0.28,18.3,18,0.08,3.6,4.3,14430,18528,77.9,283126,100929,5909,6858,86.2,6128,7250,84.5,2198,3882,56.6,3.7,370,1099,294,90,1294,16610,1918,28,2717,505,481,189,12,17,17,11982,2528,4018,5181,10885,943,860,249,56,434,250,458,781,20.55,559,78,53,38,14,85,2.24,51,8,10,8,8,0,633,391,297,264,72,191,33.2,385,1575,28.9,1811,2667,971,2,443,908,855,9,22896,2050,851,700,64.6,494,14,15289,149,510,451,17227,14430,83.8,1565,90,100,85,,107,18,158,1.0,52,31,21,0.55,46.4,34.6,11.8,0.31,0,545,7,2,1,3742,566,553,50.6,Ligue-1,13,2018-2019
Amiens,27,26,54.5,28,308,2520,28.0,49,36,48,1,1,43,1,1.75,1.29,3.04,1.71,3.0,35.4,34.7,24.9,59.6,1.26,0.89,2.16,1.24,2.13,408,140,34.3,14.57,5.0,0.12,0.34,19.1,21,0.09,13.6,13.3,12277,15224,80.6,243777,80543,4885,5534,88.3,5264,6092,86.4,1907,3040,62.7,11.1,291,842,232,68,987,13771,1453,19,2677,476,379,140,57,54,9,9822,2380,3022,3784,9595,589,664,214,20,283,261,358,636,22.71,456,51,52,34,15,82,2.93,52,10,7,7,4,2,586,363,263,255,68,159,33.3,318,1442,33.3,1306,2135,891,1,339,813,688,6,18716,1633,613,556,60.6,371,15,12229,92,400,299,14247,12277,86.2,1156,90,100,85,229.0,78,18,117,0.82,50,31,19,0.68,35.4,26.7,8.7,0.31,0,349,1,5,0,2725,527,470,52.9,Ligue-1,13,2019-2020
Amiens,30,26,56.6,38,418,3420,38.0,42,30,38,4,4,55,2,1.11,0.79,1.89,1.0,1.79,55.4,52.4,40.8,93.1,1.46,1.07,2.53,1.38,2.45,621,184,29.6,16.34,4.84,0.06,0.21,18.5,28,0.09,-13.4,-14.4,15463,19967,77.4,297882,106887,6319,7365,85.8,6522,7818,83.4,2281,4016,56.8,-10.8,464,1327,353,107,1480,18377,1590,28,2817,565,613,203,0,0,0,13452,1822,4693,5808,11569,1291,801,206,64,446,462,479,969,25.51,729,77,48,52,15,69,1.82,46,4,9,4,5,1,604,386,283,248,73,167,32.3,350,1458,33.5,1268,1970,1111,4,413,998,517,11,24313,1756,933,555,58.6,361,16,15961,156,515,438,17925,15463,86.3,1852,90,100,85,,105,20,158,1.18,42,37,5,0.13,55.4,35.3,20.2,0.53,1,491,4,4,1,4064,314,289,52.1,Ligue-1,13,2017-2018
Angers,23,26,52.5,13,143,1170,13.0,16,10,13,3,3,30,4,1.23,0.77,2.0,1.0,1.77,13.6,11.4,9.2,20.7,1.13,0.77,1.9,0.95,1.72,122,43,35.2,9.38,3.31,0.11,0.3,18.4,7,0.09,1.4,0.6,5685,6723,84.6,109152,32700,2398,2633,91.1,2397,2650,90.5,789,1199,65.8,-0.2,84,416,87,28,386,6158,565,11,864,240,180,49,22,15,1,4961,789,973,1967,4126,168,264,89,16,91,170,156,180,15.0,127,16,16,10,5,21,1.75,14,1,2,1,3,0,306,209,136,126,44,117,45.9,138,631,32.6,618,839,479,0,119,466,188,1,8147,715,242,265,52.5,149,9,5550,38,151,163,6410,5685,88.7,386,90,100,80,81.0,59,24,56,1.38,16,19,-3,-0.23,13.6,14.7,-1.1,-0.09,3,168,2,3,1,922,163,122,57.2,Ligue-1,13,2021-2022
Angers,24,25,56.8,38,418,3420,38.0,47,40,44,3,5,76,3,1.24,1.05,2.29,1.16,2.21,46.9,43.2,33.0,76.2,1.24,0.87,2.1,1.14,2.01,463,160,34.6,12.18,4.21,0.1,0.28,18.1,30,0.09,0.1,0.8,18316,22164,82.6,345649,116192,7569,8467,89.4,8237,9358,88.0,2298,3731,61.6,7.0,347,1459,313,98,1627,20419,1745,67,3500,517,514,171,15,15,5,16084,2733,3347,6341,13654,824,789,253,71,391,350,479,760,20.0,543,66,48,47,19,86,2.26,64,3,7,5,4,3,741,472,351,293,97,225,32.3,471,1684,27.3,1938,2931,1298,0,413,1006,805,12,26437,2062,817,805,66.1,574,28,18688,129,476,436,21026,18316,87.1,1887,90,100,85,,106,18,160,1.21,49,44,5,0.13,46.9,47.7,-0.7,-0.02,2,481,4,7,2,3531,408,453,47.4,Ligue-1,13,2018-2019
