Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Ajaccio,24,26,45.4,28,,2520,28.0,,,,,,,,,,,,,,,,,,,,,90,100,,,,,110,1.86,22,38,-16,-0.57,,,,,,,,,,,Ligue-2,60,2019-2020
Ajaccio,25,26,50.2,38,418.0,3420,38.0,45.0,36.0,41.0,4.0,4.0,69.0,6.0,1.18,0.95,2.13,1.08,2.03,,,,,,,,,90,100,85.0,,103.0,20.0,162,1.05,45,29,16,0.42,3.0,,,,,,,,,1.0,Ligue-2,60,2018-2019
Ajaccio,26,25,49.6,38,418.0,3420,38.0,42.0,25.0,39.0,3.0,3.0,71.0,8.0,1.11,0.66,1.76,1.03,1.68,0.0,0.0,,0.0,0.0,,,,90,100,84.0,,109.0,20.0,153,1.79,43,62,-19,-0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Ligue-2,60,2017-2018
Ajaccio,27,26,51.4,21,231.0,1890,21.0,9.0,5.0,6.0,3.0,4.0,45.0,4.0,0.43,0.24,0.67,0.29,0.52,154.0,54.0,35.1,7.33,2.57,0.04,0.11,,90,100,83.0,149.0,80.0,20.0,66,1.95,10,21,-11,-0.52,0.0,291.0,320.0,43.0,342.0,274.0,181.0,,,0.0,Ligue-2,60,2021-2022
Ajaccio,30,26,48.2,38,418.0,3420,38.0,42.0,27.0,36.0,6.0,7.0,60.0,9.0,1.11,0.71,1.82,0.95,1.66,374.0,132.0,35.3,9.84,3.47,0.1,0.27,,90,100,82.0,265.0,146.0,21.0,117,1.21,43,34,9,0.24,3.0,505.0,561.0,52.0,636.0,500.0,324.0,,,1.0,Ligue-2,60,2020-2021
Amiens,29,26,48.8,22,242.0,1980,22.0,21.0,15.0,20.0,1.0,1.0,47.0,3.0,0.95,0.68,1.64,0.91,1.59,253.0,74.0,29.2,11.5,3.36,0.08,0.27,,90,100,84.0,161.0,78.0,18.0,74,1.14,21,26,-5,-0.23,1.0,316.0,252.0,31.0,435.0,262.0,206.0,,,0.0,Ligue-2,60,2021-2022
Amiens,41,26,48.8,38,418.0,3420,38.0,38.0,29.0,35.0,3.0,4.0,79.0,7.0,1.0,0.76,1.76,0.92,1.68,363.0,122.0,33.6,9.55,3.21,0.1,0.29,,90,100,83.0,264.0,148.0,18.0,118,1.24,40,34,6,0.16,4.0,644.0,574.0,75.0,649.0,513.0,398.0,,,1.0,Ligue-2,60,2020-2021
Auxerre,22,26,42.7,20,220.0,1800,20.0,23.0,15.0,22.0,1.0,1.0,28.0,2.0,1.15,0.75,1.9,1.1,1.85,211.0,72.0,34.1,10.55,3.6,0.1,0.31,,90,100,83.0,139.0,79.0,19.0,61,1.8,23,33,-10,-0.5,1.0,211.0,243.0,68.0,310.0,271.0,198.0,,,2.0,Ligue-2,60,2021-2022
Auxerre,24,26,44.1,28,,2520,28.0,,,,,,,,,,,,,,,,,,,,,90,100,,,,,119,1.21,30,31,-1,-0.04,,,,,,,,,,,Ligue-2,60,2019-2020
Auxerre,24,26,44.1,38,418.0,3420,38.0,41.0,20.0,36.0,5.0,7.0,58.0,2.0,1.08,0.53,1.61,0.95,1.47,466.0,155.0,33.3,12.26,4.08,0.08,0.23,,90,100,82.0,262.0,154.0,21.0,112,1.63,43,64,-21,-0.55,2.0,450.0,471.0,95.0,745.0,524.0,319.0,,,0.0,Ligue-2,60,2020-2021
