Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A,G-PK/90,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,League Name,League ID,Season
Ajaccio,24,26,54.6,28,308,2520,28.0,36,30,34,2,2,53.0,1.0,1.29,1.07,2.36,1.21,2.29,311.0,110.0,35.4,11.11,3.93,0.11,0.31,,90,100,86.0,,77,16,117,1.86,38,22,16,0.57,1,375.0,340.0,63.0,397.0,281.0,336.0,,,1,Ligue-2,60,2019-2020
Ajaccio,25,29,49.8,38,418,3420,38.0,28,21,27,1,1,66.0,3.0,0.74,0.55,1.29,0.71,1.26,,,,,,,,,90,100,85.0,,107,18,153,1.05,29,45,-16,-0.42,0,,,,,,,,,0,Ligue-2,60,2018-2019
Ajaccio,26,29,50.4,38,418,3420,38.0,59,40,53,6,6,,,1.55,1.05,2.61,1.39,2.45,0.0,152.0,,0.0,4.0,,0.35,,90,100,,,107,0,157,1.79,62,43,19,0.5,3,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Ligue-2,60,2017-2018
Ajaccio,27,28,48.6,21,231,1890,21.0,21,17,21,0,0,49.0,1.0,1.0,0.81,1.81,1.0,1.81,208.0,70.0,33.7,9.9,3.33,0.1,0.3,,90,100,84.0,150.0,80,16,63,1.95,21,10,11,0.52,1,336.0,277.0,43.0,328.0,253.0,199.0,,,1,Ligue-2,60,2021-2022
Ajaccio,30,27,51.8,38,418,3420,38.0,33,20,25,8,10,68.0,4.0,0.87,0.53,1.39,0.66,1.18,391.0,135.0,34.5,10.29,3.55,0.06,0.19,,90,100,84.0,282.0,134,19,131,1.21,34,43,-9,-0.24,2,581.0,473.0,94.0,799.0,485.0,359.0,,,1,Ligue-2,60,2020-2021
Amiens,29,25,51.2,22,242,1980,22.0,26,18,23,3,3,38.0,3.0,1.18,0.82,2.0,1.05,1.86,215.0,72.0,33.5,9.77,3.27,0.11,0.32,,90,100,82.0,139.0,100,18,53,1.14,26,21,5,0.23,2,267.0,297.0,39.0,347.0,301.0,229.0,,,0,Ligue-2,60,2021-2022
Amiens,41,24,51.2,38,418,3420,38.0,33,22,27,6,7,77.0,6.0,0.87,0.58,1.45,0.71,1.29,369.0,134.0,36.3,9.71,3.53,0.07,0.2,,90,100,82.0,261.0,153,20,113,1.24,34,40,-6,-0.16,2,610.0,600.0,65.0,653.0,486.0,363.0,,,2,Ligue-2,60,2020-2021
Auxerre,22,28,57.4,20,220,1800,20.0,31,24,28,3,3,32.0,4.0,1.55,1.2,2.75,1.4,2.6,230.0,101.0,43.9,11.5,5.05,0.12,0.28,,90,100,86.0,161.0,55,15,84,1.8,33,23,10,0.5,1,251.0,199.0,42.0,359.0,223.0,200.0,,,0,Ligue-2,60,2021-2022
Auxerre,24,27,55.9,28,308,2520,28.0,31,21,29,2,2,52.0,7.0,1.11,0.75,1.86,1.04,1.79,355.0,105.0,29.6,12.68,3.75,0.08,0.28,,90,100,85.0,,78,18,118,1.21,31,30,1,0.04,0,356.0,338.0,70.0,532.0,289.0,313.0,,,2,Ligue-2,60,2019-2020
Auxerre,24,27,55.9,38,418,3420,38.0,64,49,61,3,6,63.0,5.0,1.68,1.29,2.97,1.61,2.89,516.0,190.0,36.8,13.58,5.0,0.12,0.32,,90,100,85.0,298.0,117,17,149,1.63,64,43,21,0.55,2,501.0,418.0,91.0,817.0,489.0,386.0,,,2,Ligue-2,60,2020-2021
Auxerre,27,27,49.9,38,418,3420,38.0,32,20,28,4,7,62.0,1.0,0.84,0.53,1.37,0.74,1.26,,,,,,,,,90,100,85.0,,100,19,161,1.08,34,36,-2,-0.05,0,,,,,,,,,2,Ligue-2,60,2018-2019
Auxerre,31,25,51.9,38,418,3420,38.0,48,30,42,6,6,,,1.26,0.79,2.05,1.11,1.89,0.0,134.0,,0.0,3.53,,0.31,,90,100,,,108,0,153,1.24,51,55,-4,-0.11,3,535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,Ligue-2,60,2017-2018
Bastia,23,28,49.2,22,242,1980,22.0,20,17,19,1,1,42.0,2.0,0.91,0.77,1.68,0.86,1.64,202.0,69.0,34.2,9.18,3.14,0.09,0.28,,90,100,83.0,165.0,76,21,76,1.09,20,21,-1,-0.05,0,285.0,256.0,63.0,396.0,265.0,224.0,,,2,Ligue-2,60,2021-2022
